,start_date,end_date,state,pollster,fte_grade,sample_size,population,Clinton,Trump,dem_lead
2089,2016-06-16,2016-06-19,U.S.,CNN/Opinion Research Corp.,A-,891.0,rv,44.849470000000004,41.34182,3.5076500000000053
5670,2016-06-16,2016-06-19,U.S.,CNN/Opinion Research Corp.,A-,891.0,rv,44.69373,41.497409999999995,3.196320000000007
8913,2016-06-16,2016-06-19,U.S.,CNN/Opinion Research Corp.,A-,891.0,rv,44.8508,41.185520000000004,3.6652799999999957
1839,2016-06-10,2016-06-20,Texas,YouGov,B,1200.0,rv,35.53037,43.88552,-8.355150000000002
5411,2016-06-10,2016-06-20,Texas,YouGov,B,1200.0,rv,35.40424,43.95898,-8.554739999999995
8663,2016-06-10,2016-06-20,Texas,YouGov,B,1200.0,rv,35.49004,43.72511,-8.23507
1727,2016-06-11,2016-06-20,Wisconsin,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,45.35032,36.153690000000005,9.196629999999999
1728,2016-06-11,2016-06-20,Arizona,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,40.30969,49.0913,-8.781609999999993
1729,2016-06-11,2016-06-20,Michigan,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,49.27915,37.04441,12.234740000000002
1846,2016-06-11,2016-06-20,New Hampshire,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,42.704209999999996,45.69704,-2.992830000000005
1889,2016-06-11,2016-06-20,Ohio,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,42.251740000000005,45.00233,-2.7505899999999954
1890,2016-06-11,2016-06-20,Nevada,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,45.26092,48.016420000000004,-2.755500000000005
1891,2016-06-11,2016-06-20,Pennsylvania,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,46.15623,39.85569,6.300539999999998
1892,2016-06-11,2016-06-20,North Carolina,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,49.07875,41.73672,7.342030000000001
2105,2016-06-11,2016-06-20,Florida,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,50.23409,41.975229999999996,8.258860000000006
5327,2016-06-11,2016-06-20,Arizona,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,40.27621,49.32483,-9.04862
5328,2016-06-11,2016-06-20,Michigan,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,49.24621,37.27428,11.97193
5329,2016-06-11,2016-06-20,Wisconsin,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,45.31612,36.39208,8.924039999999998
5417,2016-06-11,2016-06-20,New Hampshire,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,42.663759999999996,45.97782,-3.314060000000005
5483,2016-06-11,2016-06-20,Pennsylvania,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,46.12546,40.07083,6.054629999999996
5484,2016-06-11,2016-06-20,Ohio,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,42.21928,45.22891,-3.0096300000000014
5485,2016-06-11,2016-06-20,North Carolina,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,49.04935,41.94259,7.106759999999994
5486,2016-06-11,2016-06-20,Nevada,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,45.2283,48.2441,-3.015800000000006
5682,2016-06-11,2016-06-20,Florida,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,50.20194,42.1997,8.00224
8551,2016-06-11,2016-06-20,Michigan,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,49.09016,37.1883,11.90186
8552,2016-06-11,2016-06-20,Wisconsin,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,45.16101,36.29942,8.86159
8553,2016-06-11,2016-06-20,Arizona,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,40.12056,49.23598,-9.11542
8670,2016-06-11,2016-06-20,New Hampshire,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,42.51332,45.85197,-3.3386500000000012
8713,2016-06-11,2016-06-20,Pennsylvania,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,45.96779,39.99638,5.971409999999999
8714,2016-06-11,2016-06-20,North Carolina,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,48.89066,41.8754,7.015259999999998
8715,2016-06-11,2016-06-20,Ohio,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,42.062870000000004,45.1455,-3.0826299999999947
8716,2016-06-11,2016-06-20,Nevada,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,45.07201,48.15983,-3.0878200000000007
8929,2016-06-11,2016-06-20,Florida,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,50.0453,42.117940000000004,7.927359999999993
1404,2016-06-15,2016-06-20,Washington,American Strategies,,804.0,lv,47.85883,36.78597,11.072859999999999
2905,2016-06-15,2016-06-20,U.S.,Morning Consult,,3891.0,rv,43.03071,45.16867,-2.1379599999999996
4994,2016-06-15,2016-06-20,Washington,American Strategies,,804.0,lv,47.857690000000005,37.14354,10.714150000000004
6339,2016-06-15,2016-06-20,U.S.,Morning Consult,,3891.0,rv,43.01717,45.38621,-2.3690399999999983
8229,2016-06-15,2016-06-20,Washington,American Strategies,,804.0,lv,47.83287,36.8094,11.023470000000003
9729,2016-06-15,2016-06-20,U.S.,Morning Consult,,3891.0,rv,43.024879999999996,45.094879999999996,-2.0700000000000003
1806,2016-06-16,2016-06-20,Alaska,Ivan Moore Research,C,670.0,rv,33.9831,44.22019,-10.237090000000002
2925,2016-06-16,2016-06-20,U.S.,Ipsos,A-,1186.0,lv,48.304320000000004,36.10996,12.194360000000003
5374,2016-06-16,2016-06-20,Alaska,Ivan Moore Research,C,670.0,rv,33.45765,44.08522,-10.627569999999999
6358,2016-06-16,2016-06-20,U.S.,Ipsos,A-,1186.0,lv,48.2734,36.438190000000006,11.835209999999996
8630,2016-06-16,2016-06-20,Alaska,Ivan Moore Research,C,670.0,rv,33.49706,43.66389,-10.166830000000004
9749,2016-06-16,2016-06-20,U.S.,Ipsos,A-,1186.0,lv,48.290620000000004,36.28125,12.009370000000004
2360,2016-06-17,2016-06-20,U.S.,American Research Group,C+,987.0,rv,50.32653,42.526509999999995,7.8000200000000035
5925,2016-06-17,2016-06-20,U.S.,American Research Group,C+,987.0,rv,50.02871,42.65303,7.375679999999996
9184,2016-06-17,2016-06-20,U.S.,American Research Group,C+,987.0,rv,50.1064,42.55024,7.556159999999998
2741,2016-06-18,2016-06-20,U.S.,YouGov,B,1011.0,rv,46.65634,44.01337,2.6429699999999983
6199,2016-06-18,2016-06-20,U.S.,YouGov,B,1011.0,rv,46.52983,44.109359999999995,2.4204700000000017
9565,2016-06-18,2016-06-20,U.S.,YouGov,B,1011.0,rv,46.61227,43.85698,2.7552900000000022
2126,2016-06-20,2016-06-20,Arizona,MBQF,C+,1060.0,lv,45.3544,43.556490000000004,1.7979099999999946
5698,2016-06-20,2016-06-20,Arizona,MBQF,C+,1060.0,lv,45.43217,43.99765,1.4345199999999991
8950,2016-06-20,2016-06-20,Arizona,MBQF,C+,1060.0,lv,45.60505,43.772659999999995,1.8323900000000037
1770,2016-06-15,2016-06-21,Maine,University of New Hampshire,B+,475.0,lv,42.079840000000004,37.717420000000004,4.36242
1815,2016-06-15,2016-06-21,Maine CD-1,University of New Hampshire,B+,247.0,lv,48.3939,36.07451,12.319390000000006
1859,2016-06-15,2016-06-21,Maine CD-2,University of New Hampshire,B+,222.0,lv,35.68962,39.2793,-3.5896800000000013
5345,2016-06-15,2016-06-21,Maine,University of New Hampshire,B+,475.0,lv,42.02187,38.0615,3.9603699999999975
5404,2016-06-15,2016-06-21,Maine CD-1,University of New Hampshire,B+,247.0,lv,48.346779999999995,36.44081,11.905969999999996
5438,2016-06-15,2016-06-21,Maine CD-2,University of New Hampshire,B+,222.0,lv,35.61931,39.59836,-3.979050000000001
8594,2016-06-15,2016-06-21,Maine,University of New Hampshire,B+,475.0,lv,42.17958,37.77915,4.40043
8639,2016-06-15,2016-06-21,Maine CD-1,University of New Hampshire,B+,247.0,lv,48.500029999999995,36.14523,12.354799999999997
8683,2016-06-15,2016-06-21,Maine CD-2,University of New Hampshire,B+,222.0,lv,35.781909999999996,39.33068,-3.5487700000000046
2917,2016-06-17,2016-06-21,U.S.,Ipsos,A-,1223.0,lv,47.41769,37.31745,10.10024
6349,2016-06-17,2016-06-21,U.S.,Ipsos,A-,1223.0,lv,47.38669,37.650459999999995,9.736230000000006
9741,2016-06-17,2016-06-21,U.S.,Ipsos,A-,1223.0,lv,47.40309,37.48932,9.91377
2923,2016-06-20,2016-06-21,U.S.,Rasmussen Reports/Pulse Opinion Research,C+,1000.0,lv,44.84618,40.63167,4.214509999999997
3317,2016-06-20,2016-06-21,North Carolina,Public Policy Polling,B+,947.0,v,45.27212,46.70858,-1.4364599999999967
6355,2016-06-20,2016-06-21,U.S.,Rasmussen Reports/Pulse Opinion Research,C+,1000.0,lv,44.909420000000004,40.834990000000005,4.0744299999999996
6782,2016-06-20,2016-06-21,North Carolina,Public Policy Polling,B+,947.0,v,45.26978,46.87744,-1.6076600000000028
9747,2016-06-20,2016-06-21,U.S.,Rasmussen Reports/Pulse Opinion Research,C+,1000.0,lv,44.86987,40.6396,4.230269999999997
10234,2016-06-20,2016-06-21,North Carolina,Public Policy Polling,B+,947.0,v,45.2939,46.66175,-1.3678499999999971
1928,2016-06-21,2016-06-21,Arkansas,Hendrix College,C+,751.0,rv,39.02154,51.26575,-12.244209999999995
5477,2016-06-21,2016-06-21,Arkansas,Hendrix College,C+,751.0,rv,39.01939,51.482040000000005,-12.462650000000004
8752,2016-06-21,2016-06-21,Arkansas,Hendrix College,C+,751.0,rv,39.29671,51.27303,-11.976320000000001
1477,2016-06-10,2016-06-22,Iowa,Evolving Strategies,,601.0,lv,39.6992,42.26849,-2.5692900000000023
1534,2016-06-10,2016-06-22,Ohio,Evolving Strategies,,617.0,lv,42.5518,40.04218,2.509619999999998
1539,2016-06-10,2016-06-22,Virginia,Evolving Strategies,,612.0,lv,45.47484,39.92402,5.550820000000002
1540,2016-06-10,2016-06-22,Michigan,Evolving Strategies,,612.0,lv,48.579209999999996,36.08426,12.494949999999996
1544,2016-06-10,2016-06-22,North Carolina,Evolving Strategies,,603.0,lv,45.378809999999994,42.77657,2.602239999999995
1545,2016-06-10,2016-06-22,Pennsylvania,Evolving Strategies,,601.0,lv,47.45629,37.89553,9.560760000000002
1549,2016-06-10,2016-06-22,Florida,Evolving Strategies,,596.0,lv,48.53415,40.01508,8.51907
5069,2016-06-10,2016-06-22,Iowa,Evolving Strategies,,601.0,lv,39.688390000000005,42.45257,-2.764179999999996
5160,2016-06-10,2016-06-22,Ohio,Evolving Strategies,,617.0,lv,42.54359,40.2086,2.334990000000005
5163,2016-06-10,2016-06-22,Virginia,Evolving Strategies,,612.0,lv,44.46799,41.08122,3.3867699999999985
5164,2016-06-10,2016-06-22,Michigan,Evolving Strategies,,612.0,lv,48.57051,36.25397,12.316539999999996
5166,2016-06-10,2016-06-22,North Carolina,Evolving Strategies,,603.0,lv,45.37365,42.92228,2.451369999999997
5167,2016-06-10,2016-06-22,Pennsylvania,Evolving Strategies,,601.0,lv,47.44977,38.05052,9.399250000000002
5168,2016-06-10,2016-06-22,Florida,Evolving Strategies,,596.0,lv,48.52625,40.179390000000005,8.346859999999992
8302,2016-06-10,2016-06-22,Iowa,Evolving Strategies,,601.0,lv,39.761590000000005,42.21521,-2.4536199999999937
8359,2016-06-10,2016-06-22,Ohio,Evolving Strategies,,617.0,lv,42.61485,39.98507,2.6297799999999967
8364,2016-06-10,2016-06-22,Virginia,Evolving Strategies,,612.0,lv,44.53823,40.864909999999995,3.673320000000004
8365,2016-06-10,2016-06-22,Michigan,Evolving Strategies,,612.0,lv,48.642140000000005,36.02787,12.614270000000005
8369,2016-06-10,2016-06-22,North Carolina,Evolving Strategies,,603.0,lv,45.44263,42.71497,2.72766
8370,2016-06-10,2016-06-22,Pennsylvania,Evolving Strategies,,601.0,lv,47.51977,37.83595,9.683820000000004
8374,2016-06-10,2016-06-22,Florida,Evolving Strategies,,596.0,lv,48.59728,39.95751,8.639769999999999
2910,2016-06-18,2016-06-22,U.S.,Ipsos,A-,1245.0,lv,47.93072,37.523759999999996,10.406960000000005
6341,2016-06-18,2016-06-22,U.S.,Ipsos,A-,1245.0,lv,47.90123,37.8603,10.040929999999996
9734,2016-06-18,2016-06-22,U.S.,Ipsos,A-,1245.0,lv,47.9157,37.6959,10.2198
1930,2016-06-19,2016-06-23,U.S.,NBC News/Wall Street Journal,A-,1000.0,rv,41.97424,44.522009999999995,-2.5477699999999928
2904,2016-06-19,2016-06-23,U.S.,Ipsos,A-,1239.0,lv,47.04234,36.32347,10.718870000000003
5513,2016-06-19,2016-06-23,U.S.,NBC News/Wall Street Journal,A-,1000.0,rv,42.22487,44.86958,-2.6447099999999963
6337,2016-06-19,2016-06-23,U.S.,Ipsos,A-,1239.0,lv,47.0137,36.66144,10.352260000000001
8754,2016-06-19,2016-06-23,U.S.,NBC News/Wall Street Journal,A-,1000.0,rv,41.96098,44.52447,-2.5634900000000016
9728,2016-06-19,2016-06-23,U.S.,Ipsos,A-,1239.0,lv,47.02745,36.49535,10.5321
1939,2016-06-20,2016-06-23,U.S.,ABC News/Washington Post,A+,545.0,lv,48.81007,41.334540000000004,7.475529999999999
5515,2016-06-20,2016-06-23,U.S.,ABC News/Washington Post,A+,545.0,lv,48.6604,41.714420000000004,6.945979999999999
8763,2016-06-20,2016-06-23,U.S.,ABC News/Washington Post,A+,545.0,lv,48.63258,41.50051,7.132069999999999
1732,2016-06-21,2016-06-23,North Carolina,"National Research, Inc.",B+,600.0,lv,44.714690000000004,44.00253,0.7121600000000043
5321,2016-06-21,2016-06-23,North Carolina,"National Research, Inc.",B+,600.0,lv,44.83149,44.23095,0.6005400000000023
8556,2016-06-21,2016-06-23,North Carolina,"National Research, Inc.",B+,600.0,lv,44.495470000000005,44.00455,0.4909200000000027
1507,2016-06-22,2016-06-23,Iowa,Public Policy Polling,B+,897.0,v,41.23344,40.80252,0.4309200000000004
1657,2016-06-22,2016-06-23,Arizona,Public Policy Polling,B+,691.0,v,40.14452,45.66871,-5.524189999999997
1797,2016-06-22,2016-06-23,Wisconsin,Public Policy Polling,B+,843.0,v,47.35236,40.89694,6.455419999999997
2305,2016-06-22,2016-06-23,New Hampshire,Public Policy Polling,B+,578.0,v,42.87778,40.59995,2.2778300000000016
3325,2016-06-22,2016-06-23,Pennsylvania,Public Policy Polling,B+,980.0,v,46.34782,43.79501,2.552810000000001
3371,2016-06-22,2016-06-23,Ohio,Public Policy Polling,B+,708.0,v,44.262859999999996,41.757979999999996,2.50488
5098,2016-06-22,2016-06-23,Iowa,Public Policy Polling,B+,897.0,v,41.22231,40.99852,0.22379000000000104
5259,2016-06-22,2016-06-23,Arizona,Public Policy Polling,B+,691.0,v,40.19822,45.917190000000005,-5.718970000000006
5395,2016-06-22,2016-06-23,Wisconsin,Public Policy Polling,B+,843.0,v,47.33957,41.084540000000004,6.255029999999998
5828,2016-06-22,2016-06-23,New Hampshire,Public Policy Polling,B+,578.0,v,42.855129999999996,40.82656,2.028569999999995
6741,2016-06-22,2016-06-23,Pennsylvania,Public Policy Polling,B+,980.0,v,46.343759999999996,43.964529999999996,2.3792299999999997
6796,2016-06-22,2016-06-23,Ohio,Public Policy Polling,B+,708.0,v,44.27174,41.95363,2.3181100000000043
8332,2016-06-22,2016-06-23,Iowa,Public Policy Polling,B+,897.0,v,41.238040000000005,40.7437,0.4943400000000082
8481,2016-06-22,2016-06-23,Arizona,Public Policy Polling,B+,691.0,v,40.18038,45.63843,-5.45805
8621,2016-06-22,2016-06-23,Wisconsin,Public Policy Polling,B+,843.0,v,47.35968,40.83936,6.520319999999998
9129,2016-06-22,2016-06-23,New Hampshire,Public Policy Polling,B+,578.0,v,42.87272,40.54074,2.3319800000000015
10118,2016-06-22,2016-06-23,Ohio,Public Policy Polling,B+,708.0,v,44.281659999999995,41.708870000000005,2.5727899999999906
10155,2016-06-22,2016-06-23,Pennsylvania,Public Policy Polling,B+,980.0,v,46.37295,43.74933,2.6236200000000025
1432,2016-06-19,2016-06-24,U.S.,National Journal,A,1000.0,a,45.6212,40.35565,5.265550000000005
5043,2016-06-19,2016-06-24,U.S.,National Journal,A,1000.0,a,45.3391,39.56807,5.771030000000003
8257,2016-06-19,2016-06-24,U.S.,National Journal,A,1000.0,a,45.38762,39.32082,6.066800000000001
2899,2016-06-20,2016-06-24,U.S.,Ipsos,A-,1249.0,lv,48.05595,36.41959,11.636360000000003
6329,2016-06-20,2016-06-24,U.S.,Ipsos,A-,1249.0,lv,48.0289,36.755109999999995,11.273790000000005
9723,2016-06-20,2016-06-24,U.S.,Ipsos,A-,1249.0,lv,48.04242,36.589890000000004,11.452529999999996
1632,2016-06-21,2016-06-24,Wisconsin,YouGov,B,993.0,lv,43.516329999999996,39.04934,4.466989999999996
1823,2016-06-21,2016-06-24,Colorado,YouGov,B,996.0,lv,42.567859999999996,42.12574,0.4421199999999956
1844,2016-06-21,2016-06-24,North Carolina,YouGov,B,988.0,lv,46.23397,44.6307,1.603270000000002
1991,2016-06-21,2016-06-24,Florida,YouGov,B,1192.0,lv,46.39548,43.87016,2.5253200000000007
5228,2016-06-21,2016-06-24,Wisconsin,YouGov,B,993.0,lv,43.37679,39.32947,4.047319999999999
5423,2016-06-21,2016-06-24,Colorado,YouGov,B,996.0,lv,42.42763,42.41202,0.015610000000002344
5436,2016-06-21,2016-06-24,North Carolina,YouGov,B,988.0,lv,46.09825,44.87715,1.2210999999999999
5560,2016-06-21,2016-06-24,Florida,YouGov,B,1192.0,lv,46.25758,44.13588,2.121699999999997
8456,2016-06-21,2016-06-24,Wisconsin,YouGov,B,993.0,lv,43.45556,39.065,4.390560000000001
8647,2016-06-21,2016-06-24,Colorado,YouGov,B,996.0,lv,42.50685,42.14267,0.3641799999999975
8668,2016-06-21,2016-06-24,North Carolina,YouGov,B,988.0,lv,46.1745,44.63941,1.5350900000000038
8815,2016-06-21,2016-06-24,Florida,YouGov,B,1192.0,lv,46.33527,43.88285,2.4524200000000036
2900,2016-06-21,2016-06-25,U.S.,Ipsos,A-,1186.0,lv,46.46848,36.91923,9.54925
6328,2016-06-21,2016-06-25,U.S.,Ipsos,A-,1186.0,lv,46.443999999999996,37.252359999999996,9.19164
9724,2016-06-21,2016-06-25,U.S.,Ipsos,A-,1186.0,lv,46.45585,37.08842,9.367429999999999
2506,2016-06-15,2016-06-26,U.S.,Pew Research Center,B+,1655.0,rv,47.094570000000004,40.36742,6.727150000000002
5952,2016-06-15,2016-06-26,U.S.,Pew Research Center,B+,1655.0,rv,47.099509999999995,40.61207,6.487439999999992
9330,2016-06-15,2016-06-26,U.S.,Pew Research Center,B+,1655.0,rv,47.05134,40.290409999999994,6.760930000000009
3152,2016-06-20,2016-06-26,U.S.,SurveyMonkey,C-,5818.0,rv,44.60835,40.59963,4.008720000000004
6544,2016-06-20,2016-06-26,U.S.,SurveyMonkey,C-,5818.0,rv,44.51328,40.89978,3.613500000000002
9976,2016-06-20,2016-06-26,U.S.,SurveyMonkey,C-,5818.0,rv,44.50985,40.6328,3.877049999999997
1555,2016-06-22,2016-06-26,New Jersey,Fairleigh Dickinson University (PublicMind),A,349.0,rv,47.29762,37.90048,9.39714
1587,2016-06-22,2016-06-26,New Jersey,Fairleigh Dickinson University (PublicMind),A,363.0,rv,53.78276999999999,35.38564,18.39712999999999
2895,2016-06-22,2016-06-26,U.S.,Ipsos,A-,1152.0,lv,46.57439,36.8239,9.75049
5129,2016-06-22,2016-06-26,New Jersey,Fairleigh Dickinson University (PublicMind),A,349.0,rv,47.36257,37.85876,9.503810000000001
5142,2016-06-22,2016-06-26,New Jersey,Fairleigh Dickinson University (PublicMind),A,363.0,rv,53.87608,35.37226,18.503820000000005
6325,2016-06-22,2016-06-26,U.S.,Ipsos,A-,1152.0,lv,46.54947,37.15681,9.39266
8379,2016-06-22,2016-06-26,New Jersey,Fairleigh Dickinson University (PublicMind),A,349.0,rv,47.5585,37.59449,9.964010000000002
8411,2016-06-22,2016-06-26,New Jersey,Fairleigh Dickinson University (PublicMind),A,363.0,rv,54.06665,35.10263,18.964020000000005
9719,2016-06-22,2016-06-26,U.S.,Ipsos,A-,1152.0,lv,46.561820000000004,36.99286,9.568960000000004
1885,2016-06-21,2016-06-27,U.S.,Quinnipiac University,A-,1610.0,rv,43.19383,41.75842,1.4354099999999974
5466,2016-06-21,2016-06-27,U.S.,Quinnipiac University,A-,1610.0,rv,43.15773,41.84745,1.3102799999999988
8709,2016-06-21,2016-06-27,U.S.,Quinnipiac University,A-,1610.0,rv,43.17971,41.61383,1.56588
1737,2016-06-23,2016-06-27,Oregon,icitizen,,555.0,rv,47.656279999999995,36.25796,11.398319999999998
2892,2016-06-23,2016-06-27,U.S.,Ipsos,A-,1130.0,lv,46.78638,36.224990000000005,10.561389999999996
5283,2016-06-23,2016-06-27,Oregon,icitizen,,555.0,rv,47.8763,36.47855,11.397750000000002
6322,2016-06-23,2016-06-27,U.S.,Ipsos,A-,1130.0,lv,46.76563,36.55603,10.209600000000002
8561,2016-06-23,2016-06-27,Oregon,icitizen,,555.0,rv,47.90572,36.18242,11.723300000000002
9716,2016-06-23,2016-06-27,U.S.,Ipsos,A-,1130.0,lv,46.77433,36.393209999999996,10.381120000000003
2671,2016-06-24,2016-06-27,U.S.,YouGov,B,1069.0,rv,43.72939,40.02017,3.709220000000002
2866,2016-06-24,2016-06-27,U.S.,Morning Consult,,4001.0,rv,44.11712,43.182959999999994,0.9341600000000057
6140,2016-06-24,2016-06-27,U.S.,YouGov,B,1069.0,rv,43.61329,40.113490000000006,3.4997999999999934
6290,2016-06-24,2016-06-27,U.S.,Morning Consult,,4001.0,rv,44.11392,43.4026,0.7113200000000006
9495,2016-06-24,2016-06-27,U.S.,YouGov,B,1069.0,rv,43.68792,39.85982,3.828099999999999
9690,2016-06-24,2016-06-27,U.S.,Morning Consult,,4001.0,rv,44.113,43.10579,1.0072100000000006
1795,2016-06-25,2016-06-27,Florida,SurveyUSA,A,1678.0,lv,47.146679999999996,44.27326,2.873419999999996
5384,2016-06-25,2016-06-27,Florida,SurveyUSA,A,1678.0,lv,47.16695,44.516870000000004,2.6500799999999956
8619,2016-06-25,2016-06-27,Florida,SurveyUSA,A,1678.0,lv,47.17944,44.28366,2.895780000000002
1489,2016-06-22,2016-06-28,Ohio,RABA Research,C+,599.0,lv,41.773740000000004,40.38609,1.3876500000000007
3397,2016-06-22,2016-06-28,New York,Siena College,A,803.0,rv,56.25386999999999,36.31629,19.93757999999999
5106,2016-06-22,2016-06-28,Ohio,RABA Research,C+,599.0,lv,41.90988,40.4925,1.4173800000000014
6775,2016-06-22,2016-06-28,New York,Siena College,A,803.0,rv,56.279990000000005,36.34418,19.935810000000004
8314,2016-06-22,2016-06-28,Ohio,RABA Research,C+,599.0,lv,41.94455,40.22441,1.7201400000000007
10217,2016-06-22,2016-06-28,New York,Siena College,A,803.0,rv,56.31155,36.15054,20.161009999999997
1848,2016-06-23,2016-06-28,U.S.,Greenberg Quinlan Rosner (Democracy Corps),B-,900.0,lv,49.37376,41.028659999999995,8.345100000000002
5432,2016-06-23,2016-06-28,U.S.,Greenberg Quinlan Rosner (Democracy Corps),B-,900.0,lv,49.353770000000004,41.26323,8.090540000000004
8672,2016-06-23,2016-06-28,U.S.,Greenberg Quinlan Rosner (Democracy Corps),B-,900.0,lv,49.184740000000005,41.169740000000004,8.015
1588,2016-06-24,2016-06-28,Iowa,Loras College,B-,600.0,lv,47.414120000000004,36.029340000000005,11.38478
1702,2016-06-24,2016-06-28,New Hampshire,American Research Group,C+,533.0,rv,46.9753,43.33076,3.6445399999999992
2888,2016-06-24,2016-06-28,U.S.,Ipsos,A-,1150.0,lv,46.99073,36.72425,10.266480000000001
5139,2016-06-24,2016-06-28,Iowa,Loras College,B-,600.0,lv,47.39808,36.3218,11.076279999999997
5252,2016-06-24,2016-06-28,New Hampshire,American Research Group,C+,533.0,rv,46.65429,43.481640000000006,3.1726499999999973
6316,2016-06-24,2016-06-28,U.S.,Ipsos,A-,1150.0,lv,46.97015,37.05458,9.915569999999995
8412,2016-06-24,2016-06-28,Iowa,Loras College,B-,600.0,lv,47.45556,35.96629,11.489269999999998
8526,2016-06-24,2016-06-28,New Hampshire,American Research Group,C+,533.0,rv,46.723279999999995,43.32928,3.3939999999999984
9712,2016-06-24,2016-06-28,U.S.,Ipsos,A-,1150.0,lv,46.97874,36.89216,10.086580000000005
1416,2016-06-26,2016-06-28,Florida,OnMessage Inc.,C+,800.0,lv,46.00005,48.045429999999996,-2.0453799999999944
1997,2016-06-26,2016-06-28,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1017.0,rv,45.75424,41.7234,4.030840000000005
5019,2016-06-26,2016-06-28,Florida,OnMessage Inc.,C+,800.0,lv,46.01143,48.29167,-2.2802400000000063
5554,2016-06-26,2016-06-28,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1017.0,rv,45.77838,41.83289,3.9454899999999995
8241,2016-06-26,2016-06-28,Florida,OnMessage Inc.,C+,800.0,lv,46.0288,48.08248,-2.05368
8821,2016-06-26,2016-06-28,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1017.0,rv,45.796659999999996,41.54896,4.247699999999995
1598,2016-06-27,2016-06-28,Ohio,Gravis Marketing,B-,1270.0,rv,49.32571,48.14178,1.1839300000000037
2041,2016-06-27,2016-06-28,U.S.,Public Policy Polling,B+,853.0,v,47.52789,44.97188,2.5560100000000006
2055,2016-06-27,2016-06-28,Pennsylvania,Gravis Marketing,B-,1958.0,rv,49.90879,48.67905,1.2297400000000067
2057,2016-06-27,2016-06-28,Florida,Gravis Marketing,B-,1619.0,rv,49.5419,49.849509999999995,-0.30760999999999683
2738,2016-06-27,2016-06-28,U.S.,Gravis Marketing,B-,2162.0,rv,50.38985,48.70797,1.6818799999999996
5183,2016-06-27,2016-06-28,Ohio,Gravis Marketing,B-,1270.0,rv,49.3514,48.448890000000006,0.9025099999999924
5587,2016-06-27,2016-06-28,U.S.,Public Policy Polling,B+,853.0,v,47.53115,45.15317,2.3779799999999938
5604,2016-06-27,2016-06-28,Pennsylvania,Gravis Marketing,B-,1958.0,rv,49.92136,48.96022,0.9611400000000003
5605,2016-06-27,2016-06-28,Florida,Gravis Marketing,B-,1619.0,rv,49.58705,50.1737,-0.5866499999999988
6192,2016-06-27,2016-06-28,U.S.,Gravis Marketing,B-,2162.0,rv,50.420559999999995,49.02065,1.3999099999999913
8422,2016-06-27,2016-06-28,Ohio,Gravis Marketing,B-,1270.0,rv,49.34061,48.15207,1.1885399999999962
8865,2016-06-27,2016-06-28,U.S.,Public Policy Polling,B+,853.0,v,47.55133,44.92573,2.6255999999999986
8879,2016-06-27,2016-06-28,Pennsylvania,Gravis Marketing,B-,1958.0,rv,49.93,48.692809999999994,1.2371900000000053
8881,2016-06-27,2016-06-28,Florida,Gravis Marketing,B-,1619.0,rv,49.56496,49.86742,-0.3024600000000035
9562,2016-06-27,2016-06-28,U.S.,Gravis Marketing,B-,2162.0,rv,50.41518,48.7288,1.6863799999999998
1962,2016-06-24,2016-06-29,U.S.,IBD/TIPP,A-,837.0,rv,42.46557,41.57375,0.8918200000000027
5527,2016-06-24,2016-06-29,U.S.,IBD/TIPP,A-,837.0,rv,42.51509,41.75628,0.758810000000004
8786,2016-06-24,2016-06-29,U.S.,IBD/TIPP,A-,837.0,rv,42.58238,41.47446,1.10792
