district,candidate,party,total_votes,won
Wisconsin’s 4th district,Tim Rogers,REP,70769,False
Wisconsin’s 4th district,Robert Raymond,IND,7911,False
Wisconsin’s 5th district,Scott Fitzgerald,REP,265434,True
Wisconsin’s 5th district,Tom Palzewicz,DEM,175902,False
Wisconsin’s 6th district,Glenn Grothman,REP,238874,True
Wisconsin’s 6th district,Jessica King,DEM,164239,False
Wisconsin’s 6th district, Write-ins,WRI,220,False
Wisconsin’s 7th district,Tom Tiffany,REP,252048,True
Wisconsin’s 7th district,Tricia Zunker,DEM,162741,False
Wisconsin’s 8th district,Mike Gallagher,REP,268173,True
Wisconsin’s 8th district,Amanda Stuck,DEM,149558,False
Wyoming at large,Liz Cheney,REP,185732,True
Wyoming at large,Lynnette Grey Bull,DEM,66576,False
Wyoming at large,Richard Brubaker,LIB,10154,False
Wyoming at large,Jeffrey Haggit,CST,7905,False
Alabama’s 1st district,Jerry Carl,REP,211825,True
Alabama’s 1st district,James Averhart,DEM,116949,False
Alabama’s 2nd district,Barry Moore,REP,197996,True
Alabama’s 2nd district,Phyllis Harvey-Hall,DEM,105286,False
Alabama’s 2nd district, Write-ins,WRI,287,False
Alabama’s 3rd district,Mike Rogers,REP,217384,True
Alabama’s 3rd district,Adia Winfrey,DEM,104595,False
Alabama’s 4th district,Robert Aderholt,REP,261553,True
Alabama’s 4th district,Rick Neighbors,DEM,56237,False
Alabama’s 5th district,Mo Brooks,REP,253094,True
Alabama’s 6th district,Gary Palmer,REP,274160,True
Alabama’s 6th district, Write-ins,WRI,8101,False
Alabama’s 7th district,Terri Sewell,DEM,225742,True
Alaska at large,Don Young,REP,192073,True
Alaska at large,Alyse Galvin,DEM,159506,False
Alaska at large, Write-ins,WRI,336,False
Arizona’s 1st district,Tom O'Halleran,DEM,188469,True
Arizona’s 1st district,Tiffany Shedd,REP,176709,False
Arizona’s 2nd district,Ann Kirkpatrick,DEM,209945,True
Arizona’s 2nd district,Brandon Martin,REP,170975,False
Arizona’s 2nd district, Write-ins,WRI,134,False
Arizona’s 3rd district,Raul Grijalva,DEM,174243,True
Arizona’s 3rd district,Daniel Wood,REP,95594,False
Arizona’s 4th district,Paul Gosar,REP,278002,True
Arizona’s 4th district,Delina DiSanto,DEM,120484,False
Arizona’s 4th district, Write-ins,WRI,137,False
Arizona’s 5th district,Andy Biggs,REP,262414,True
Arizona’s 5th district,Joan Greene,DEM,183171,False
Arizona’s 5th district, Write-ins,WRI,72,False
Arizona’s 6th district,David Schweikert,REP,217783,True
Arizona’s 6th district,Hiral Tipirneni,DEM,199644,False
Arizona’s 7th district,Ruben Gallego,DEM,165452,True
Arizona’s 7th district,Joshua Barnett,REP,50226,False
Arizona’s 7th district, Write-ins,WRI,54,False
Arizona’s 8th district,Debbie Lesko,REP,251633,True
Arizona’s 8th district,Michael Muscato,DEM,170816,False
Arizona’s 8th district, Write-ins,WRI,18,False
Arizona’s 9th district,Greg Stanton,DEM,217094,True
Arizona’s 9th district,Dave Giles,REP,135180,False
Arkansas’s 1st district,Rick Crawford,REP,237596,True
Arkansas’s 2nd district,French Hill,REP,184093,True
Arkansas’s 2nd district,Joyce Elliott,DEM,148410,False
Arkansas’s 3rd district,Steve Womack,REP,214960,True
Arkansas’s 3rd district,Celeste Williams,DEM,106325,False
Arkansas’s 3rd district,Mike Kalagias,LIB,12977,False
Arkansas’s 4th district,Bruce Westerman,REP,191617,True
Arkansas’s 4th district,William Hanson,DEM,75750,False
Arkansas’s 4th district,Frank Gilbert,LIB,7668,False
California’s 10th district,Josh Harder,DEM,166865,True
California’s 10th district,Ted Howze,REP,135629,False
California’s 11th district,Mark DeSaulnier,DEM,271063,True
California’s 11th district,Nisha Sharma,REP,100293,False
California’s 12th district,Nancy Pelosi,DEM,281776,True
California’s 12th district,Shahid Buttar,DEM,81174,False
California’s 13th district,Barbara Lee,DEM,327863,True
California’s 13th district,Nikka Piterman,REP,34955,False
California’s 14th district,Jackie Speier,DEM,278227,True
California’s 14th district,Ran Petel,REP,72684,False
California’s 15th district,Eric Swalwell,DEM,242991,True
California’s 15th district,Alison Hayden,REP,99710,False
California’s 16th district,Jim Costa,DEM,128690,True
California’s 16th district,Kevin Cookingham,REP,88039,False
California’s 17th district,Ro Khanna,DEM,212137,True
California’s 17th district,Ritesh Tandon,REP,85199,False
California’s 18th district,Anna Eshoo,DEM,217377,True
California’s 18th district,Rishi Kumar,DEM,126750,False
California’s 19th district,Zoe Lofgren,DEM,224385,True
California’s 19th district,Justin Aguilera,REP,88642,False
California’s 1st district,Doug LaMalfa,REP,204190,True
California’s 1st district,Audrey Denney,DEM,154073,False
California’s 20th district,Jimmy Panetta,DEM,236896,True
California’s 20th district,Jeff Gorman,REP,71658,False
California’s 22nd district,Devin Nunes,REP,170888,True
California’s 22nd district,Phil Arballo,DEM,144251,False
California’s 23rd district,Kevin McCarthy,REP,190222,True
California’s 23rd district,Kim Mangone,DEM,115896,False
California’s 24th district,Salud Carbajal,DEM,212564,True
California’s 24th district,Andy Caldwell,REP,149781,False
California’s 26th district,Julia Brownley,DEM,208856,True
California’s 26th district,Ronda Baldwin-Kennedy,REP,135877,False
California’s 27th district,Judy Chu,DEM,221411,True
California’s 27th district,Johnny Nalbandian,REP,95907,False
California’s 28th district,Adam Schiff,DEM,244271,True
California’s 28th district,Eric Early,REP,91928,False
California’s 29th district,Tony Cardenas,DEM,119420,True
California’s 29th district,Angelica Duenas,DEM,91524,False
California’s 2nd district,Jared Huffman,DEM,294435,True
California’s 2nd district,Dale Mensing,REP,94320,False
California’s 30th district,Brad Sherman,DEM,240038,True
California’s 30th district,Mark Reed,REP,105426,False
California’s 31st district,Pete Aguilar,DEM,175315,True
California’s 31st district,Agnes Gibboney,REP,110735,False
California’s 32nd district,Grace Napolitano,DEM,172942,True
California’s 32nd district,Joshua Scott,REP,86818,False
California’s 33rd district,Ted Lieu,DEM,257094,True
California’s 33rd district,James Bradley,REP,123334,False
California’s 34th district,Jimmy Gomez,DEM,108792,True
California’s 34th district,David Kim,DEM,96554,False
California’s 35th district,Norma Torres,DEM,169405,True
California’s 35th district,Mike Cargile,REP,74941,False
California’s 36th district,Raul Ruiz,DEM,185051,True
California’s 36th district,Erin Cruz,REP,121640,False
California’s 37th district,Karen Bass,DEM,254916,True
California’s 37th district,Errol Webber,REP,41705,False
California’s 38th district,Linda Sanchez,DEM,190467,True
California’s 38th district,Michael Tolar,DEM,65739,False
California’s 3rd district,John Garamendi,DEM,176036,True
California’s 3rd district,Tamika Hamilton,REP,145941,False
California’s 40th district,Lucille Roybal-Allard,DEM,135572,True
California’s 40th district,C. Antonio Delgado,REP,50809,False
California’s 41st district,Mark Takano,DEM,167938,True
California’s 41st district,Aja Smith,REP,94289,False
California’s 42nd district,Ken Calvert,REP,210074,True
California’s 42nd district,Liam O'Mara,DEM,157667,False
California’s 43rd district,Maxine Waters,DEM,199210,True
California’s 43rd district,Joe Collins,REP,78688,False
California’s 44th district,Nanette Barragan,DEM,139661,True
California’s 44th district,Analilia Joya,DEM,66375,False
California’s 45th district,Katie Porter,DEM,221843,True
California’s 45th district,Greg Raths,REP,193096,False
California’s 46th district,Lou Correa,DEM,157803,True
California’s 46th district,James Waters,REP,71716,False
California’s 47th district,Alan Lowenthal,DEM,197028,True
California’s 47th district,John Briscoe,REP,114371,False
California’s 48th district,Michelle Steel,REP,201738,True
California’s 48th district,Harley Rouda,DEM,193362,False
California’s 49th district,Mike Levin,DEM,205349,True
California’s 49th district,Brian Maryott,REP,181157,False
California’s 4th district,Tom McClintock,REP,247291,True
California’s 4th district,Brynne Kennedy,DEM,194731,False
California’s 50th district,Darrell Issa,REP,195510,True
California’s 50th district,Ammar Campa-Najjar,DEM,166859,False
California’s 51st district,Juan Vargas,DEM,165596,True
California’s 51st district,Juan Hidalgo,REP,76841,False
California’s 52nd district,Scott Peters,DEM,244145,True
California’s 52nd district,Jim DeBello,REP,152350,False
California’s 53rd district,Sara Jacobs,DEM,199244,True
California’s 53rd district,Georgette Gomez,DEM,135614,False
California’s 5th district,Mike Thompson,DEM,271233,True
California’s 5th district,Scott Giblin,REP,85227,False
California’s 6th district,Doris Matsui,DEM,229648,True
California’s 6th district,Christine Bish,REP,83466,False
California’s 7th district,Ami Bera,DEM,217416,True
California’s 7th district,Buzz Patterson,REP,166549,False
California’s 8th district,Jay Obernolte,REP,158711,True
California’s 8th district,Christine Bubser,DEM,124400,False
California’s 9th district,Jerry McNerney,DEM,174252,True
California’s 9th district,Tony Amador,REP,128358,False
Colorado’s 1st district,Diana DeGette,DEM,331621,True
Colorado’s 1st district,Shane Bolling,REP,105955,False
Colorado’s 1st district,Kyle Furey,LIB,8749,False
Colorado’s 1st district,Paul Fiorino,UTY,2524,False
Colorado’s 1st district,Jan Kok,APV,1441,False
Colorado’s 2nd district,Joe Neguse,DEM,316925,True
Colorado’s 2nd district,Charlie Winn,REP,182547,False
Colorado’s 2nd district,Thom Atkinson,LIB,13657,False
Colorado’s 2nd district,Gary Swing,BFP,2534,False
Colorado’s 3rd district,Lauren Boebert,REP,220634,True
Colorado’s 3rd district,Diane Mitsch Bush,DEM,194122,False
Colorado’s 3rd district,John Keil,LIB,10298,False
Colorado’s 3rd district,Christopher Milton,UTY,4265,False
Colorado’s 4th district,Ken Buck,REP,285606,True
Colorado’s 4th district,Ike McCorkle,DEM,173945,False
Colorado’s 4th district,Bruce Griffith,LIB,11026,False
Colorado’s 4th district,Laura Ireland,UTY,4530,False
Colorado’s 5th district,Doug Lamborn,REP,249013,True
Colorado’s 5th district,Jillian Freeland,DEM,161600,False
Colorado’s 5th district,Ed Duffett,LIB,14777,False
Colorado’s 5th district,Marcus Murphy,UNA,3708,False
Colorado’s 5th district,Rebecca Keltie,UTY,3309,False
Colorado’s 6th district,Jason Crow,DEM,250314,True
Colorado’s 6th district,Steve House,REP,175192,False
Colorado’s 6th district,Norm Olsen,LIB,9083,False
Colorado’s 6th district,Jaimie Kulikowski,UTY,3884,False
Colorado’s 7th district,Ed Perlmutter,DEM,250525,True
Colorado’s 7th district,Casper Stockham,REP,159301,False
Colorado’s 7th district,Ken Biles,LIB,11510,False
Colorado’s 7th district,David Olszta,UTY,2355,False
Connecticut’s 1st district,John Larson,DEM,222668,True
Connecticut’s 1st district,Mary Fay,REP,122111,False
Connecticut’s 1st district,Tom McCormick,GRN,4458,False
Connecticut’s 2nd district,Joe Courtney,DEM,217982,True
Connecticut’s 2nd district,Justin Anderson,REP,140340,False
Connecticut’s 2nd district,Cassandra Martineau,GRN,4949,False
Connecticut’s 2nd district,Daniel Reale,LIB,3901,False
Connecticut’s 3rd district,Rosa DeLauro,DEM,203265,True
Connecticut’s 3rd district,Margaret Streicker,REP,137596,False
Connecticut’s 3rd district,Justin Paglino,GRN,5240,False
Connecticut’s 4th district,Jim Himes,DEM,223832,True
Connecticut’s 4th district,Jonathan Riddle,REP,130627,False
Connecticut’s 4th district,Brian Merlen,IP,5656,False
Connecticut’s 4th district, Write-ins,WRI,10,False
Connecticut’s 5th district,Jahana Hayes,DEM,192484,True
Connecticut’s 5th district,David Sullivan,REP,151988,False
Connecticut’s 5th district,Bruce Walczak,IP,5052,False
United States’s 0th district,The Democratic candidate,DEM,77123131,True
United States’s 0th district,The Republican candidate,REP,72543768,False
United States’s 0th district, Others,OTH,2882895,False
California’s 21st district,David Valadao,REP,85928,True
California’s 21st district,TJ Cox,DEM,84406,False
California’s 25th district,Mike Garcia,REP,169638,True
California’s 25th district,Christy Smith,DEM,169305,False
California’s 39th district,Young Kim,REP,173946,True
California’s 39th district,Gil Cisneros,DEM,169837,False
