state,county,candidate,party,total_votes,won
Idaho,Washington County,Rocky De La Fuente,ALI,6,False
Idaho,Washington County, Write-ins,WRI,0,False
Illinois,Adams County,Donald Trump,REP,24220,True
Illinois,Adams County,Joe Biden,DEM,8633,False
Illinois,Adams County,Jo Jorgensen,LIB,483,False
Illinois,Adams County,Howie Hawkins,GRN,102,False
Illinois,Adams County,Brian Carroll,ASP,64,False
Illinois,Adams County,Gloria La Riva,PSL,25,False
Illinois,Adams County, Write-ins,WRI,0,False
Illinois,Alexander County,Donald Trump,REP,1486,True
Illinois,Alexander County,Joe Biden,DEM,1114,False
Illinois,Alexander County,Jo Jorgensen,LIB,7,False
Illinois,Alexander County, Write-ins,WRI,7,False
Illinois,Alexander County,Gloria La Riva,PSL,6,False
Illinois,Alexander County,Howie Hawkins,GRN,5,False
Illinois,Alexander County,Brian Carroll,ASP,0,False
Illinois,Bond County,Donald Trump,REP,5625,True
Illinois,Bond County,Joe Biden,DEM,2288,False
Illinois,Bond County,Jo Jorgensen,LIB,158,False
Illinois,Bond County,Howie Hawkins,GRN,41,False
Illinois,Bond County,Brian Carroll,ASP,22,False
Illinois,Bond County,Gloria La Riva,PSL,10,False
Illinois,Bond County, Write-ins,WRI,0,False
Illinois,Boone County,Donald Trump,REP,13883,True
Illinois,Boone County,Joe Biden,DEM,10542,False
Illinois,Boone County,Jo Jorgensen,LIB,360,False
Illinois,Boone County,Howie Hawkins,GRN,146,False
Illinois,Boone County,Brian Carroll,ASP,26,False
Illinois,Boone County,Gloria La Riva,PSL,22,False
Illinois,Boone County, Write-ins,WRI,0,False
Illinois,Brown County,Donald Trump,REP,1931,True
Illinois,Brown County,Joe Biden,DEM,486,False
Illinois,Brown County,Jo Jorgensen,LIB,47,False
Illinois,Brown County,Brian Carroll,ASP,39,False
Illinois,Brown County,Howie Hawkins,GRN,10,False
Illinois,Brown County,Gloria La Riva,PSL,8,False
Illinois,Brown County, Write-ins,WRI,4,False
Illinois,Bureau County,Donald Trump,REP,10411,True
Illinois,Bureau County,Joe Biden,DEM,6669,False
Illinois,Bureau County,Jo Jorgensen,LIB,209,False
Illinois,Bureau County,Howie Hawkins,GRN,95,False
Illinois,Bureau County,Brian Carroll,ASP,37,False
Illinois,Bureau County,Gloria La Riva,PSL,13,False
Illinois,Bureau County, Write-ins,WRI,0,False
Illinois,Calhoun County,Donald Trump,REP,2046,True
Illinois,Calhoun County,Joe Biden,DEM,677,False
Illinois,Calhoun County,Jo Jorgensen,LIB,36,False
Illinois,Calhoun County,Howie Hawkins,GRN,8,False
Illinois,Calhoun County,Brian Carroll,ASP,4,False
Illinois,Calhoun County,Gloria La Riva,PSL,1,False
Illinois,Calhoun County, Write-ins,WRI,1,False
Illinois,Carroll County,Donald Trump,REP,5105,True
Illinois,Carroll County,Joe Biden,DEM,2748,False
Illinois,Carroll County,Jo Jorgensen,LIB,111,False
Illinois,Carroll County,Howie Hawkins,GRN,39,False
Illinois,Carroll County,Brian Carroll,ASP,11,False
Illinois,Carroll County,Gloria La Riva,PSL,10,False
Illinois,Carroll County, Write-ins,WRI,0,False
Illinois,Cass County,Donald Trump,REP,3625,True
Illinois,Cass County,Joe Biden,DEM,1615,False
Illinois,Cass County,Jo Jorgensen,LIB,50,False
Illinois,Cass County,Howie Hawkins,GRN,17,False
Illinois,Cass County, Write-ins,WRI,9,False
Illinois,Cass County,Brian Carroll,ASP,6,False
Illinois,Cass County,Gloria La Riva,PSL,4,False
Illinois,Champaign County,Joe Biden,DEM,57067,True
Illinois,Champaign County,Donald Trump,REP,35285,False
Illinois,Champaign County,Jo Jorgensen,LIB,1507,False
Illinois,Champaign County,Howie Hawkins,GRN,671,False
Illinois,Champaign County, Write-ins,WRI,516,False
Illinois,Champaign County,Brian Carroll,ASP,288,False
Illinois,Champaign County,Gloria La Riva,PSL,234,False
Illinois,Christian County,Donald Trump,REP,11563,True
Illinois,Christian County,Joe Biden,DEM,4335,False
Illinois,Christian County,Jo Jorgensen,LIB,210,False
Illinois,Christian County,Howie Hawkins,GRN,65,False
Illinois,Christian County,Brian Carroll,ASP,23,False
Illinois,Christian County,Gloria La Riva,PSL,8,False
Illinois,Christian County, Write-ins,WRI,0,False
Illinois,Clark County,Donald Trump,REP,6226,True
Illinois,Clark County,Joe Biden,DEM,1993,False
Illinois,Clark County,Jo Jorgensen,LIB,95,False
Illinois,Clark County,Howie Hawkins,GRN,27,False
Illinois,Clark County,Brian Carroll,ASP,9,False
Illinois,Clark County,Gloria La Riva,PSL,5,False
Illinois,Clark County, Write-ins,WRI,0,False
Illinois,Clay County,Donald Trump,REP,5629,True
Illinois,Clay County,Joe Biden,DEM,1129,False
Illinois,Clay County,Jo Jorgensen,LIB,88,False
Illinois,Clay County,Howie Hawkins,GRN,26,False
Illinois,Clay County, Write-ins,WRI,13,False
Illinois,Clay County,Brian Carroll,ASP,10,False
Illinois,Clay County,Gloria La Riva,PSL,4,False
Illinois,Clinton County,Donald Trump,REP,14304,True
Illinois,Clinton County,Joe Biden,DEM,4493,False
Illinois,Clinton County,Jo Jorgensen,LIB,258,False
Illinois,Clinton County,Howie Hawkins,GRN,77,False
Illinois,Clinton County, Write-ins,WRI,44,False
Illinois,Clinton County,Brian Carroll,ASP,23,False
Illinois,Clinton County,Gloria La Riva,PSL,15,False
Illinois,Coles County,Donald Trump,REP,14037,True
Illinois,Coles County,Joe Biden,DEM,8067,False
Illinois,Coles County,Jo Jorgensen,LIB,306,False
Illinois,Coles County,Howie Hawkins,GRN,132,False
Illinois,Coles County,Brian Carroll,ASP,35,False
Illinois,Coles County,Gloria La Riva,PSL,29,False
Illinois,Coles County, Write-ins,WRI,0,False
Illinois,Cook County,Joe Biden,DEM,1725973,True
Illinois,Cook County,Donald Trump,REP,558269,False
Illinois,Cook County,Jo Jorgensen,LIB,17657,False
Illinois,Cook County,Howie Hawkins,GRN,12279,False
Illinois,Cook County,Gloria La Riva,PSL,4136,False
Illinois,Cook County,Brian Carroll,ASP,3085,False
Illinois,Cook County, Write-ins,WRI,0,False
Illinois,Crawford County,Donald Trump,REP,7043,True
Illinois,Crawford County,Joe Biden,DEM,2202,False
Illinois,Crawford County,Jo Jorgensen,LIB,119,False
Illinois,Crawford County,Howie Hawkins,GRN,43,False
Illinois,Crawford County, Write-ins,WRI,16,False
Illinois,Crawford County,Gloria La Riva,PSL,10,False
Illinois,Crawford County,Brian Carroll,ASP,8,False
Illinois,Cumberland County,Donald Trump,REP,4601,True
Illinois,Cumberland County,Joe Biden,DEM,1142,False
Illinois,Cumberland County,Jo Jorgensen,LIB,63,False
Illinois,Cumberland County,Howie Hawkins,GRN,21,False
Illinois,Cumberland County, Write-ins,WRI,19,False
Illinois,Cumberland County,Brian Carroll,ASP,3,False
Illinois,Cumberland County,Gloria La Riva,PSL,1,False
Illinois,DeKalb County,Joe Biden,DEM,24643,True
Illinois,DeKalb County,Donald Trump,REP,21905,False
Illinois,DeKalb County,Jo Jorgensen,LIB,783,False
Illinois,DeKalb County,Howie Hawkins,GRN,331,False
Illinois,DeKalb County, Write-ins,WRI,170,False
Illinois,DeKalb County,Brian Carroll,ASP,103,False
Illinois,DeKalb County,Gloria La Riva,PSL,54,False
Illinois,De Witt County,Donald Trump,REP,5632,True
Illinois,De Witt County,Joe Biden,DEM,2191,False
Illinois,De Witt County,Jo Jorgensen,LIB,139,False
Illinois,De Witt County,Howie Hawkins,GRN,47,False
Illinois,De Witt County,Brian Carroll,ASP,12,False
Illinois,De Witt County,Gloria La Riva,PSL,3,False
Illinois,De Witt County, Write-ins,WRI,0,False
Illinois,Douglas County,Donald Trump,REP,6227,True
Illinois,Douglas County,Joe Biden,DEM,2335,False
Illinois,Douglas County,Jo Jorgensen,LIB,119,False
Illinois,Douglas County,Howie Hawkins,GRN,43,False
Illinois,Douglas County, Write-ins,WRI,22,False
Illinois,Douglas County,Brian Carroll,ASP,10,False
Illinois,Douglas County,Gloria La Riva,PSL,4,False
Illinois,DuPage County,Joe Biden,DEM,281222,True
Illinois,DuPage County,Donald Trump,REP,193611,False
Illinois,DuPage County,Jo Jorgensen,LIB,6249,False
Illinois,DuPage County,Howie Hawkins,GRN,2490,False
Illinois,DuPage County,Brian Carroll,ASP,1115,False
Illinois,DuPage County,Gloria La Riva,PSL,377,False
Illinois,DuPage County, Write-ins,WRI,0,False
Illinois,Edgar County,Donald Trump,REP,6193,True
Illinois,Edgar County,Joe Biden,DEM,1887,False
Illinois,Edgar County,Jo Jorgensen,LIB,75,False
Illinois,Edgar County,Howie Hawkins,GRN,28,False
Illinois,Edgar County,Brian Carroll,ASP,8,False
Illinois,Edgar County,Gloria La Riva,PSL,5,False
Illinois,Edgar County, Write-ins,WRI,0,False
Illinois,Edwards County,Donald Trump,REP,2833,True
Illinois,Edwards County,Joe Biden,DEM,488,False
Illinois,Edwards County,Jo Jorgensen,LIB,31,False
Illinois,Edwards County,Howie Hawkins,GRN,9,False
Illinois,Edwards County,Gloria La Riva,PSL,3,False
Illinois,Edwards County,Brian Carroll,ASP,2,False
Illinois,Edwards County, Write-ins,WRI,2,False
Illinois,Effingham County,Donald Trump,REP,15006,True
Illinois,Effingham County,Joe Biden,DEM,3716,False
Illinois,Effingham County,Jo Jorgensen,LIB,232,False
Illinois,Effingham County,Howie Hawkins,GRN,59,False
Illinois,Effingham County, Write-ins,WRI,34,False
Illinois,Effingham County,Brian Carroll,ASP,27,False
Illinois,Effingham County,Gloria La Riva,PSL,9,False
Illinois,Fayette County,Donald Trump,REP,8055,True
Illinois,Fayette County,Joe Biden,DEM,1826,False
Illinois,Fayette County,Jo Jorgensen,LIB,113,False
Illinois,Fayette County,Howie Hawkins,GRN,36,False
Illinois,Fayette County, Write-ins,WRI,23,False
Illinois,Fayette County,Brian Carroll,ASP,16,False
Illinois,Fayette County,Gloria La Riva,PSL,7,False
Illinois,Ford County,Donald Trump,REP,5048,True
Illinois,Ford County,Joe Biden,DEM,1754,False
Illinois,Ford County,Jo Jorgensen,LIB,100,False
Illinois,Ford County,Howie Hawkins,GRN,39,False
Illinois,Ford County, Write-ins,WRI,14,False
Illinois,Ford County,Brian Carroll,ASP,10,False
Illinois,Ford County,Gloria La Riva,PSL,2,False
Illinois,Franklin County,Donald Trump,REP,13622,True
Illinois,Franklin County,Joe Biden,DEM,4760,False
Illinois,Franklin County,Jo Jorgensen,LIB,141,False
Illinois,Franklin County,Howie Hawkins,GRN,82,False
Illinois,Franklin County, Write-ins,WRI,43,False
Illinois,Franklin County,Brian Carroll,ASP,12,False
Illinois,Franklin County,Gloria La Riva,PSL,9,False
Illinois,Fulton County,Donald Trump,REP,9867,True
Illinois,Fulton County,Joe Biden,DEM,6503,False
Illinois,Fulton County,Jo Jorgensen,LIB,179,False
Illinois,Fulton County,Howie Hawkins,GRN,92,False
Illinois,Fulton County, Write-ins,WRI,46,False
Illinois,Fulton County,Brian Carroll,ASP,22,False
Illinois,Fulton County,Gloria La Riva,PSL,15,False
Illinois,Gallatin County,Donald Trump,REP,2019,True
Illinois,Gallatin County,Joe Biden,DEM,622,False
Illinois,Gallatin County,Jo Jorgensen,LIB,18,False
Illinois,Gallatin County,Howie Hawkins,GRN,10,False
Illinois,Gallatin County,Gloria La Riva,PSL,3,False
Illinois,Gallatin County,Brian Carroll,ASP,2,False
Illinois,Gallatin County, Write-ins,WRI,1,False
Illinois,Greene County,Donald Trump,REP,4770,True
Illinois,Greene County,Joe Biden,DEM,1349,False
Illinois,Greene County,Jo Jorgensen,LIB,70,False
Illinois,Greene County,Howie Hawkins,GRN,21,False
Illinois,Greene County,Brian Carroll,ASP,11,False
Illinois,Greene County,Gloria La Riva,PSL,6,False
Illinois,Greene County, Write-ins,WRI,0,False
Illinois,Grundy County,Donald Trump,REP,16523,True
Illinois,Grundy County,Joe Biden,DEM,9626,False
Illinois,Grundy County,Jo Jorgensen,LIB,356,False
Illinois,Grundy County,Howie Hawkins,GRN,125,False
Illinois,Grundy County, Write-ins,WRI,63,False
Illinois,Grundy County,Brian Carroll,ASP,34,False
Illinois,Grundy County,Gloria La Riva,PSL,26,False
Illinois,Hamilton County,Donald Trump,REP,3432,True
Illinois,Hamilton County,Joe Biden,DEM,824,False
Illinois,Hamilton County,Jo Jorgensen,LIB,41,False
Illinois,Hamilton County,Howie Hawkins,GRN,11,False
Illinois,Hamilton County, Write-ins,WRI,8,False
Illinois,Hamilton County,Gloria La Riva,PSL,4,False
Illinois,Hamilton County,Brian Carroll,ASP,3,False
Illinois,Hancock County,Donald Trump,REP,6906,True
Illinois,Hancock County,Joe Biden,DEM,2315,False
Illinois,Hancock County,Jo Jorgensen,LIB,114,False
Illinois,Hancock County,Howie Hawkins,GRN,35,False
Illinois,Hancock County,Gloria La Riva,PSL,8,False
Illinois,Hancock County,Brian Carroll,ASP,5,False
Illinois,Hancock County, Write-ins,WRI,0,False
Illinois,Hardin County,Donald Trump,REP,1691,True
Illinois,Hardin County,Joe Biden,DEM,449,False
Illinois,Hardin County,Jo Jorgensen,LIB,14,False
Illinois,Hardin County,Howie Hawkins,GRN,7,False
Illinois,Hardin County,Gloria La Riva,PSL,1,False
Illinois,Hardin County,Brian Carroll,ASP,0,False
Illinois,Hardin County, Write-ins,WRI,0,False
Illinois,Henderson County,Donald Trump,REP,2394,True
Illinois,Henderson County,Joe Biden,DEM,1187,False
Illinois,Henderson County,Jo Jorgensen,LIB,49,False
Illinois,Henderson County,Howie Hawkins,GRN,11,False
Illinois,Henderson County, Write-ins,WRI,9,False
Illinois,Henderson County,Brian Carroll,ASP,4,False
Illinois,Henderson County,Gloria La Riva,PSL,2,False
Illinois,Henry County,Donald Trump,REP,15300,True
Illinois,Henry County,Joe Biden,DEM,9797,False
Illinois,Henry County,Jo Jorgensen,LIB,369,False
Illinois,Henry County,Howie Hawkins,GRN,109,False
Illinois,Henry County, Write-ins,WRI,65,False
Illinois,Henry County,Brian Carroll,ASP,43,False
Illinois,Henry County,Gloria La Riva,PSL,17,False
Illinois,Iroquois County,Donald Trump,REP,10877,True
Illinois,Iroquois County,Joe Biden,DEM,2908,False
Illinois,Iroquois County,Jo Jorgensen,LIB,147,False
Illinois,Iroquois County,Howie Hawkins,GRN,64,False
Illinois,Iroquois County,Brian Carroll,ASP,24,False
Illinois,Iroquois County, Write-ins,WRI,20,False
Illinois,Iroquois County,Gloria La Riva,PSL,4,False
Illinois,Jackson County,Joe Biden,DEM,11181,True
Illinois,Jackson County,Donald Trump,REP,10890,False
Illinois,Jackson County,Jo Jorgensen,LIB,311,False
Illinois,Jackson County,Howie Hawkins,GRN,194,False
Illinois,Jackson County, Write-ins,WRI,73,False
Illinois,Jackson County,Brian Carroll,ASP,34,False
Illinois,Jackson County,Gloria La Riva,PSL,33,False
Illinois,Jasper County,Donald Trump,REP,4494,True
Illinois,Jasper County,Joe Biden,DEM,1007,False
Illinois,Jasper County,Jo Jorgensen,LIB,53,False
Illinois,Jasper County,Howie Hawkins,GRN,17,False
Illinois,Jasper County, Write-ins,WRI,10,False
Illinois,Jasper County,Brian Carroll,ASP,4,False
Illinois,Jasper County,Gloria La Riva,PSL,1,False
Illinois,Jefferson County,Donald Trump,REP,12476,True
Illinois,Jefferson County,Joe Biden,DEM,4608,False
Illinois,Jefferson County,Jo Jorgensen,LIB,214,False
Illinois,Jefferson County,Howie Hawkins,GRN,77,False
Illinois,Jefferson County, Write-ins,WRI,32,False
Illinois,Jefferson County,Brian Carroll,ASP,16,False
Illinois,Jefferson County,Gloria La Riva,PSL,13,False
Illinois,Jersey County,Donald Trump,REP,8712,True
Illinois,Jersey County,Joe Biden,DEM,2961,False
Illinois,Jersey County,Jo Jorgensen,LIB,202,False
Illinois,Jersey County,Howie Hawkins,GRN,45,False
Illinois,Jersey County, Write-ins,WRI,23,False
Illinois,Jersey County,Brian Carroll,ASP,10,False
Illinois,Jersey County,Gloria La Riva,PSL,7,False
Illinois,Jo Daviess County,Donald Trump,REP,7166,True
Illinois,Jo Daviess County,Joe Biden,DEM,5109,False
Illinois,Jo Daviess County,Jo Jorgensen,LIB,125,False
Illinois,Jo Daviess County,Howie Hawkins,GRN,61,False
Illinois,Jo Daviess County,Gloria La Riva,PSL,18,False
Illinois,Jo Daviess County,Brian Carroll,ASP,16,False
Illinois,Jo Daviess County, Write-ins,WRI,0,False
Illinois,Johnson County,Donald Trump,REP,5059,True
Illinois,Johnson County,Joe Biden,DEM,1281,False
Illinois,Johnson County,Jo Jorgensen,LIB,53,False
Illinois,Johnson County,Howie Hawkins,GRN,37,False
Illinois,Johnson County, Write-ins,WRI,13,False
Illinois,Johnson County,Gloria La Riva,PSL,4,False
Illinois,Johnson County,Brian Carroll,ASP,3,False
Illinois,Kane County,Joe Biden,DEM,130166,True
Illinois,Kane County,Donald Trump,REP,96775,False
Illinois,Kane County,Jo Jorgensen,LIB,2878,False
Illinois,Kane County,Howie Hawkins,GRN,1201,False
Illinois,Kane County,Brian Carroll,ASP,543,False
Illinois,Kane County,Gloria La Riva,PSL,300,False
Illinois,Kane County, Write-ins,WRI,13,False
Illinois,Kankakee County,Donald Trump,REP,28532,True
Illinois,Kankakee County,Joe Biden,DEM,20271,False
Illinois,Kankakee County,Jo Jorgensen,LIB,804,False
Illinois,Kankakee County,Howie Hawkins,GRN,191,False
Illinois,Kankakee County, Write-ins,WRI,137,False
Illinois,Kankakee County,Brian Carroll,ASP,60,False
Illinois,Kankakee County,Gloria La Riva,PSL,44,False
Illinois,Kendall County,Joe Biden,DEM,33168,True
Illinois,Kendall County,Donald Trump,REP,29492,False
Illinois,Kendall County,Jo Jorgensen,LIB,810,False
Illinois,Kendall County,Howie Hawkins,GRN,334,False
Illinois,Kendall County, Write-ins,WRI,234,False
Illinois,Kendall County,Brian Carroll,ASP,102,False
Illinois,Kendall County,Gloria La Riva,PSL,65,False
Illinois,Knox County,Donald Trump,REP,12009,True
Illinois,Knox County,Joe Biden,DEM,10703,False
Illinois,Knox County,Jo Jorgensen,LIB,258,False
Illinois,Knox County,Howie Hawkins,GRN,115,False
Illinois,Knox County, Write-ins,WRI,62,False
Illinois,Knox County,Gloria La Riva,PSL,36,False
Illinois,Knox County,Brian Carroll,ASP,22,False
Illinois,Lake County,Joe Biden,DEM,204032,True
Illinois,Lake County,Donald Trump,REP,123594,False
Illinois,Lake County,Jo Jorgensen,LIB,4160,False
Illinois,Lake County,Howie Hawkins,GRN,1441,False
Illinois,Lake County,Brian Carroll,ASP,553,False
Illinois,Lake County,Gloria La Riva,PSL,376,False
Illinois,Lake County, Write-ins,WRI,0,False
Illinois,LaSalle County,Donald Trump,REP,30113,True
Illinois,LaSalle County,Joe Biden,DEM,22442,False
Illinois,LaSalle County,Jo Jorgensen,LIB,675,False
Illinois,LaSalle County,Howie Hawkins,GRN,255,False
Illinois,LaSalle County, Write-ins,WRI,93,False
Illinois,LaSalle County,Gloria La Riva,PSL,54,False
Illinois,LaSalle County,Brian Carroll,ASP,51,False
Illinois,Lawrence County,Donald Trump,REP,4886,True
Illinois,Lawrence County,Joe Biden,DEM,1419,False
Illinois,Lawrence County,Jo Jorgensen,LIB,82,False
Illinois,Lawrence County,Howie Hawkins,GRN,19,False
Illinois,Lawrence County, Write-ins,WRI,11,False
Illinois,Lawrence County,Gloria La Riva,PSL,3,False
Illinois,Lawrence County,Brian Carroll,ASP,2,False
Illinois,Lee County,Donald Trump,REP,9630,True
Illinois,Lee County,Joe Biden,DEM,6407,False
Illinois,Lee County,Jo Jorgensen,LIB,229,False
Illinois,Lee County,Howie Hawkins,GRN,97,False
Illinois,Lee County, Write-ins,WRI,43,False
Illinois,Lee County,Brian Carroll,ASP,22,False
Illinois,Lee County,Gloria La Riva,PSL,12,False
Illinois,Livingston County,Donald Trump,REP,12208,True
Illinois,Livingston County,Joe Biden,DEM,4615,False
Illinois,Livingston County,Jo Jorgensen,LIB,244,False
Illinois,Livingston County,Howie Hawkins,GRN,73,False
Illinois,Livingston County,Brian Carroll,ASP,22,False
Illinois,Livingston County,Gloria La Riva,PSL,12,False
Illinois,Livingston County, Write-ins,WRI,0,False
Illinois,Logan County,Donald Trump,REP,9136,True
Illinois,Logan County,Joe Biden,DEM,3840,False
Illinois,Logan County,Jo Jorgensen,LIB,211,False
Illinois,Logan County,Howie Hawkins,GRN,66,False
Illinois,Logan County,Brian Carroll,ASP,27,False
Illinois,Logan County,Gloria La Riva,PSL,14,False
Illinois,Logan County, Write-ins,WRI,0,False
Illinois,McDonough County,Donald Trump,REP,7027,True
Illinois,McDonough County,Joe Biden,DEM,4992,False
Illinois,McDonough County,Jo Jorgensen,LIB,173,False
Illinois,McDonough County,Howie Hawkins,GRN,54,False
Illinois,McDonough County,Gloria La Riva,PSL,20,False
Illinois,McDonough County,Brian Carroll,ASP,19,False
Illinois,McDonough County, Write-ins,WRI,0,False
Illinois,McHenry County,Donald Trump,REP,82260,True
Illinois,McHenry County,Joe Biden,DEM,78154,False
Illinois,McHenry County,Jo Jorgensen,LIB,2176,False
Illinois,McHenry County,Howie Hawkins,GRN,781,False
Illinois,McHenry County, Write-ins,WRI,704,False
Illinois,McHenry County,Brian Carroll,ASP,298,False
Illinois,McHenry County,Gloria La Riva,PSL,205,False
Illinois,McLean County,Joe Biden,DEM,43933,True
Illinois,McLean County,Donald Trump,REP,40502,False
Illinois,McLean County,Jo Jorgensen,LIB,1624,False
Illinois,McLean County,Howie Hawkins,GRN,502,False
Illinois,McLean County, Write-ins,WRI,389,False
Illinois,McLean County,Brian Carroll,ASP,283,False
Illinois,McLean County,Gloria La Riva,PSL,156,False
Illinois,Macon County,Donald Trump,REP,28589,True
Illinois,Macon County,Joe Biden,DEM,19847,False
Illinois,Macon County,Jo Jorgensen,LIB,597,False
Illinois,Macon County,Howie Hawkins,GRN,211,False
Illinois,Macon County,Brian Carroll,ASP,84,False
Illinois,Macon County,Gloria La Riva,PSL,59,False
Illinois,Macon County, Write-ins,WRI,0,False
Illinois,Macoupin County,Donald Trump,REP,16153,True
Illinois,Macoupin County,Joe Biden,DEM,7365,False
Illinois,Macoupin County,Jo Jorgensen,LIB,350,False
Illinois,Macoupin County,Howie Hawkins,GRN,110,False
Illinois,Macoupin County, Write-ins,WRI,48,False
Illinois,Macoupin County,Brian Carroll,ASP,24,False
Illinois,Macoupin County,Gloria La Riva,PSL,20,False
Illinois,Madison County,Donald Trump,REP,76031,True
Illinois,Madison County,Joe Biden,DEM,57836,False
Illinois,Madison County,Jo Jorgensen,LIB,2169,False
Illinois,Madison County,Howie Hawkins,GRN,710,False
Illinois,Madison County, Write-ins,WRI,423,False
Illinois,Madison County,Brian Carroll,ASP,206,False
Illinois,Madison County,Gloria La Riva,PSL,183,False
Illinois,Marion County,Donald Trump,REP,12678,True
Illinois,Marion County,Joe Biden,DEM,4524,False
Illinois,Marion County,Jo Jorgensen,LIB,163,False
Illinois,Marion County,Howie Hawkins,GRN,74,False
Illinois,Marion County, Write-ins,WRI,34,False
Illinois,Marion County,Gloria La Riva,PSL,10,False
Illinois,Marion County,Brian Carroll,ASP,9,False
Illinois,Marshall County,Donald Trump,REP,4197,True
Illinois,Marshall County,Joe Biden,DEM,2005,False
Illinois,Marshall County,Jo Jorgensen,LIB,94,False
Illinois,Marshall County,Howie Hawkins,GRN,27,False
Illinois,Marshall County, Write-ins,WRI,11,False
Illinois,Marshall County,Brian Carroll,ASP,6,False
Illinois,Marshall County,Gloria La Riva,PSL,5,False
Illinois,Mason County,Donald Trump,REP,4654,True
Illinois,Mason County,Joe Biden,DEM,1985,False
Illinois,Mason County,Jo Jorgensen,LIB,78,False
Illinois,Mason County,Howie Hawkins,GRN,31,False
Illinois,Mason County,Gloria La Riva,PSL,11,False
Illinois,Mason County,Brian Carroll,ASP,7,False
Illinois,Mason County, Write-ins,WRI,0,False
Illinois,Massac County,Donald Trump,REP,4997,True
Illinois,Massac County,Joe Biden,DEM,1725,False
Illinois,Massac County,Jo Jorgensen,LIB,65,False
Illinois,Massac County,Howie Hawkins,GRN,14,False
Illinois,Massac County,Brian Carroll,ASP,7,False
Illinois,Massac County,Gloria La Riva,PSL,5,False
Illinois,Massac County, Write-ins,WRI,5,False
Illinois,Menard County,Donald Trump,REP,4764,True
Illinois,Menard County,Joe Biden,DEM,2022,False
Illinois,Menard County,Jo Jorgensen,LIB,95,False
Illinois,Menard County,Howie Hawkins,GRN,33,False
Illinois,Menard County, Write-ins,WRI,26,False
Illinois,Menard County,Gloria La Riva,PSL,9,False
Illinois,Menard County,Brian Carroll,ASP,5,False
Illinois,Mercer County,Donald Trump,REP,5418,True
Illinois,Mercer County,Joe Biden,DEM,3280,False
Illinois,Mercer County,Jo Jorgensen,LIB,134,False
Illinois,Mercer County,Howie Hawkins,GRN,48,False
Illinois,Mercer County, Write-ins,WRI,21,False
Illinois,Mercer County,Gloria La Riva,PSL,8,False
Illinois,Mercer County,Brian Carroll,ASP,5,False
Illinois,Monroe County,Donald Trump,REP,14142,True
Illinois,Monroe County,Joe Biden,DEM,6569,False
Illinois,Monroe County,Jo Jorgensen,LIB,309,False
Illinois,Monroe County,Howie Hawkins,GRN,83,False
Illinois,Monroe County, Write-ins,WRI,58,False
Illinois,Monroe County,Brian Carroll,ASP,28,False
Illinois,Monroe County,Gloria La Riva,PSL,17,False
Illinois,Montgomery County,Donald Trump,REP,9544,True
Illinois,Montgomery County,Joe Biden,DEM,3905,False
Illinois,Montgomery County,Jo Jorgensen,LIB,204,False
Illinois,Montgomery County,Howie Hawkins,GRN,53,False
Illinois,Montgomery County, Write-ins,WRI,34,False
Illinois,Montgomery County,Brian Carroll,ASP,14,False
Illinois,Montgomery County,Gloria La Riva,PSL,7,False
Illinois,Morgan County,Donald Trump,REP,9950,True
Illinois,Morgan County,Joe Biden,DEM,5076,False
Illinois,Morgan County,Jo Jorgensen,LIB,198,False
Illinois,Morgan County,Howie Hawkins,GRN,55,False
Illinois,Morgan County, Write-ins,WRI,24,False
Illinois,Morgan County,Brian Carroll,ASP,15,False
Illinois,Morgan County,Gloria La Riva,PSL,15,False
Illinois,Moultrie County,Donald Trump,REP,4964,True
Illinois,Moultrie County,Joe Biden,DEM,1662,False
Illinois,Moultrie County,Jo Jorgensen,LIB,87,False
Illinois,Moultrie County,Howie Hawkins,GRN,24,False
Illinois,Moultrie County,Brian Carroll,ASP,4,False
Illinois,Moultrie County,Gloria La Riva,PSL,3,False
Illinois,Moultrie County, Write-ins,WRI,0,False
Illinois,Ogle County,Donald Trump,REP,16248,True
Illinois,Ogle County,Joe Biden,DEM,9428,False
Illinois,Ogle County,Jo Jorgensen,LIB,389,False
Illinois,Ogle County,Howie Hawkins,GRN,143,False
Illinois,Ogle County, Write-ins,WRI,68,False
Illinois,Ogle County,Brian Carroll,ASP,41,False
Illinois,Ogle County,Gloria La Riva,PSL,23,False
Illinois,Peoria County,Joe Biden,DEM,43578,True
Illinois,Peoria County,Donald Trump,REP,38252,False
Illinois,Peoria County,Jo Jorgensen,LIB,1309,False
Illinois,Peoria County,Howie Hawkins,GRN,507,False
Illinois,Peoria County,Brian Carroll,ASP,216,False
Illinois,Peoria County,Gloria La Riva,PSL,105,False
Illinois,Peoria County, Write-ins,WRI,6,False
Illinois,Perry County,Donald Trump,REP,7313,True
Illinois,Perry County,Joe Biden,DEM,2612,False
Illinois,Perry County,Jo Jorgensen,LIB,69,False
Illinois,Perry County,Howie Hawkins,GRN,52,False
Illinois,Perry County, Write-ins,WRI,18,False
Illinois,Perry County,Gloria La Riva,PSL,4,False
Illinois,Perry County,Brian Carroll,ASP,3,False
Illinois,Piatt County,Donald Trump,REP,6248,True
Illinois,Piatt County,Joe Biden,DEM,3329,False
Illinois,Piatt County,Jo Jorgensen,LIB,168,False
Illinois,Piatt County,Howie Hawkins,GRN,35,False
