Census Tract#,Zipcode,Neighborhood,US Geonames Sub-neigborhood,Total Population, Black,Black Proportion,White,White Proportion,American Indian & Alaska Native,American Indian & Alaska Native Proportion,Asian,Asian Proportion,Male ,Male Proportion,Female ,Female Proportion ,Lat,Long,Primary Sub-Neighborhood,Secondary Sub-Neighborhood,Teritriary Sub-Neighborhood(s),T-Stop/Commuter Rail
922,"02122, 02124",Dorchester,Dorchester Center,"3,107","1,530",49.24%,934,30.06%,0,0.00%,525,16.90%,"1,374",44.22%,"1,733",55.78%,42.2950231,-71.0661698,Fields Corner Wester,St. Marks,Dorchester,Shawmut
923,02124,Dorchester,,"3,392","2,750",81.07%,432,12.74%,87,2.56%,33,0.97%,"1,567",46.20%,"1,825",53.80%,42.2939435,-71.0750607,Dorcehster Center,Fields Corner West,,Talbot Ave / Shawmut
924,"02121, 02124",Dorchester,,"6,549","5,239",80.00%,546,8.34%,99,1.51%,34,0.52%,"2,845",43.44%,"3,704",56.56%,42.2960418,-71.0849877,Franklin Field South,Fields Corner West,,Talbot Ave
1001,"02124, 02126",Dorchester,,"7,140","5,927",83.01%,"1,191",16.68%,212,2.97%,68,0.95%,"2,929",41.02%,"4,211",58.98%,42.2902498,-71.0873027,Franklin Field South,Codman Square,,
1002,"02124, 02126",Dorchester,,"3,440","2,815",81.83%,506,14.71%,0,0.00%,69,2.01%,"1,597",46.42%,"1,843",53.58%,42.2848004,-71.0857215,Franklin Field South,West Codman Hill / West Lower Mills,,
1003,"02124, 02126",Dorchester,,"4,106","3,709",90.33%,212,5.16%,84,2.05%,125,3.04%,"1,781",43.38%,"2,325",56.62%,42.2827979,-71.0797972,West Codman Hill/ West Lower Mills,,,Morton Street
1004,02124,Dorchester,Ashmont,"5,703","3,882",68.07%,"1,098",19.25%,186,3.26%,664,11.64%,"2,514",44.08%,"3,189",55.92%,42.281787,-71.0708447,West Codman Hill/ West Lower Mills,Ashmont,,Ashmont / Peabody Square
1005,02124,Dorchester,,"6,909","4,538",65.68%,"1,574",22.78%,117,1.69%,753,10.90%,"3,180",46.03%,"3,729",53.97%,42.2882344,-71.0707474,Codman Square,Dorchester Center,,Ashmont / Peabody Square
1006.01,"02122, 02124",Dorchester,,"5,978","2,691",45.02%,"2,143",35.85%,58,0.97%,"1,091",18.25%,"2,676",44.76%,"3,302",55.24%,42.2908491,-71.0562794,St. Marks,Neponset/Port Norfolk,,
1006.03,02122,Dorchester,Neponset,"1,973",259,13.13%,"1,599",81.04%,8,0.41%,130,6.59%,874,44.30%,"1,099",55.70%,42.2915512,-71.0413191,Neponset/Port Norfolk,Marina Bay,,
1007,"02122, 02124",Dorchester,,"4,389",125,2.85%,"4,155",94.67%,7,0.16%,144,3.28%,"2,364",53.86%,"2,025",46.14%,42.2826719,-71.0479602,Adams Village,Ashmont,,
1008,"02122, 02124",Dorchester,Cedar Grove,"6,572","2,016",30.68%,"4,047",61.58%,0,0.00%,744,11.32%,"3,301",50.23%,"3,271",49.77%,42.277192,-71.0638243,Ashmount,,,Cedar Grove
1009,"02124, 02126",Mattapan,Lower Mills,"4,556","2,451",53.80%,"1,304",28.62%,160,3.51%,404,8.87%,"2,424",53.20%,"2,132",46.80%,42.2740065,-71.0742308,Milton Hill,West Codman Hill / West Lower Mills,,Central Ave/ Milton/Butler
1010.01,02126,Mattapan,,"5,978","5,536",92.61%,535,8.95%,101,1.69%,55,0.92%,"3,039",50.84%,"2,939",49.16%,42.2718109,-71.0999859,Southern Mattapan,,,Mlue Hill Avenue
1010.02,02126,Mattapan,Mattapan,"6,179","5,270",85.29%,776,12.56%,72,1.17%,109,1.76%,"2,342",37.90%,"3,837",62.10%,42.2740572,-71.0853267,Mattapan,West Codman Hill / West Lower Mills,,Morton Street
1011.01,02126,Mattapan,,"3,850","3,581",93.01%,91,2.36%,0,0.00%,87,2.26%,"1,800",46.75%,"2,050",53.25%,42.2826649,-71.0950819,Wellington Hill,West Codman Hill / West Lower Mills,,Morton Street
1011.02,02126,Mattapan,,"5,137","4,605",89.64%,380,7.40%,53,1.03%,37,0.72%,"2,508",48.82%,"2,629",51.18%,42.2787961,-71.0920462,Washington Hill,Mattapan,,Morton Street
1101.03,"02130, 02131",Jamaica Plain,,"6,667","2,006",30.09%,"4,093",61.39%,0,0.00%,298,4.47%,"2,875",43.12%,"3,792",56.88%,42.2961825,-71.1157388,Forest Hills/Woodbourne,Stony Brook,,Hyde Park Ave opp Walk Hill St / Forest Hills
1102.01,02131,Roslindale,,"2,528","1,269",50.20%,835,33.03%,23,0.91%,40,1.58%,"1,085",42.92%,"1,443",57.08%,42.280496,-71.1170508,Washington /Mount Hope,Roslindale,,American Legion Highway @ Stella
1103.01,"02130, 02131",Roslindale,,"2,720",875,32.17%,"1,483",54.52%,72,2.65%,45,1.65%,"1,175",43.20%,"1,545",56.80%,42.2868052,-71.1132775,Forest Hills/Woodbourne,Lower Washington/Mount Hope,,
1104.01,02131,Roslindale,Roslindale,"3,550","1,216",34.25%,"1,801",50.73%,86,2.42%,143,4.03%,"1,495",42.11%,"2,055",57.89%,42.2864332,-71.1225529,Roslindale ,Lower Washington/Mount Hope,,Roslindale Village
1104.03,02131,Roslindale,Mount Hope/ Clarendon Hills,"4,532","1,326",29.26%,"2,769",61.10%,49,1.08%,154,3.40%,"2,051",45.26%,"2,481",54.74%,42.2782721,-71.1269738,Metropolitan Hill/Beech Street,Roslindale,Washington/Mount Hope,
1105.01,"02131, 02132",Roslindale,,"3,738",332,8.88%,"3,000",80.26%,17,0.45%,42,1.12%,"1,723",46.09%,"2,015",53.91%,42.2821618,-71.1414486,Metropolitan Hill/Beech Street,Roslindale,,Bellevue
1105.02,02131,Roslindale,,"4,909",866,17.64%,"3,329",67.81%,209,4.26%,246,5.01%,"2,431",49.52%,"2,478",50.48%,42.2829171,-71.132605,Roslindale,Metropolitan Hill/Beech Street,,
1106.01,"02130, 02132, 02467",West Roxbury,,"2,970",128,4.31%,"2,636",88.75%,0,0.00%,282,9.49%,"1,294",43.57%,"1,676",56.43%,42.2983302,-71.1397069,Centre South,South Brookline,,
1106.07,"02131, 02132",Roslindale,Bellevue,"5,420",306,5.65%,"4,830",89.11%,19,0.35%,214,3.95%,"2,505",46.22%,"2,915",53.78%,42.2902868,-71.13464,Roslindale,,,
1201.03,02130,Jamaica Plain,Jamaica Plain,"1,669",94,5.63%,"1,484",88.92%,0,0.00%,161,9.65%,796,47.69%,873,52.31%,42.3117567,-71.1182632,Jamaica Hills,Jamaica Plain,,Green Street
1201.04,02130,Jamaica Plain,,"2,210",243,11.00%,"1,870",84.62%,0,0.00%,104,4.71%,922,41.72%,"1,288",58.28%,42.3056862,-71.1173049,Jamaica Plain,Stony Brook,,
1201.05,02130,Jamaica Plain,,"2,726",122,4.48%,"2,376",87.16%,35,1.28%,298,10.93%,"1,030",37.78%,"1,696",62.22%,42.3087398,-71.1262938,Jamaica Plain,Jamaica Hills,,
1202.01,02130,Jamaica Plain,,"3,919",559,14.26%,"2,842",72.52%,106,2.70%,187,4.77%,"2,034",51.90%,"1,885",48.10%,42.305157,-71.1083675,Stonybrook,Jamaica Plain,,Green Street
1203.01,"02119, 02130",Jamaica Plain,,"5,570","1,381",24.79%,"3,156",56.66%,0,0.00%,317,5.69%,"2,748",49.34%,"2,822",50.66%,42.3126415,-71.1019313,Roxbury ,Dorchester,Washington Park,Stony Brook
1204,02130,Jamaica Plain,,"6,519",645,9.89%,"5,424",83.20%,0,0.00%,704,10.80%,"2,977",45.67%,"3,542",54.33%,42.3139015,-71.1116653,Egleston Square,,,Green Street/Stony Brook
1205,02130,Jamaica Plain,,"2,817",531,18.85%,"1,487",52.79%,14,0.50%,253,8.98%,"1,463",51.93%,"1,354",48.07%,42.3206587,-71.1042025,Mission Hill,,,Jackson Square/Stony Brook
1206,02130,Jamaica Plain,,"2,447",231,9.44%,"1,902",77.73%,14,0.57%,156,6.38%,"1,323",54.07%,"1,124",45.93%,42.3191097,-71.1088407,Egleston Square,,,Stony Brook
1207,02130,Jamaica Plain,,"2,332",198,8.49%,"1,611",69.08%,92,3.95%,311,13.34%,"1,058",45.37%,"1,274",54.63%,42.3242557,-71.1112111,High Street Hill,Mission Hill,,Heath Street
1301,"02132, 02467",West Roxbury,,"6,764",349,5.16%,"5,666",83.77%,61,0.90%,836,12.36%,"3,275",48.42%,"3,489",51.58%,42.2904255,-71.1714978,Brook Farm,Oak Hill Park,,
1302,02132,West Roxbury,Highland,"5,299",255,4.81%,"4,812",90.81%,56,1.06%,226,4.26%,"2,526",47.67%,"2,773",52.33%,42.2873319,-71.157012,Brook Farm,,,Highland
1303,02132,West Roxbury,West Roxbury,"4,519",170,3.76%,"3,948",87.36%,0,0.00%,330,7.30%,"2,094",46.34%,"2,425",53.66%,42.2791295,-71.1507097,Bellevue Hill,Roxbury,,Woodard Rd @ Wren
1304.02,02132,West Roxbury,,"4,934",204,4.13%,"4,084",82.77%,95,1.93%,564,11.43%,"2,128",43.13%,"2,806",56.87%,42.2724011,-71.1694056,Upper Washington/Spring Street,,,Spring Street @ Goud
1304.04,02132,West Roxbury,,"3,439",551,16.02%,"2,405",69.93%,0,0.00%,349,10.15%,"1,639",47.66%,"1,800",52.34%,42.2689968,-71.1594658,Upper Washington/Spring Street,West Roxbury,,
1304.06,"02132, 02136",West Roxbury,Germantown,"6,345","3,269",51.52%,"2,530",39.87%,32,0.50%,455,7.17%,"2,951",46.51%,"3,394",53.49%,42.2600645,-71.1514976,Hyde Park,West Roxbury,,
1401.02,02136,Hyde Park,,"5,561","2,574",46.29%,"2,563",46.09%,63,1.13%,154,2.77%,"2,492",44.81%,"3,069",55.19%,42.2446858,-71.1424773,Georgetown,,,
1401.05,"02131, 02136",Hyde Park,,"4,063","1,195",29.41%,"2,296",56.51%,0,0.00%,50,1.23%,"2,020",49.72%,"2,043",50.28%,42.267997,-71.1251892,West Street/River Street,,,
1401.06,02131,Roslindale,,"2,185","1,194",54.65%,776,35.51%,30,1.37%,44,2.01%,953,43.62%,"1,232",56.38%,42.2738738,-71.1371416,Metropolitan Hill/Beech Street,West Street/River Street,,
1401.07,02136,Hyde Park,,"2,754",952,34.57%,"1,431",51.96%,114,4.14%,0,0.00%,"1,154",41.90%,"1,600",58.10%,42.2577216,-71.1284206,Hyde Park,Fairmount Hill,West Street / River Street,Hyde Park  
1402.01,02136,Hyde Park,Readville,"2,475",901,36.40%,"1,324",53.49%,0,0.00%,147,5.94%,"1,296",52.36%,"1,179",47.64%,42.2375306,-71.1305713,Ashcroft,Fairmount Hill,Hyde Park,
1402.02,02136,Hyde Park,Farimount,"6,784","2,430",35.82%,"3,456",50.94%,0,0.00%,258,3.80%,"3,475",51.22%,"3,309",48.78%,42.2495181,-71.117543,Hyde Park,Readville,,Fairmount
1403,02136,Hyde Park,Hyde Park,"7,519","4,370",58.12%,"2,067",27.49%,23,0.31%,52,0.69%,"3,415",45.42%,"4,104",54.58%,42.2587734,-71.1188131,Hyde Park,,,
1404,"02126, 02131, 02136",Hyde Park,,"8,961","6,983",77.93%,"1,324",14.78%,81,0.90%,144,1.61%,"4,332",48.34%,"4,629",51.66%,42.2692219,-71.1118088,West Street/River Street,,,
9801.01,"02122, 02125",Harbor Islands,,405,127,31.36%,193,47.65%,58,14.32%,1,0.25%,328,80.99%,77,19.01%,42.3265116,-70.9390337,N/A,,,
9803,"02121, 02130",Roxbury,Forest Hill,380,91,23.95%,221,58.16%,13,3.42%,24,6.32%,295,77.63%,85,22.37%,42.3006134,-71.094613,Roxbury,Dorchester,Forest Hills Woodbourne,
9807,02136,Hyde Park,,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,42.265018,-71.1400504,West Street/River Street,Upper Washington / Spring Street,Hyde Park,
9810,"02130, 02131",Jamaica Plain,,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,42.2988831,-71.1267059,Forest Hills/Woodbourne,Stony Brook,,Centre St @ Faulkner Hospital
9811,"02124, 02126, 02130, 02131",Mattapan,Forest Hill,470,249,52.98%,168,35.74%,15,3.19%,8,1.70%,313,66.60%,157,33.40%,42.2879942,-71.1034042,Forest Hills/Woodbourne,Franklin Field North,Lower Washington/Mount Hope,
9812.01,02127,South Boston,City Point,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,42.3320503,-71.0270465,City Point,Telegraph Hill,,Columbia Rd @ P Street
9812.02,"02127, 02210",South Boston Waterfront,Fort Winthrop (historical),215,27,12.56%,179,83.26%,0,0.00%,16,7.44%,206,95.81%,9,4.19%,42.3439164,-71.0243619,City Point,Telegraph Hill,D Street/West Broadway,
9813,02128,East Boston,,400,20,5.00%,362,90.50%,0,0.00%,37,9.25%,284,71.00%,116,29.00%,42.3611289,-71.0069754,Jeffries Point,,,
9815.01,"02114, 02115, 02116, 02134, 02135, 02163, 02215",Back Bay,,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,42.3524288,-71.0878101,Back Bay West / Back Bay,,,Kenmore
9815.02,02151,East Boston,,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,42.396367,-71.0043791,Beachmont,Orient Heights,,Beachmont
9816,02128,East Boston,,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,42.3886205,-70.9934424,Orient Heights,Beachmont,,Suffolk Downs
9817,02116,Beacon Hill,,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,42.3550872,-71.0657432,Downtown Crossing,,,Boylston Street
9818,"02130, 02215",Jamaica Plain,,26,9,34.62%,17,65.38%,0,0.00%,0,0.00%,4,15.38%,22,84.62%,42.3231211,-71.1168818,High Street Hill,,,Heath Street / Back of the Hill
9901.01,02130,,,67,18,26.87%,49,73.13%,0,0.00%,0,0.00%,55,82.09%,12,17.91%,42.329611,-70.9491995,N/A,,,
