company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_cert,has_bais_id,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,business_type,construction,year_established,number_employees,business_area_1,business_area_2,business_area_3,naics_1,naics_2,naics_3
Carol Kent Yacht Charters,Yacht charter and event planning company   ,WBE,SLBE,,false,false,144 Pleasant Street Marblehead MA 01945,Marblehead,MA,01945,Ms. Carol Kent,,(781) 631-1800,(617) 742-2502,vacation@carolkent.com,Profit,false,1988,Under 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,"487210 - Scenic and Sightseeing Transportation, Water",,
Carol s Lighting & Supply Company,"Procurement, supplier, and distribution of electrical supplies and lighting fixtures and consulting services   ",MWBE,SBE,,false,false,55 Shawmut Road Canton MA 02021,Canton,MA,02021,Ms. Carol Ford,Owner,(888) 822-7657,(781) 499-2511,carol@carolslightingsupply.com,Profit,false,2003,Under 10,SU - Suppliers,,,"423610 - Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",423690 - Other Electronic Parts and Equipment Merchant Wholesalers ,
"Carroll Communications Group, LLC",Marketing; advertising; market research; brand planning; website design and development; graphic design; media planning and buying; public relations; social media; SEO and PPC   ,MBE,SBE,,true,false,P.O. Box 401 Milton MA 02186,Milton,MA,02186,Mr. Marc Carroll,Owner,(781) 248-2125,(617) 698-1377,mcarroll@carrollcommunications.net,Profit,false,2008,Under 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,541810 - Advertising Agencies,541830 - Media Buying Agencies,541430 - Graphic Design Services
"Casablanca Services, Inc.",Landscaping; fencing; irrigation; hardscaping; and snow removal,MBE,,,false,false,4 Bennett Street Everett MA 02149,Everett,MA,02149,Mr. Yacine Ibrahimi,President,(508) 271-5655,(508) 271-5655,casablancalandscaping@gmail.com,Profit,true,2011,Under 10,LA - Landscaping Contractors,,,561730 - Landscaping Services,,
Catherine Donaher & Associates,Development planning services; project feasibility; project planning; environmental permitting/regulatory compliance   compliance,WBE,,,true,false,20 Copley Street Brookline MA 02146,Brookline,MA,02146,Catherine Donaher,President,(617) 232-9051,(617) 232-3884,,Profit,false,1979,Under 10,"RE - Real Estate (Development, Management, Sales and Appraisals)",COB - Consultants: City Planning,CON - Consultants: Environmental,,,
"Catherine M. O'Neill, LLC",Consultant specializing in developing successful community and public relations campaigns and strategies to assist real estate developers,WBE,SLBE,,false,false,170 Savin Hill Avenue Dorchester MA 02124,Dorchester,MA,02124,Ms. Catherine O'Neill,Owner,(617) 943-6173,,catherine@catherineoneill.com,Profit,false,2004,Under 10,COP - Consultants: Public Relations,"RE - Real Estate (Development, Management, Sales and Appraisals)",TV - Television/Production,541810 - Advertising Agencies,541820 - Public Relations Agencies,
CBA Landscape Architects LLC,Landscape architecture design firm   ,WBE,,,true,true,24 Thorndike Street Cambridge MA 02141,Cambridge,MA,02141,Ms. Clara C Batchelor,Owner,(617) 945-9760,(617) 776-8775,clara@cbaland.com,Profit,false,,Under 10,"LD - Landscaping (Design, Architects)",,,541320 - Landscape Architectural Services,,
"CCB, Inc.","General contractor; specialty subcontractor services, including architectural millwork and finish carpentry   ",WBE,,,false,false,65 Bradley Drive Westbrook ME 04092,Westbrook,ME,04092,Ms. Beth L Sturtevant,President,(207) 887-3222,(207) 887-3294,bsturtevant@ccb-inc.com,Profit,true,1945,Over 100,GC - General Contractors,,,236220 - Commercial and Institutional Building Construction ,236210 - Industrial Building Construction ,237110 - Water and Sewer Line and Related Structures Construction 
"CC-Consult Group, LLC",Landscaping; site work; construction   ,MBE,SBE,,true,false,104 Webster Street Haverhill MA 01830,Haverhill,MA,01830,Mr. Richard Cox,Owner,(617) 997-3646,(978) 372-3194,cc.consultgroupllc@yahoo.com,Profit,true,2013,Under 10,LA - Landscaping Contractors,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",,561730 - Landscaping Services,238910 - Site Preparation Contractors,238990 - All Other Specialty Trade Contractors
"C & C Consulting Engineers, LLC","Consulting engineering in design of bridges, structures, roadways, utilities, traffic and civil work, survey and environmental engineering   Engineering.",MBE,SLBE,,true,true,214 Lincoln Street Boston MA 02134,Boston,MA,02134,Mr. Po-Shang Chen,President,(617) 254-6930,(617) 254-7631,p.chen@cccellc.com,Profit,false,2000,10-20,COD - Consultants: Design,EG - Civil/Structural Engineering,AE - Architects/Engineers,541330 - Engineering Services,,
"C&D Electronics, Inc.","Distributor of electrical/mechanical components, lighting, cameras, and access control   ",MWBE,SBE,,true,false,28 Appleton Street  Holyoke MA 01040,Holyoke,MA,01040,Ms. Tiffany Cutting Madru,Vice President,(413) 493-1238,(413) 493-1212,tcutting@cdindustries.com,Profit,false,1982,10-20,SU - Suppliers,,,"423610 - Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",423690 - Other Electronic Parts and Equipment Merchant Wholesalers ,
"CDS Contracting Services, LLC",Electrical contractors   ,MBE,,,false,true,456 Main Street Hanson MA 02341,Hanson,MA,02341,Mr. Mike Ye,Manager,(781) 293-5701,(888) 281-7198,mike@cdscontracting.net,Profit,true,2016,Under 10,EL - Electrical Contractors,,,238210 - Electrical Contractors and Other Wiring Installation Contractors,,
"CDW Consultants, Inc.","Civil and environmental engineering:  civil/site design, permitting, hazardous material site investigation and construction administration   ",WBE,SBE,,true,true,6 Huron Drive Natick MA 01760,Natick,MA,01760,Ms. Kathleen Campbell,President,(508) 875-2657,(508) 875-6617,mclose@cdwconsultants.com,Profit,false,1990,21-40,CON - Consultants: Environmental,"COA - Consultants: Architecture, Engineering",AE - Architects/Engineers,"541990 - All Other Professional, Scientific, and Technical Services",,
Central Electrical Specialty Corp.,Supply all commercial and industrial electrical materials   ,WBE,SBE,,true,false,130 Ford Street Brockton MA 02303,Brockton,MA,02303,Ms. Kristin Stadelmann,President,(508) 586-4000,(508) 580-2970,kristin@centralelectrical.com,Profit,true,1988,10-20,"EO - Electronic Parts (Mgfs., Distrib., Assembly Service)",,,444190 - Other Building Material Dealers ,,
"CERO Cooperative, Inc.",Compost removal; hauling organic waste   ,MBE,SLBE,,false,true,1452 Dorchester Avenue Dorchester MA 02122,Dorchester,MA,02122,Ms. Laurel Holmes,Worker-Owner,(617) 291-5855,,support@cero.coop,Profit,false,2013,Under 10,TK - Trucking (Waste Disposal Commodities Transport),,,562111 - Solid Waste Collection ,,
Chaps Building Management & Maintenance,"Janitorial services, landscaping and painting   ",MWBE,SLBE,,false,true,"DBA Services, Inc. Dorchester MA 02124",Dorchester,MA,02124,Mr. James Edmond,Dir. Of Operations and Sales,(617) 265-0622,(617) 265-2280,ejames@chapsservices.com,Profit,false,1994,41-100,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",PA - Painting and Papering Contractors,561720 - Janitorial Services ,561740 - Carpet and Upholstery Cleaning Services,238320 - Painting and Wall Covering Contractors
"Charles Rose Architects, Inc.",Architectural services   ,,SBE,,false,false,115 Willow Avenue Somerville MA 02144,Somerville,MA,02144,Mr. Charles Rose,Principal,(617) 628-5033,,crose@charlesrosearchitects.com,Profit,false,1998,Under 10,AE - Architects/Engineers,IT - Interior Deisgn Services,,541310 - Architectural Services,541410 - Interior Design Services,541340 - Drafting Services
"Chase Landscape, Inc.","Landscape construction, erosion control, masonry   ",WBE,SBE,,true,false,7 New Venture Drive South Dennis MA 02660,South Dennis,MA,02660,Ms. Nicole Merriman,President,(508) 776-2735,,nmerriman@comcast.net,Profit,true,1998,Under 10,LA - Landscaping Contractors,LA - Landscaping Contractors,,238140 - Masonry Contractors ,,
"CHB Excavating, Inc.",Excavation; sitework; underground utilities; demolition; snow plowing and removal   ,MBE,SBE,,false,true,197 Concord Road Westford MA 01886,Westford,MA,01886,Mr. Calvin Brandford,President,(978) 392-9796,(978) 589-9754,calvin@chbexcavating.com,Profit,true,2003,Under 10,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",SN - Snow Removal/Plowing (see also TK),EP - Equiment Rental (Heavy Construction),238910 - Site Preparation Contractors,237110 - Water and Sewer Line and Related Structures Construction ,
"Chef Rob s Caribbean Caf�, LLC","Full service restaurant and caterer specializing in coffee, carribbean meals   ",MBE,,,false,false,5920 Roswell Road Atlanta GA 30328,Atlanta,GA,30328,Mr. Robert Gayle,Owner,(404) 250-3737,(404) 250-3740,chefrob1972@gmail.com,Profit,false,2006,Over 100,CT - Catering,"FD - Food Products, Services",,,722320 - Caterers,
"Cheryl Richards, Inc.",Photographer   ,WBE,,,false,true,20 Park Plaza Boston MA 02116,Boston,MA,02116,Ms. Cheryl Richards,Owner,(617) 424-7760,,cheryl@cherylrichards.com,Profit,false,,Under 10,PG - Photography,,,,,
"Chia-Ming Sze Architect, Inc.","Architectural design, planning, urban design, interior design   ",MBE,SLBE,,true,true,326 A Street Boston MA 02210,Boston,MA,02210,Mr. Chia-Ming Sze,President,(617) 451-2727,(617) 451-6350,chiaming@szearch.com,Profit,false,1972,Under 10,AE - Architects/Engineers,COB - Consultants: City Planning,COD - Consultants: Design,541310 - Architectural Services,,
Chiang Law Firm,Legal representation; translation   ,MBE,SLBE,,false,false,65 Harrison Avenue Boston MA 02111,Boston,MA,02111,Mr. Gar Chiang,,(617) 422-0088,(617) 422-0088,garchiang@gmail.com,Profit,false,2012,Under 10,AT - Attorneys,COV - Consultants: Translation,,541930 - Translation and Interpretation Services,541110 - Offices of Lawyers,
"Chocolate Therapy, Inc.",Retail and wholesale confections; corporate gifts; corporate offsite activities   ,MWBE,,,true,false,60 Worcester Road Framingham MA  01702,Framingham,MA, 01702,Ms. Pamela Griffin,President,(508) 875-1571,,chocolatetherapy2011@gmail.com,Profit,false,2011,Under 10,"FD - Food Products, Services",,,311352 - Confectionery Manufacturing from Purchased Chocolate ,424450 - Confectionery Merchant Wholesalers ,445292 - Confectionery and Nut Stores 
"Choo & Company, Inc.","Architectural, engineering, and construction management services   ",MBE,,,true,true,One Billings Road Quincy MA 02171,Quincy,MA,02171,Mr. Arthur Choo,President,(617) 786-7727,(617) 786-7715,pingm@choo-design.com,Profit,false,1993,Under 10,AE - Architects/Engineers,"AS - Architectural Support Services, Surveying",,541310 - Architectural Services,,
Citizens Cleaning Services,Complete janitorial services   ,MBE,SLBE,,false,false,7 Filomena Road Roslindale MA 02131,Roslindale,MA,02131,Mr. Teodoro Soto,Owner,(857) 417-2264,,teocitizenscleaning@yahoo.com,Profit,false,2010,Under 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,561720 - Janitorial Services ,,
City Golf Boston,"Indoor golf training center, offering golf instruction, corporte events and retail merchandise ",,SLBE,,false,true,167 Milk Street Boston MA 02108,Boston,MA,02108,Mr. Gary Parker,President,(617) 357-4653,(617)695-2549,,Profit,false,,,TA - Training (see also ED),"ED - Education (see also OS, TA)",RT - Retail Sales of Art & Framing,451110 - Sporting Goods Stores ,,
"City Sealcoating, Inc.","Sealcoating contractors specializing in asphalt repairs, crack sealing, line striping, paving, sports surfaces, and pavement marking; catch basin repairs; snow plowing",MBE,,,true,false,800 Turnpike Street North Andover MA 01840,North Andover,MA,01840,Mr. Keith Chaney,CEO,(800) 383-8309,,office@citysealcoating.com,Profit,true,2010,10-20,PV - Paving Contractors,SN - Snow Removal/Plowing (see also TK),,238990 - All Other Specialty Trade Contractors,"237310 - Highway, Street, and Bridge Construction ",
"CJ Strategies, LLC","Consulting services, specializing in strategic planning, capacity building, executive coaching, marketing/communications, and event planning",MBE,SLBE,,false,true,119 Blake Street Hyde Park MA 02136,Hyde Park,MA,02136,Mr. Conan Harris,Co-Manager,(617) 203-6789,(617) 203-6789,conan@cjstrategiesllc.com,Profit,false,2019,Under 10,COM - Consultants: Management,COP - Consultants: Public Relations,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,541611 - Administrative Management and General Management Consulting Services ,541613 - Marketing Consulting Services ,541820 - Public Relations Agencies
"Clark Construction Group, Ltd.",General contractor; structural steel fabricator and erection; misc. metal fabricator and installer of miscellaneous ornamental iron and light structural; installer of stainless steel railing systems   steel,MBE,SLBE,,false,false,92 Arlington Avenue Charlestown MA 02129,Charlestown,MA,02129,Mr. Oscar W Clark,President,(617) 241-7990,(617) 241-7925,clarkconstrgroup@aol.com,Profit,true,1992,Under 10,"FB - Fabricators (Metals, Plastics)",GC - General Contractors,,236220 - Commercial and Institutional Building Construction ,332312 - Fabricated Structural Metal Manufacturing ,332999 - All Other Miscellaneous Fabricated Metal Product Manufacturing 
"Classic Site Solutions, Inc.",Specialize in installation of automatic irrigation systems and complete landscaping   ,WBE,,,true,true,95 Post Office Park Wilbraham MA 01095,Wilbraham,MA,01095,Ms. Cheryl Sady,President,(413) 596-0051,(413) 596-0072,cheryls@classicsitesolutions.com,Profit,true,1983,21-40,LA - Landscaping Contractors,,,238990 - All Other Specialty Trade Contractors,,
"Cleary Consultants, Inc.",Full service executive search and staffing firm--administrative finance and all office support personnel   ,WBE,SLBE,,true,true,21 Merchants Row Boston MA 02109,Boston,MA,02109,Ms. Mary Cleary,President,(617) 367-7189,(617) 367-3202,mc@clearyconsultants.com,Profit,false,1981,10-20,"EM - Employement (see also OS, TR)","OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",COG - Consultants: Human Resources,,561320 - Temporary Help Services,
"Clyde McHenry, Inc.","Sales and/or installation of windows, doors, security guards and screens, storefronts, aluminum panels, shades, replacement glass and general contracting   ment glass; and general contracting",MWBE,,,true,false,P.O. Box 209  Hyattsville MD 20781,Hyattsville,MD,20781,Ms. Gina Williams,President,(301) 864-6550,(301) 864-6554,gina@clydemchenryinc.com,Profit,true,1984,10-20,GC - General Contractors,GG - Glass/Glazing Contractors,SU - Suppliers,,,
Coastal Construction and Management Company,Interior drywall/gypsum; construction cleaning; janitorial services   ,MBE,SLBE,,false,true,97 Turner Street Brockton MA 02305,Brockton,MA,02305,Mr. Lucner Charles,Owner,(617) 990-6507,(617) 990-6507,lcharles@coastalcm.com,Profit,true,2006,Under 10,"PL - Plastering, Drywall Contractors","JA - Janitorial Services/Supplies (see also MA, RS)",,238310 - Drywall and Insulation Contractors ,238390 - Other Building Finishing Contractors,561720 - Janitorial Services 
Coastal Marine Construction LLC,"Marine construction company:  heavy civil/marine construction for public and private sector clients, including pile driving, marine demolition, dock and pier rehabilitation and construction, sheet pile driving, marine salvage, earth support and emergency    ",WBE,SBE,,true,true,960 Turnpike Street Canton MA 02021,Canton,MA,02021,Ms. Seana Kelley,Managing Director,(339) 502-8667,(339) 502-8669,seana@coastalmc.net,Profit,true,2013,41-100,"MR - Marine Contractors: Diving Services, Underwater Repair/Welding",,,237990 - Other Heavy and Civil Engineering Construction ,238910 - Site Preparation Contractors,237110 - Water and Sewer Line and Related Structures Construction 
"Coast and Harbor Associates, Inc.",Construction management consulting firm; construction and project management services   labor relations firms; building/trades,MWBE,SBE,,true,false,7 Kimball Lane Lynnfield MA 01940,Lynnfield,MA,01940,Ms. Marcella A Lancome,President,(781) 224-3875,(781) 224-3876,mrose@coastandharbor.com,Profit,false,1988,,,,,541611 - Administrative Management and General Management Consulting Services ,,
Codman Square Neighborhood Development Co,Real estate: housing development and re-hab loan services; community development; organizing and outreach; and economic development   Development.,MBE,SLBE,,false,true,587 Washington Street Dorchester MA 02124,Dorchester,MA,02124,Ms. Tiffany White,Executive Assistant,(617) 825-4224,(617) 825-0893,gail@csndc.com,Not-for-Profit,false,1981,10-20,"RE - Real Estate (Development, Management, Sales and Appraisals)",RS - Residential Services,,,,
"Coghlin Electrical Contractors, Inc.","Electrical and general work related to electrical installations, communication wiring, data and computer wiring, traffic systems wiring, and energy management   ",WBE,,,false,true,100 Prescott Street Worcester MA 01605,Worcester,MA,01605,Ms. Susan M Mailman,President,(508) 793-0300,(508) 793-0303,suemailman@coghlin.com,Profit,true,1986,Over 100,EL - Electrical Contractors,"SE - Security (Guards, Dogs, Systems)",,238210 - Electrical Contractors and Other Wiring Installation Contractors,,
"Coghlin Network Services, Inc.","Design, installation, upgrade, migration and maintenance of voice/data networks   ",WBE,,,false,false,100 Prescott Street Worcester MA 01605,Worcester,MA,01605,Ms. Susan M Mailman,President,(508) 793-0300,(508) 793-0303,suemailman@coghlin.com,Profit,false,1986,10-20,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COT - Consultants: Telecommunications,,,,
Coleen s Flower Shop,"Flowers, plants and fruit design   ",WBE,SLBE,,true,true,912 Dorchester Avenue Dorchester MA 02125,Dorchester,MA,02125,Ms. Coleen O'Donnell,Owner,(617) 282-0468,(617) 282-0898,coleen@coleensflowershop.com,Profit,false,1979,Under 10,"FO - Floral (Arrangement, Maintenance)",LC - Small Commercial Lanscaping and Maintenance,RT - Retail Sales of Art & Framing,453110 - Florists ,,
"Collaborative, Inc., The","Planning (city, site, municipal, regional); transportation planning; landscape architecture; graphic design; communications   ",MBE,,,true,false,122 South Street Boston MA 02111,Boston,MA,02111,Mr. Joseph H Brevard,President,(617) 338-0018,(617) 338-4228,jb@thecollaborative.com,Profit,false,1990,41-100,COB - Consultants: City Planning,,,,,
"College Hype Sportswear, Inc.",T-Shirt embroidering and printing; specialty gifts   ,,SLBE,,false,true,540 Gallivan Boulevard Dorchester MA 02124,Dorchester,MA,02124,Mr. Jack Doherty,President,(617) 282-8883,(617) 282-6861,sales@collegehype.com,Profit,false,,,AL - Apparel,,,,,
Colortek of Boston,Photography/developing services   ,WBE,SLBE,,false,true,727 Atlantic Avenue Boston MA 02111,Boston,MA,02111,Ms. Jacquelin Anderson,Owner,(617) 451-0894,(617) 451-2714,jackie@colortekofboston.com,Profit,false,2011,Under 10,PG - Photography,,,"541921 - Photography Studios, Portrait ",541922 - Commercial Photography ,812921 - Photofinishing Laboratories (except One-Hour) 
Comfort Essentials,"Supply products to the hospitality and healthcare industry:  bed linens, blankets, bath towels, soaps, tablecloths, etc.   ",MWBE,SLBE,,false,true,911 Washington Street Boston MA 02124,Boston,MA,02124,Ms. Elaine Peart,President,(617) 265-7695,,sales@gocomfortessentials.com,Profit,false,2009,Under 10,SU - Suppliers,,,,423990 - Other Miscellaneous Durable Goods Merchant Wholesalers ,
"Common Sense Environmental, Inc.",Environmental consultants:  services include LSP; asbestos inspection; tank removal; SPCC; phase I and II environmental site assessment   ,WBE,SBE,,true,true,38 Elm Street New Bedford MA 02740,New Bedford,MA,02740,Ms. Cynthia S Gilchrest,President,(508) 858-5606,(508) 858-5508,info@commonsenseenv.com,Profit,false,1999,Under 10,"AS - Architectural Support Services, Surveying",AB - Aspestos Control,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",541620 - Environmental Consulting Services,541330 - Engineering Services,"541990 - All Other Professional, Scientific, and Technical Services"
"Communication Via Design, Ltd.",Interactive and graphic design services   ,WBE,,,false,false,23 Drydock Avenue Boston MA 02210,Boston,MA,02210,Ms. Victoria Adjami,Owner,(617) 204-9500,(617) 204-9520,vicki@cviad.com,Profit,false,1993,Under 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,MK - Marketing,DI - Direct Mail Services,541430 - Graphic Design Services,541490 - Other Specialized Design Services,
Comtronics Corporation,"Sales, service and installation of 2-way mobile communication systems; in building amplification systems   ",WBE,,,true,true,1230 Furnace Brook Parkway Quincy MA 02169,Quincy,MA,02169,Ms. Catherine M Leonard,President,(617) 770-0212,(617) 770-0429,cleonard@radioshop.com,Profit,false,1990,21-40,SU - Suppliers,COT - Consultants: Telecommunications,,,,
Concert Sound and Lighting,Full scale sound production and lighting production   ,,SBE,,false,true,1019 Main Street Acton MA 01720,Acton,MA,01720,Mr. David James,Owner,(978) 635-1144,(978) 635-1411,dave@concertsoundandlighting.com,Profit,false,,,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,ET - Entertainment/Entertainer,,532490 - Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,238210 - Electrical Contractors and Other Wiring Installation Contractors,
Construction Control Services Corporation,Construction management/engineering support design services   ,MBE,,,false,false,"171 17th Street, Atlanta GA 30363",Atlanta,GA,30363,Ms. Rebekah Rohadfox,President,(404) 880-9888,(919) 683-3072,,Profit,false,1976,21-40,COM - Consultants: Management,COU - Consultants: Transportation,,,,
"Construction Planners, Inc.",Design/build; architecture; general contractor; permitting process consultant.  This is a Service Disabled Veteran Owned Small Business Enterprise (SDVOSBE).   ,,SBE,SDVOSB,false,false,775 Pleasant Street East Weymouth MA 02189,East Weymouth,MA,02189,Mr. John Gamache,President,(781) 340-0770,(781) 340-7447,cpi@constplaninc.com,Profit,true,1977,,AE - Architects/Engineers,GC - General Contractors,,541310 - Architectural Services,,
"Consulting Diversified, Inc.",Property management services; real estate development; staff training and related services   ,MBE,SLBE,,false,false,15 Parker Street Hyde Park MA 02136,Hyde Park,MA,02136,Mr. Rodney V DeLeaver,Owner,(617) 851-5479,(617) 361-2765,,Profit,false,1996,Under 10,COM - Consultants: Management,"RE - Real Estate (Development, Management, Sales and Appraisals)",HO - Housing Advocacy,531311 - Residential Property Managers ,,
"Contemporaries, Inc.","Temporary administrative help temporary personnel for office support, contract recruiting   technical help",WBE,SLBE,,false,true,55 Court Street Boston MA 02108,Boston,MA,02108,Ms. Donna M Fitzgerald,Owner,(617) 723-9797,(617) 723-4140,info@bostoncontemporaries.com,Profit,false,1998,41-100,"EM - Employement (see also OS, TR)","OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",COG - Consultants: Human Resources,,561320 - Temporary Help Services,
"Conventures, Inc.",Public relations; communications; special events; event planning;  meeting planners; marketing   management,WBE,,,true,true,1 Design Center Place  Boston MA 02210,Boston,MA,02210,Ms. Dusty S Rhodes,President,(617) 439-7700,(617) 439-7701,drhodes@conventures.com,Profit,false,1977,21-40,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COP - Consultants: Public Relations,,"711310 - Promoters of Performing Arts, Sports, and Similar Events with Facilities ",,
Conway Design,"Advertising, graphic design, promotions, marketing and direct mail services   ",,SBE,,false,true,175 Chestnut Street Cambridge MA 02139,Cambridge,MA,02139,Mr. Brian Conway,,,,conwaydesign@comcast.net,Profit,false,,,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,DI - Direct Mail Services,,541430 - Graphic Design Services,541613 - Marketing Consulting Services ,541860 - Direct Mail Advertising
Corinthian Events,Special events and destination management company   ,WBE,SLBE,,false,false,109 Kingston Street Boston MA 02111,Boston,MA,02111,Ms. Jill Tate,Partner,(617) 450-0600,(617) 450-0606,info@corinthianevents.com,Profit,false,,,,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,561920 - Convention and Trade Show Organizers,,
Cortes Associates,Landscape architecture services   ,MWBE,SBE,,true,true,25 Newell Street Cambridge MA 02140,Cambridge,MA,02140,Ms. Paula V Cortes,Owner,(617) 868-7900,(617) 441-9353,paula.cortes@verizon.net,Profit,false,1981,Under 10,"LD - Landscaping (Design, Architects)",COB - Consultants: City Planning,CON - Consultants: Environmental,541320 - Landscape Architectural Services,,
Courageous Sailing Center,Education and training in all aspects of boating   ,,SLBE,,false,true,One First Avenue Charlestown MA 02129,Charlestown,MA,02129,Mr. Dave DiLorenzo,Executive Director,(617) 242-3821,(617) 635-3263,dave@courageoussailing.org,Not-for-Profit,false,,Under 10,RC - Recreational,TA - Training (see also ED),,611620 - Sports and Recreation Instruction ,,
"CQ Personnel, Inc. dba Back Bay Staffing Group","Professional staffing, temporary and direct hire",WBE,,,true,true,"224 Clarendon Street, #51 Boston MA 02116",Boston,MA,02116,Ms. Joni Lee Rossi,Founder and CEO,(617) 262-1313,(617) 262-1322,joni@backbaystaffinggroup.com,Profit,false,1992,Under 10,"EM - Employement (see also OS, TR)","OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",,561311 - Employment Placement Agencies ,,
"Crack-Sealing, Inc.","Road repair and maintenance, hot asphalt rubber crack sealing, hot fiber reinforced method, joint sealing, sawing and sealing petromat   and sealing petromat",WBE,,,true,false,Post Office Box 700 Raynham MA 02767,Raynham,MA,02767,Ms. Robin A White,President/Treasurer,(508) 823-9700,(508) 823-0770,,Profit,true,1987,21-40,PV - Paving Contractors,"PK - Parking Lot (Mgmt., Maintenance)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,,
"C.R.C. Company, Inc.",General and marine construction   ,WBE,SBE,,true,true,77 Federal Avenue Quincy MA 02169,Quincy,MA,02169,Ms. Carolyn Cashman,President,(617) 328-0800,(617) 773-2499,,Profit,true,1979,21-40,CM - Concrete & Masonry Contractors,GC - General Contractors,EP - Equiment Rental (Heavy Construction),237990 - Other Heavy and Civil Engineering Construction ,,
Crescent Graphics,"Print letterhead, envelops, forms brochures, three part forms; computer forms, business cards, invitations   Etc.",MBE,,,false,true,169 Norfolk Avenue Roxbury MA 02119,Roxbury,MA,02119,Mr. Steadman J Bramble,Owner,(617) 442-8282,(617) 442-4466,,Profit,false,1995,Under 10,PT - Printers,,,,,
"Crittenton, Inc.",Social and human services; housing and food services   ,WBE,,,false,true,10 Perthshire Road Brighton MA 02135,Brighton,MA,02135,Ms. Elizabeth Babcock,"Dir., Planning & Instit. Dev't",(617) 782-7600,(617)254-7966,rgair@liveworkthrive.org,Not-for-Profit,false,,,HO - Housing Advocacy,MO - Multi Service Organizations,,,,
"Crosswinds Enterprises, Inc.","Construction of buildings and other structures; renovating buildings, structures; and painting building structures   ",MBE,SLBE,,false,true,97 Humboldt Ave Dorchester MA 02121,Dorchester,MA,02121,Mr. Arnold C Johnson,President,(617) 445-5100,(617) 445-5482,xxwinds@aol.com,Profit,true,1988,10-20,GC - General Contractors,PA - Painting and Papering Contractors,,,,
"Crystal Transportation, Inc.","Provide transportation to groups, organizations and associations to all parts of the United States   ",WBE,SLBE,,false,true,1605 Hyde Park Avenue Hyde Park MA 02136,Hyde Park,MA,02136,Ms. Linda Carroll,,(617) 787-1544,(617) 787-8133,,Profit,false,1983,Over 100,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,,,
"CUB Systems, Inc.","Manufacturers and distributors of floor boxes with power, communication, air, water, drains   ",WBE,SBE,,true,false,5325 N. Commerce Moorpark CA 93021,Moorpark,CA,93021,Ms. Kathleen M Lowe,President/Owner,(805) 529-0119,(805) 529-9466,kate@floorboxes.com,Profit,true,1998,Under 10,"EO - Electronic Parts (Mgfs., Distrib., Assembly Service)","FB - Fabricators (Metals, Plastics)",MU - Manufacturers,339999 - All Other Miscellaneous Manufacturing ,,
"Custom Floors Design, Inc.",Sales and installation of all floor covering products.   ,MWBE,SBE,,true,false,271 Main Street Stoneham MA 02180,Stoneham,MA,02180,Ms. Jennifer Roberts,President,(781) 933-4124,(781) 854-0202,jen@customfloorsdesign.com,Profit,true,2007,Under 10,"FL - Floor Contractors (Carpet, Tile, Linoleum)",,,238330 - Flooring Contractors,,
"Custom Networks, Inc.",Power and cooling:  uninterruptible power supply (UPS) and data center air conditioning   upgrade and maintenance,MBE,SBE,,true,true,66 Tadmuck Road Westford MA 01886-3155,Westford,MA,01886-3155,Mr. Moiz A Bhindarwala,President,(978) 392-0060,,moiz@customnetworks.net,Profit,false,1990,Under 10,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)","OF - Office Furniture, Services and Equipment",SU - Suppliers,541519 - Other Computer Related Services,,
"C. White Marine, Inc.","Marine construction, pile driving, and erection of pre-engineered metal buildings   ",WBE,,,false,true,160 Sylvan Street Danvers MA 01923,Danvers,MA,01923,Ms. Catherine M White,President,(978) 777-5656,(978) 750-6721,cwhite@cwhitemarine.com,Profit,true,1994,10-20,UI - Underwater Inspection Contractors,GC - General Contractors,,,,
