"license_num","historicallicensenum","status","license_type","issued","expires","business_name","dba_name","comments","location_comments","opening","closing","patronsout","capacity","applicant","manager","day_phone","evening_phone","address","city","state","zip","gpsx","gpsy"
LB-99039,CV7AL0175,Active,CV7 All Alc.,2013-11-29,2020-12-31,"BIG NIGHT VENUES BOSTON 5, LLC",EXPLORATEUR,,"Approx. 7,562sf in three (3) rooms on first floor, with seating in dining room, library room, café space, bar area and private dining room with seating for 266. 2,000sf of basement level storage space. Main entrance/exit on Tremont Street, with emergency exits on Boylston Street side and in rear of ",,"2:00 AM","2:30 AM",224.00," BIG NIGHT VENUES BOSTON 5, LLC", JAMES POLLOCK,,,"186   Tremont ST",Boston,MA,"02111",773976.133692533,2953780.9707628
LB-99114,CV7AL0260,Active,Inn. All Alc.,2013-11-29,2020-12-31,HP BOSTON PARTNERS LLC,HYATT PLACE BOSTON-SEAPORT DISTRICT,Board ABCC approved Management Agreement between HP Boston Partners LLC Select Hotels Group LLC,,,MIDNIGHT,"12:30 AM",0.00, HP BOSTON PARTNERS LLC, MARCOS PITEIRA GATO,(617)308-7395,,"315   Northern Av",Boston,MA,"02210",781410.018424475,2952040.53371066
LB-99660,CV7MW0493,Active,CV7 Malt Wine,2013-11-29,2020-12-31,"EMMANUEL GROUP, INC.",OLIVEIRA'S RESTAURANT,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS NO BAR,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR, STORAGE IN THE BASEMENT.  ",,"11:00 PM","11:30 PM",54.00," EMMANUEL GROUP, INC.", GABRIELLA D. GONCALVES,,(617)561-7277,"297-299   Chelsea ST",East Boston,MA,"02128",783098.319333032,2962754.28555517
LB-99192,CV7AL0352,Active,CV7 All Alc.,2013-11-29,2020-12-31,GOLDEN VINTAGE GROUP LLC,VINTAGE LOUNGE,       ,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR, STORAGE IN THE BASEMENT.  AND TO INCLUDE AN OUTDOOR PATIO FOR 24 PATRONS.  Capacity breakdown: 157 standing, 93 seated.",,"2:00 AM","2:30 AM",250.00, GOLDEN VINTAGE GROUP LLC, DAVID M. PARATORE,,"6172123962","72   Broad ST",Boston,MA,"02110",776977.386111334,2955687.88823658
LB-98913,CV7AL0025,Active,CV7 All Alc.,2013-11-29,2020-12-31,Boston Pubs LLC,THE GINGER MAN,,IN ONE ROOM AND MEZZANINE ON FIRST FLOOR WITH KITCHEN IN REAR; STORAGE AND FUNCTION ROOM IN THE BASEMENT.  CAPACITY BREAKDOWN: UPPER LEVEL - 277; LOWER LEVEL - 100.,,"2:00 AM","2:30 AM",231.00," BOSTON PUBS, LLC", JENNA DESROSIERS,,(203)247-5613,"148     State ST",Boston,MA,"02109",776662.250911042,2956304.67537315
LB-99399,CV7AL0597,Active,CV7 All Alc.,2013-11-29,2020-12-31,"CRG WATER, LLC",,,,,Midnight,"12:30 AM",186.00," CRG WATER, LLC", KRISTIN CANTY,,,"300-310  Pier 4 BLVD",Boston,MA,"02210",779971.6856799,2953912.78941792
LB-99799,CV7MWL0152,Active,CV7 Malt Wine Liq.,2013-11-29,2020-12-31,CALAMARI WATERFRONT CORP.,THE DAILY CATCH,,"Approximately 1,700 square feet of restaurant space located on the ground floor within the building known and numbered as 65 Atlantic Avenue Boston including dining area, bar, bathrooms and storage. ",,"1:00 AM","1:30 AM",36.00, CALAMARI WATERFRONT CORP., BASIL S. FREDDURA,(617)719-2588,,"65    Atlantic AVE",Boston,MA,"02110",777443.051228087,2957596.29915426
LB-98931,CV7AL0050,Active,CV7 All Alc.,2013-11-29,2020-12-31,"ASIAN CUISINE, INC.",TYPHOON-RESTAURANT,PATIO CONDITIONS OPERATING HOURS 11 00 ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH FOOD ORDERED FROM MENU MUST BE STAFFED ALL TIMES,IN ONE ROOM ON THE FIRST FLOOR WITH A KITCHEN AND STORAGE ON MEZZANINE LEVEL.  INCLUDES AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER ON PRIVATE PROPERTY FOR 8 PATRONS.,,"1:00 AM","1:30 AM",72.00," ASIAN CUISINE, INC.", NHAN H. PHAN - NGUYEN,,"6178778969","725   Boylston ST",Boston,MA,"02116",769656.759760122,2952695.73455361
LB-99060,CV7AL0196,Active,CV7 All Alc.,2013-11-29,2020-12-31,"WOODS L STREET TAVERN, INC.",WOODS L STREET TAVERN,Service alcohol on Sundays 10 00 with brunch,In one room on first floor with cellar for stock.,,"1:00 AM","1:30 AM",71.00," WOODS L STREET TAVERN, INC."," JOHN F. WOODS, JR.",,(617)268-9264,"658   E Eighth ST",South Boston,MA,"02127",781775.236323804,2946212.87792376
LB-99263,CV7AL0432,Active,CV7 All Alc.,2013-11-29,2020-12-31,Baird Hospitality LLC,THE BLACKSTONE GRILL,,In one room and kitchen on the first floor; Cellar for stock. Seasonal (April-October) outdoor patio on public property along the easterly side of 15 Union Street (+/- 139 square feet).,,"2:00 AM","2:30 AM",109.00, BAIRD HOSPITALITY LLC, JEFFREY BAIRD,,(617)523-9396,"15    Union ST",Boston,MA,"02108",775980.820126399,2956835.37710164
LB-101917,RETAL0114,Active,Retail All Alc.,2013-11-29,2020-12-31,"LP LIQUOR, INC.",BROTHERS WINE & SPIRITS,NO NIPS TO BE SOLD,Rear entrance for stock; One room first floor; Cellar for stock.,,"11:00 PM",,0.00," LP LIQUOR, INC.", SOPHEA POCH,,,"616    Shawmut AVE",Roxbury,MA,"02118",769581.915096447,2947530.87034099
LB-99057,CV7AL0193,Active,CV7 All Alc.,2013-11-29,2020-12-31,JABC CORP.,THE PLAYWRIGHT BAR,Open food only between hours 00 11 Licensee must always have full breakfast menu available as shown to Board Door bar portion premises remain closed all times licensee is serving,"658,660 E.Broadway; rear entrance of 658 E.Broadway for stock; bulkhead entrance cellar at 660 E. Broadway 2 rooms and kitchen first floor; cellar for stock.",,"1:00 AM","1:30 AM",175.00, JABC CORP., JULIAN W. BOLGER,,(617)513-9879,"658-660 E Broadway ",South Boston,MA,"02127",781065.196147568,2947769.97432565
LB-101863,RETAL0034,Active,Retail All Alc.,2013-11-29,2020-12-31,"STONY BROOK WINE & SPIRITS, INC.",,,In one room on the first floor with two rear rooms for stock.,,"11:00 PM",,0.00," STONY BROOK WINE & SPIRITS, INC.", CHRISTOS S. STAMATOS,,(617)594-2830,"78-80   Boylston ST",Jamaica Plain,MA,"02130",,
LB-99498,CV7ALR0015,Active,CV7 All Alc. Restrict.,2013-11-29,2020-12-31,"SOFI'S RESTAURANT GROUP, LLC","""SOPHIA'S GROTTO""",No Bar Alcoholic Beverages to be served only in conjunction with meals Patio Hours Noon Midnight,"In one room on the first floor; kitchen in the rear. In 2 rooms on second floor for prep area & storage, basement for storage and to include an outdoor seasonal patio on Private Property for 54 patrons between the hours of Noon - Midnight.  Capacity breakdown: seating dining - 44, bar standing - 5.",,MIDNIGHT,"12:30 AM",49.00," SOFI'S RESTAURANT GROUP, LLC", JOSEPH GARUFI,,"6179479407","18   Corinth ST",Roslindale,MA,"02131",756237.588780016,2929681.57269236
LB-99398,CV7AL0596,Active,CV7 All Alc.,2013-11-29,2020-12-31,"SEAPOINT, INC.",THE SEAPOINT,Function room to close midnight Alcohol service 10 00 on Sundays in conjunction with brunch,"In one room on the first floor, kitchen in the rear, One dining room on the second floor, cellar for stock.  ",,"1:00 AM","1:30 AM",400.00," SEAPOINT, INC.", MARY T. CONNOLLY,,,"367  E Eighth ST",South Boston,MA,"02127",778834.333313063,2946018.47910757
LB-101859,RETAL0027,Active,Retail All Alc.,2013-11-29,2020-12-31,"ENA LIQUORS, INC",BROTHERS SUPER LIQUORS,       ,Rear door on Norton Street; in one room on the first floor with rear room and cellar for stock.,,"11:00 PM",,0.00," ENA LIQUORS, INC", EDUARDO FERNANDEZ,,,"213   Bowdoin ST",Dorchester,MA,"02122",773130.454075754,2936641.32665084
LB-101929,RETAL0130,Active,Retail All Alc.,2013-11-29,2020-12-31,"BROTHER'S SUPER LIQUORS II, INC.",,,"In one room on the first floor with rear room, side room and basement for stock.",,"11:00 PM",,0.00," BROTHER'S SUPER LIQUORS II, INC.", GERMAN FERNANDEZ,,"6175938480","368   Warren ST",Roxbury,MA,"02119",769357.876728237,2941311.19356719
LB-99221,CV7AL0384,Active,CV7 All Alc.,2013-11-29,2020-12-31,IN VINO VERITAS BISTRO LLC,LES ZYGOMATES CAFE,,"In two rooms on the first floor with kitchen and storage in rear.  Total sq foot: 5,826.  Number of entrances/exits: 3 ",,"1:00 AM","1:30 AM",150.00, IN VINO VERITAS BISTRO LLC, MARK TOSI,,(781)646-4254,"129     South ST",Boston,MA,"02111",775751.417535012,2953317.91635853
LB-99672,CV7MW0513,Active,CV7 Malt Wine Liq.,2013-11-29,2020-12-31,"Fairouz Restaurant, Inc.",,NO BAR ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR.  PURSUANT TO THE AUTHORITY CONTAINED IN CHAPTER 481 OF THE ACTS OF 1994. RESTAURANT #36A W-TAKE OUT, #37 & #38 ENTERTAINMENT",,MIDNIGHT,"12:30 AM",66.00," Fairouz Restaurant, Inc.", Christian Saad,,(617)469-0000,"5268   Washington ST",West Roxbury,MA,"02132",748511.270808995,2919722.09093209
LB-98802,CLBAL0030,Active,Clb. All Alc.,2013-11-29,2020-12-31,"EMERALD SOCIETY OF THE BPD, INC.",,,In one room on the first floor with storage in the basement.,,"2:00 AM","2:30 AM",99.00," EMERALD SOCIETY OF THE BPD, INC.", ROBERT J. WELBY,,(617)778-8686,"10   Birch ST",Roslindale,MA,"02131",756362.347564131,2929802.37323648
LB-99555,CV7MW0161,Active,CV7 Malt Wine Liq.,2013-11-29,2020-12-31,"SYMPHONY EXCHANGE, INC.",THE GINGER EXCHANGE,NO BAR,"IN ONE ROOM ON THE FIRST FLOOR, KITCHEN AND STORAGE IN THE REAR.",,"12:00 AM","12:30 AM",90.00," SYMPHONY EXCHANGE, INC.", KENNETH CHAN,,(617)875-6789,"250    Huntington AVE",Boston,MA,"02115",768352.999991298,2950000.00000729
LB-101983,RETAL0218,Active,Retail All Alc.,2013-11-29,2020-12-31,"SHAW'S SUPERMARKETS, INC.",Star Market,MEZZANINE LEVEL WITH ALCOHOL MUST BE STAFFED ALL TIMES AN EMPLOYEE OVER 18 YEARS AGE SECURITY MUST POLICE NOT ONLY AREA IN FRONT PREMISES BUT ALSO IN FRONT NEIGHBORING BUILDINGS ON EACH SIDE TO PREVENT LOITERING ALL ALCOHOL TASTINGS TO BE CONTAINED TO MEZZANINE AREA WHERE ALCOHOL IS SOLD Board acknowledges granted petition to open 10 on Sundays,"IN ONE ROOM ON THE FIRST FLOOR, STORAGE IN THE REAR OF THE PREMISES ALSO A LOADING DOCK TRUCK ENTRANCE IS ON EXETER STREET FOR PRODUCT DELIVERY.",,"11:00 PM",,0.00," SHAW'S SUPERMARKETS, INC.", Kevin J. Bacon,,(617)236-4235,"53   Huntington AVE",Boston,MA,"02199",769796.279082621,2952036.3035796
LB-99150,CV7AL0303,Active,CV7 All Alc.,2013-11-29,2020-12-31,"Flatbread Boston Landing, LLC",FLATBREAD COMPANY,,"Ten story commercial building, with the mezzanine level and first floor to be licensed in two rooms, with storage and an office (approximately 12,439 square feet), and an outdoor seasonal (April - October) patio on public property (approximately 810 square feet) with a closing hour of 11:00 PM.",,"2:00 AM","2:30 AM",280.00," FLATBREAD BOSTON LANDING, LLC", THOMAS JAMES KEANE,(617)903-4546,,"76   Guest ST",Brighton,MA,"02135",752200.992291702,2955461.24923831
LB-99771,CV7MWL0116,Active,CV7 Malt Wine Liq.,2013-11-29,2020-12-31,HIGHLINE LLC,nathalie,,"1,109 sf: In one room on first/ground floor, with bar; food preparation, storage and restrooms in rear of premises. One main entrance/exit Brookline Avenue. 205 sf seasonal outdoor patio on private property, April-October. (Total sf = 1,314).",,"1:00 AM","1:30 AM",40.00, HIGHLINE LLC, HALEY LYNN FORTIER,,,"186   Brookline Av",Boston,MA,"02215",763843.855902778,2950565.8984375
LB-99422,CV7AL0622,Active,CV7 All Alc.,2013-11-29,2020-12-31,PENA & NOVA CORP.,Norvia's Place,TEMPORARY ALCOHOL LICENSE EXPIRE ON JANUARY 31 2020,"IN ONE ROOM AND KITCHEN FIRST FLOOR, CELLAR FOR STOCK. CAPACITY BAR 15,  DINING  30, STANDING 22.",,"1:00 AM","1:30 AM",49.00, PENA & NOVA CORP., NORVIA M. PENA,,(617)642-4262,"2801-2807  Washington ST",Roxbury,MA,"02119",766459.117141466,2942513.25659223
LB-99188,CV7AL0347,Active,CV7 All Alc.,2013-11-29,2020-12-31,STADIUM RESTAURANT LLC,,"10 00 OPENING ON SUNDAYS SERVICE ALCOHOL IN CONJUNCTION WITH BRUNCH",In two rooms and kitchen on first floor; One room and kitchen on the second floor; one room and kitchen and stock room in basement.  Capacity breakdown: 1st fl - 227; 2nd fl (nightclub configuration) - 282/ 2nd fl (tables & chairs) - 222.,,"2:00 AM","2:30 AM",509.00, STADIUM RESTAURANT LLC, KRIS MEOLA,(617)269-5100,,"232   Old Colony Av",South Boston,MA,"02127",776951.174285306,2946439.71468308
LB-101960,RETAL0177,Active,Retail All Alc.,2013-11-29,2020-12-31,"WINE AND LIQUORS, INC.",ROSLINDALE LIQUORS,Board acknowledges granted petition to open 10 on Sundays,Side Entrance on driveway and rear entrance to basement for stock; one room first floor; cellar for stock.,,"11:00 PM",,0.00," WINE AND LIQUORS, INC.", NARENDRAKUMAR A. PATEL,(617)323-9825,,"23    Corinth ST",Roslindale,MA,"02131",756271.00001204,2929529.99998823
LB-99335,CV7AL0517,Active,CV7 All Alc.,2013-11-29,2020-12-31,"MAYASOL, INC.",SOL AZTECA,Alcohol served with food only Alcohol on patio 10 00 closing hour,"Three rooms, kitchen and three stock rooms in basement, and to include an outdoor sidewalk cafe at 912-914a Beacon Street, with a seating capacity of thirty-four (34) .",,"1:00 AM","1:30 AM",96.00," MAYASOL, INC.", RIMA OSORNIO,,(617)263-2262,"912-914A   Beacon ST",Boston,MA,"02215",,
LB-99773,CV7MWL0120,Active,CV7 Malt Wine Liq.,2013-11-29,2020-12-31,"Suishaya, Inc.",,,"ONE ROOM ON FIRST FLOOR WITH KITCHEN IN REAR, FRONT DOOR ON TYLER STREET WITH ADDITIONAL EXIT ON BEACH STREET; BASEMENT FOR STORAGE AND PREPARATION. ",,"2:00 AM","2:30 AM",48.00," Suishaya, Inc.", HENRY WONG,(617)423-3848,,"2    Tyler ST",Boston,MA,"02111",775003.001373485,2953316.12785037
LB-99044,CV7AL0180,Active,CV7 All Alc.,2013-11-29,2020-12-31,"BOSTON TAVERN COMPANY, INC.",Yellow Door Taqueria,,"Tenant space ""D"" in one (1) room with dining area, bar, kitchen, storage, two (2) street level entrances and three (3) street level exits with seasonal patio (April-October), on private property with 11pm closing hour on the patio. ",,"2:00 AM","2:30 AM",90.00," BOSTON TAVERN COMPANY, INC.", JAREK MOUNTAIN,(617)756-1644,,"300   Harrison AVE",Roxbury,MA,"02118",774447.506898682,2951423.1350557
LB-99180,CV7AL0339,Active,CV7 All Alc.,2013-11-29,2020-12-31,"NAUTILUS BOSTON, LLC",THE NAUTILUS,,"In one large room on first floor with kitchen, bar, dining area and restrooms, with private dining area, and with seasonal (April-November) outdoor patio on private property (1,300sf).",,"2:00 AM","2:30 AM",0.00," NAUTILUS BOSTON, LLC", STEPHEN BOWLER,,,"300   Pier 4 Bl",Boston,MA,"02210",779925.896052025,2953839.44128866
LB-99547,CV7MW0126,Active,CV7 Malt Wine,2013-11-29,2020-12-31,"PANDA SPICY POT, INC.",MALA RESTAURANT,No bar Malt Wine to be served only in conjunction with meals No exterior signs advertising malt wine,"In one room on the street level consisting of a dining area, kitchen and storage area; basement for storage",,"1:00 AM","1:30 AM",43.00," PANDA SPICY POT, INC.", BIAO HUANG,(617)888-5366,,"129    Brighton AVE",Allston,MA,"02134",755876.000011682,2953910.00001092
LB-99251,CV7AL0418,Active,CV7 All Alc.,2013-11-29,2020-12-31,"253 FOOD AND SPIRIT, LLC",ABBY LANE,board granted permission to provide bottle service,Rear entrance from privateway to first floor for stock; two rooms first floor; three rooms second floor for office space; cellar for stock; CAPACITY BREAKDOWN: RESTAURANT-335 PERSONS(BAR STOOLS 1ST FLR-32 PERSONS TABLES & CHAIRS 1ST FLR -45 PERSONS STANDING 1ST FLR -53 PERSONS BAR STOOLS 2ND FLR 2  ,,"2:00 AM","2:30 AM",335.00," 253 Food and Spirit, LLC",COLLEEN HAGERTY,,(781)598-2807,"255-257   Tremont ST",Boston,MA,"02116",0.0,0.0
LB-99433,CV7AL0635,Active,CV7 All Alc.,2013-11-29,2020-12-31,"SC Commons, LLC",SHAKING CRAB,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS ALCOHOL SERVICE TO CEASE MIDNIGHT ON FRIDAY amp SATURDAY,"IN ONE ROOM ON FIRST FLOOR FOR CAFE/BAR; DINING ROOM AND KITCHEN ON SECOND FLOOR; PREP/DISHWASHING AREA IN BASEMENT; MAIN ENTRANCE ON BOYLSTON STREET AND EMERGENCY EXIT IN BASEMENT.  Capacity breakdown: 1st fl - 66, 2nd fl - 50.",,"1:00 AM","1:30 AM",116.00," SC COMMONS, LLC", NICHOLAS XI WU,,,"140    Boylston ST",Boston,MA,"02116",773419.719036013,2953697.95997873
LB-99601,CV7MW0321,Active,CV7 Malt Wine,2013-11-29,2020-12-31,"RAFAEL E. VERAS, INDIVIDUAL",LATINO RESTAURANT,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS NO BAR DARK SHADES TO BE REMOVED FROM FRONT WINDOWS,"In one room on the first floor; kitchen in the rear, storage in the basement.",,MIDNIGHT,"12:30 AM",32.00," RAFAEL E. VERAS, INDIVIDUAL", RAFAEL E. VERAS,,"6175221155","302    Centre ST",Jamaica Plain,MA,"02130",763460.477490738,2942880.65872066
LB-99233,CV7AL0397,Active,CV7 All Alc.,2013-11-29,2020-12-31,M.Y.N. CORP.,DUBLIN PUB,       ,Rear entrance for stock - two rooms and kitchen first floor cellar for stock.,,"1:00 AM","1:30 AM",223.00, M.Y.N. CORP., YASER I. MOHAMMED,,(617)282-2235,"7-9   Stoughton ST",Dorchester,MA,"02125",0.0,0.0
LB-99683,CV7MW0531,Active,CV7 Malt Wine,2013-11-29,2020-12-31,"JNK, INC.",FISH MARKET,,APPROXIMATELY 609 SQUARE FEET OF SPACE.  19 SEATS IN THE DINING ROOM.  7 AT THE SUSHI BAR AND 12 AT THE TABLES.  KITCHEN IN THE BACK OF THE SPACE.,,MIDNIGHT,"12:30 AM",19.00," JNK, Inc.", QUI PHU NGUYEN,(617)783-1268,,"170    Brighton AVE",Allston,MA,"02134",755373.000011206,2953840.00001086
LB-101855,RETAL0023,Active,Retail All Alc.,2013-11-29,2020-12-31,"DORCHESTER LIQUOR GROUP, INC.",BLUE HILL SUPERETTE,,In one room on the first floor; Cellar for stock. Side exit for emergency and stock deliveries.,,"11:00 PM",,0.00," DORCHESTER LIQUOR GROUP, INC.", TANZILA SHARMIN,(617)427-5179,,"167-169   Blue Hill AV",Roxbury,MA,"02119",,
LB-99590,CV7MW0282,Active,CV7 Malt Wine,2013-11-29,2020-12-31,"Noodle Barn, Inc.",NOODLE BARN,MALT WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS NO BAR OPEN 00 ON SUNDAYS SERVICE FOODS ONLY,"In one room, kitchen area and raw bar on the street level, storage in the rear",,MIDNIGHT,"12:30 AM",58.00," NOODLE BARN, INC.", PAMISA UDOMRATANAKOSON,,(617)522-2299,"707    Centre ST",Jamaica Plain,MA,"02130",760393.000015885,2938749.99999681
LB-99058,CV7AL0194,Active,CV7 All Alc.,2013-11-29,2020-12-31,"JAMES ASSOCIATES, INC.",THE BROADWAY,,"Two story building: first floor consisting of bar, kitchen, dining room, bathrooms, four egress (8,425 sq/ft); Second Floor; offices (2,091 sq/ft); Basement consisting of restrooms and storage (2,311 sq/ft). Total sq/ft 12,827.",,"1:00 AM","1:30 AM",411.00," JAMES ASSOCIATES, INC.", NOAH AMBROSE,,(617)566-3854,"734  E Broadway ",South Boston,MA,"02127",781638.250033858,2947725.39370821
LB-99257,CV7AL0424,Active,CV7 All Alc.,2013-11-29,2020-12-31,"CILL DARA, INC.",Eugene O'Neill's,,,,"1:00 AM","1:30 AM",0.00," CILL DARA, INC.", MELISSA HUNT,,,"3700    Washington ST",Jamaica Plain,MA,"02130",760912.162096366,2934778.72623311
LB-99300,CV7AL0474,Active,CV7 All Alc.,2013-11-29,2020-12-31,"BP EATERY,LLC",BATTERY PARK BAR & LOUNGE,PATIO OPERATING HOURS 10 00 AM AM,"IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR WITH STORAGE IN REAR, AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM MARCH - NOVEMBER FOR 110 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 10:00 A.M. - 2:00 A.M.  ",,"2:00 AM","2:30 AM",159.00," BP EATERY, LLC", MEVZAD DURAKOVIC,,,"33-35   BATTERYMARCH ST",Boston,MA,"02109",0.0,0.0
LB-99759,CV7MWL0088,Active,CV7 Malt Wine Liq.,2013-11-29,2020-12-31,"NORTH STREET GRILLE & CAFÉ, INC.",,SUNDAY THURSDAY 11 00 CLOSING HOUR FRIDAY SATURDAY MIDNIGHT CLOSING HOUR ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS NO BAR,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR, STORAGE IN THE BASEMENT.",,"11:00 PM","11:30 PM",40.00," NORTH STREET GRILLE & CAFÉ, INC.", NEEL SCHMOLL,,"6178466955","229     North ST",Boston,MA,"02113",777080.027135432,2957762.02977452
LB-99866,CV7MWR0042,Active,CV7 Malt Wine Restrict.,2013-11-29,2020-12-31,Qdoba Restaurant Corporation,QDOBA MEXICAN EATS,,"A RESTAURANT LOCATED ON THE FIRST FLOOR WITH ONE MAIN ENTRANCE/EXIT AND ADDITIONAL SIDE EXITS, WITH KITCHEN AND STORAGE IN THE REAR.  101/105 CAUSEWAY STREET, BOSTON, MA  02114",,MIDNIGHT,"12:30 AM",47.00, QDOBA RESTAURANT CORPORATION, FRANCISCO DIAZ,,(617)406-8714,"101   Causeway ST",Boston,MA,"02114",774577.393661097,2958288.39406301
LB-99757,CV7MWL0086,Active,CV7 Malt Wine Liq.,2013-11-29,2020-12-31,"BNV 8, INC.",CERTIFIED MEATBALL COMPANY,,"On ground floor in one room with bar, dining area, kitchen, two restrooms and storage. ",,"1:00 AM","1:30 AM",72.00," BNV 8, INC.", WILLIAM JOHNSON,(617)953-4390,,"429  W Broadway ",South Boston,MA,"02127",778529.60835278,2947900.95002133
LB-99123,CV7AL0271,Active,CV7 All Alc.,2013-11-29,2020-12-31,"Lincoln Bar & Grill, Inc.","Lincoln Bar & Grill, Inc.",,Unnumbered entrance adjoining 8 Lincoln St; two emergency exits; bulkhead entrance for stock - in two rooms & kitchen first floor; cellar for stock.  To add an outside seasonal patio on private property from April 1st-October 31st for 16 patrons between the hours of 11:00 a.m.-10:00 p.m.,,"1:00 AM","1:30 AM",76.00," LINCOLN BAR & GRILL, INC.",FRANCIS THOMAS,,,"8    Lincoln ST",Brighton,MA,"02135",751587.308263689,2956010.50228488
LB-98791,CLBAL0019,Active,Clb. All Alc.,2013-11-29,2020-12-31,OLD COLONY YACHT CLUB,,Board granted permission to open on Sundays brunch with service food alcohol beginning 10 00 AM,"In whole of said building except basement.  Capacity breakdown: 1st fl - 134, 2nd fl - 220.",,"1:00 AM","1:30 AM",354.00, OLD COLONY YACHT CLUB, JOHNNY H. ENGLISH,,,"235    Victory RD",Dorchester,MA,"02122",779420.074625611,2934567.69106491
LB-98930,CV7AL0049,Active,CV7 All Alc.,2013-11-29,2020-12-31,"BB KITCHEN, INC.",ZUMA'S TEX MEX GRILL,Sale Alcoholic Beverages only permitted bar tables immediately adjacent thereto Alcoholic Beverages other can be served in conjunction with food,"In one room, kitchen, service area, office and stockroom on lower level.",,"2:00 AM","2:30 AM",117.00," BB KITCHEN, INC.", CODY W. BAKER,,(617)437-6316,"353A   Faneuil Hall Marketplace ",Boston,MA,"02109",776475.212413524,2956722.3607067
LB-99021,CV7AL0153,Active,CV7 All Alc.,2013-11-29,2020-12-31,GOPCHANG  BOSTON CORPORATION,GOPCHANG STORY,,"In one room on ground floor with dining area and bar, kitchen space and restrooms; storage and office space located in rear.  ",,"2:00 AM","2:30 AM",185.00, GOPCHANG BOSTON CORPORATION, JIN CHONG,,,"971-973   Commonwealth AV",Boston,MA,"02215",,
LB-99051,CV7AL0187,Active,CV7 All Alc.,2013-11-29,2020-12-31,"CMR PRIME, LLC",OCEAN PRIME,,"IN ONE (1) MAIN ROOM WITH LOBBY, DINING AREA, BAR AND LOUNGE, KITCHEN AND STORAGE, OFFICE, TRASH AND RECEIVING; THREE (3) PRIVATE DINING ROOMS; TWO (2) ENTRANCES AND FIVE (5) TOTAL EXITS INCLUDING TWO (2) TO THE FRONT OF RESTAURANT AND TWO (2) TO THE REAR OF RESTAURANT; THREE TOTAL (3) BATHROOMS;",,"2:00 AM","2:30 AM",343.00," CMR PRIME, LLC", REBECCA OUIMETTE,(614)621-3663,,"140   Seaport BLVD",Boston,MA,"02210",779644.862763234,2953369.36493875
LB-98936,CV7AL0055,Active,CV7 All Alc.,2013-11-29,2020-12-31,"BASEBALL TAVERN, INC.",BASEBALL TAVERN,ROOFDECK CONDITIONS ROOF DECK TO BE CLOSED MIDNIGHT NO BOTTLES GLASS ALUMINUM OR PLASTIC ALL ALCOHOL TO BE SERVED IN PLASTIC CUPS OUTDOOR PATIO CONDITIONS ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS MUST BE STAFFED ALL TIMES MIDNIGHT CLOSING HOUR ON PATIO,"WITH EMERGENCY EXITS; IN ONE ROOM, UTILITY KITCHEN, OFFICE & STOCKROOMS ON GROUND FLOOR; IN TWO ROOMS & KITCHEN ON FIRST FLOOR; IN ONE ROOM ON 2ND FLOOR; ROOF PATIO FOR 125 PATRONS & OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FROM APRIL THROUGH OCTOBER.  INSIDE CAPACITY BREAKDOWN: BASEMENT - 106; 1S",,"2:00 AM","2:30 AM",541.00," BASEBALL TAVERN, INC.", ADAM HAWK,,(617)816-5511,"1270    Boylston ST",Boston,MA,"02215",765302.431188464,2950876.79655211
LB-98902,CV7AL0014,Active,CV7 All Alc.,2013-11-29,2020-12-31,"MILE 22, INC.",CITYSIDE IN THE CIRCLE,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM 11AM TO NOON,In two rooms and kitchen on the first floor; one room on the second floor; cellar for stock with a seasonal dining area on the outside deck.  CAPACITY BREAKDOWN: 1st floor maximum capacity 100.  2nd floor maximum capacity 140.,,"2:00 AM","2:30 AM",240.00," MILE 22, INC.", MARK STANDISH,,(781)389-4325,"1958-1960   BEACON ST",BRIGHTON,MA,"02135",0.0,0.0
