,Article Headline,Article Content
1012,[Callie Crossley Is 'Not Surprised' By Adam Jones Faced Racism At Fenway],"[Callie Crossley joined BPR today to talk about Baltimore Orioles player Adam Jones, who was taunted with racist language at Fenway this week. She praised his handling of the issue, and noted he (and other athletes) have experienced racism in Boston before., Callie Crossley is the host of Under The Radar with Callie Crossley, which you can catch on 89.7 WGBH, Sunday nights at 6:00. To hear her interview in its entirety, click on the audio player above., Molly Boigon is a former associate producer and reporter for Learning Curve, WGBH’s K-12 education desk. She has also worked for Boston Public Radio and WGBH’s higher education desk, On Campus. Her interests include jazz, yoga and public records requests. Before joining WGBH, she worked at SiriusXM, WZBC and WAAF. She has a degree in Applied Psychology and Human Development from Boston College’s Lynch School of Education.]"
1013,[Reflections On Race With Tiffany Dufu],"[*This interview was taped on April 19, prior to the Adam Jones incident*, In 2005, author, leadership guru and former Boston resident Tiffany Dufu told the Boston Globe that Boston wouldn't be where she would like to raise her black children. Her comments in a Boston Globe series titled ""The Discomfort Zone,"" written by Don Aucoin, caused a firestorm, which she said led to both threats and support from readers. The essence of her comments re-emerged again after comedian Michael Che called Boston ""the most racist city"" he's ever visited and, in response, Globe opinion writer Renee Graham penned two columns titled, ""Yes, Boston, you are racist"" and ""In Boston, less racism is still racism."", , Callie Crossley spoke with Tiffany Dufu about her thoughts on race in Boston and if she feels the city has changed at all since she lived here., Interview highlights, ""My first experiences with Boston were before I moved to Boston, when I was calling to look for an apartment for my husband and I. And I would explain that we were coming because he was going to be a student at MIT Sloan, and what I realized in the course of trying to find an apartment was that people thought I was white, and they would describe the neighborhoods to me in the context of race and advise me to live in some neighborhoods, not other neighborhoods and, of course, I knew nothing of any of these neighborhoods but thought it quite fascinating that they were describing them based on their assumptions about me."" -- Tiffany Dufu on her initial impressions of Boston, ""It's not as if there isn't racism in other cities. Racism is an institution and an experience that exists everywhere in America, let's face it. There are other aspects of the culture here that I think, in some ways, make it more prominent -- a sense of tribalism that, for example, you don't have in New York. When people ask me, ""Where are you from?"" and I'm in New York, I say, ""I'm from Seattle."" And if it's a New Yorker, they'll say, ""Oh but I've seen you around. How long have you been here?"" And I'll say, ""Oh, I've lived here for 12 years,"" and they'll say, ""OK, you can say you're from New York now, Tiffany!"" That's not Boston, right? Unless you're born and bred ... there's a very strong sense of ""us and them,"" of the people who are here who are true, who are real, and the people who are transient, who are the newcomers. And I think that those kinds of dynamics amplify the racism that actually exists anywhere and causes it to manifest in different ways, maybe."" -- Tiffany Dufu on racism in Boston, Tiffany Dufu is the author of ""Drop the Ball: Achieving More By Doing Less."" She is the chief leadership officer of Levo. She lives in New York City.]"
1014,"[FULL SHOW: Boston Race Relations, Staving Off Strokes, Fyre Fiasco]","[Boston is again making headlines and not for a good reason. Following Monday’s Red Sox game against Baltimore, Orioles center fielder Adam Jones told multiple media outlets that a fan yelled racial slurs and threw a bag of peanuts at him. The incident prompted an apology from the Red Sox, Governor Charlie Baker and Boston Mayor Martin Walsh. But Jones says this wasn’t the first time he’s experienced racism at Fenway Park. Is this incident a reflection of race relations in Boston? Newly-elected president of the Boston NAACP Tanisha Sullivan, Senior Vice President at Brandeis Ira Jackson, and Northeastern University athletic director Peter Roby joined Jim to discuss., We all know exercise is key to a healthy life but that’s easier said than done, especially for medical professional who work long shifts and put all their time into caring for others. That’s exactly why Mass General Hospital has launched a month-long challenge asking staff to exercise 30 minutes for 30 days straight. The goal is to raise awareness about how to lessen the odds of dementia and stroke—the two leading causes of death in the U.S. Doctor Lee Schwamm, vice chair of neurology at Mass General, which is the department behind the effort, joined Jim to talk about the challenge., Jim shares his thoughts on a recent event that taught him the true meaning of schadenfreude., Coverage from the GBH Newsroom.]"
1015,[LISTEN: Massachusetts Medical Society Calls For Free Opioid Injection Clinics],"[
	Over the weekend, the Massachusetts Medical Society approved a recommendation to establish two clinics in the state where opioid users can go to inject themselves with drugs. The clinics - overseen by nurses - would be free and accessible to anyone wanting to use them.
	 
	Dr. Dennis DeMetri is the chair of the Massachusetts Medical Society's opioid task force. He spoke with WGBH News' All Things Considered host Barbara Howard about the Society's recommendation and how such clinics can reduce fatal overdoses.
	 , ,  ,  , Barbara Howard is the former anchor of WGBH’s All Things Considered. ]"
1016,[Boston Race Relations],"[Boston is again making headlines and not for a good reason. Following Monday’s Red Sox game against Baltimore, Orioles center fielder Adam Jones told multiple media outlets that a fan yelled racial slurs and threw a bag of peanuts at him. The incident prompted an apology from the Red Sox, Governor Charlie Baker and Boston Mayor Martin Walsh. But Jones says this wasn’t the first time he’s experienced racism at Fenway Park., Is this incident a reflection of race relations in Boston? Newly-elected president of the Boston NAACP Tanisha Sullivan, Senior Vice President at Brandeis Ira Jackson, and Northeastern University athletic director Peter Roby joined Jim to discuss., Coverage from the GBH Newsroom.]"
1017,[IMHO: Fyre Fiasco],"[Jim shares his thoughts on a recent event that taught him the true meaning of schadenfreude., Coverage from the GBH Newsroom.]"
1018,[30 x 30: Staving Off Strokes],"[We all know exercise is key to a healthy life but that’s easier said than done, especially for medical professional who work long shifts and put all their time into caring for others. That’s exactly why Mass General Hospital has launched a month-long challenge asking staff to exercise 30 minutes for 30 days straight. The goal is to raise awareness about how to lessen the odds of dementia and stroke—the two leading causes of death in the U.S., Doctor Lee Schwamm, vice chair of neurology at Mass General, which is the department behind the effort, joined Jim to talk about the challenge., Coverage from the GBH Newsroom.]"
1019,[Carol Rose: Trump 'Overreached Once Again' With Sanctuary Cities Crackdown],"[Last week, a federal judge blocked another one of President Donald Trump's executive orders — this time, one directing the Department of Justice to crack down on so-called ""sanctuary cities."", Trump's executive order would have stripped federal funding from cities and municipalities that don't comply with federal immigration policies. Judge William Orrick of San Francisco said that move overstepped Trump's legal authority because only Congress can limit spending in that way., ""Once again they've overreached — and they've lost,"" said Carol Rose, executive director of ACLU Massachusetts., , ""The bottom line is the states have the ability to decide how they want to enforce their laws,"" Rose continued. ""Their job is to serve and protect the local communities, and one of the ways they do that is by building trust in local communities. So if local law enforcement says 'we don't want to become agents of federal ICE agents, we don't want to do their bidding,' the federal government can't punish those cities by taking away money."", But the judge's ruling, so far, is only a temporary injunction. Rose says the fight isn't over yet., ""It's going to be battled out, and it's not over yet because it will probably be appealed,"" Rose said. ""But it's an important injunction."", Click the audio player above to hear the full interview with ACLU executive director Carol Rose., Amanda McGowan is a producer for Boston Public Radio. ]"
1020,[Full Show Post: 05/02],"[Click the audio player above to listen to the full show., Molly Boigon is a former associate producer and reporter for Learning Curve, WGBH’s K-12 education desk. She has also worked for Boston Public Radio and WGBH’s higher education desk, On Campus. Her interests include jazz, yoga and public records requests. Before joining WGBH, she worked at SiriusXM, WZBC and WAAF. She has a degree in Applied Psychology and Human Development from Boston College’s Lynch School of Education.]"
1021,[BPR Full Show Post: 05/01],"[Molly Boigon is a former associate producer and reporter for Learning Curve, WGBH’s K-12 education desk. She has also worked for Boston Public Radio and WGBH’s higher education desk, On Campus. Her interests include jazz, yoga and public records requests. Before joining WGBH, she worked at SiriusXM, WZBC and WAAF. She has a degree in Applied Psychology and Human Development from Boston College’s Lynch School of Education.]"
1022,"[FULL SHOW: Power of Forgiveness, Shared Road Safety, 'Matisse in the Studio']","[Tina Chéry’s 15-year-old son, Louis, was killed while heading to a Christmas Eve anti-gang violence meeting in 1993. A few years later, Charles Bogues pled guilty in the killing.. and served 16 years in prison. The tragedy spurred Chéry to found the Louis D. Brown Institute for Peace—an organization aimed at promoting unity and peace. But she also reached out to Bogues’ mother, Doris and formed a relationship with her as well as the man who admitted to killing her son. Tina Chéry and Charles Bogues joined Jim to discuss their story and how they hope to inspire others with their message of forgiveness and non-violence., The bike safety debate rode back into the forefront this weekend in Boston after a cyclist was critically injured in a hit-and-run in the Back Bay. The 30-year old man was riding alongside another person when he was hit by a car early Sunday morning. Sunday also marked the one-year anniversary of Allison Warmuth’s death—the 28-year-old woman who was hit and killed by a duck boat while riding a scooter in Boston. A law requiring additional safety guidelines for duck boats, which was championed by Warmuth’s family, took effect last month and lawmakers will hear more street safety bills this session. But should Boston do more to accommodate cyclists and those riding smaller vehicles? Or is this a hopeless pursuit? Peter Furth, an engineering professor at Northeastern University, and Ernie Boch Jr., president and CEO of Subaru, New England joined Jim to discuss., Jim offers his thoughts on a change to Newbury Street that  could alter the soul of the city., Coverage from the GBH Newsroom.]"
1023,[IMHO: Pedestrian Paradise],"[Jim offers his thoughts on a change to Newbury Street that  could alter the soul of the city., Coverage from the GBH Newsroom.]"
1024,[Safe Streets?],"[The bike safety debate rode back into the forefront this weekend in Boston after a cyclist was critically injured in a hit-and-run in the Back Bay. The 30-year old man was riding alongside another person when he was hit by a car early Sunday morning. , Sunday also marked the one-year anniversary of Allison Warmuth’s death—the 28-year-old woman who was hit and killed by a duck boat while riding a scooter in Boston., A law requiring additional safety guidelines for duck boats, which was championed by Warmuth’s family, took effect last month and lawmakers will hear more street safety bills this session. But should Boston do more to accommodate cyclists and those riding smaller vehicles? Or is this a hopeless pursuit?, Peter Furth, an engineering professor at Northeastern University, and Ernie Boch Jr., president and CEO of Subaru, New England joined Jim to discuss., Coverage from the GBH Newsroom.]"
1025,[Why Tina Chéry Forgave The Man Who Killed Her Son],"[“Within our community, we are losing at both ends of the guns,” said Tina Chéry when she joined Jim Braude on Greater Boston, alongside the man who pleaded guilty in her son’s murder, for their first television interview together. “There are no winners here. We are both impacted, our families are impacted, and our communities are impacted.”,  On Christmas Eve, 1993, Tina Chéry’s 15-year-old son, Louis, was walking to an anti-gang violence meeting when he was caught in the crossfire of a shootout and killed. Four years later, Charles Bogues pleaded guilty to second-degree murder in Louis’ killing and ultimately served 16 years in prison.,  Chéry founded the Louis D. Brown Peace Institute, in honor of her son, and began an annual event called the Mother’s Day Walk for Peace to help others struggling with violence in their lives and communities. But she also took another extraordinary step—reaching out to the mother of the man who pleaded guilty in the death of her son. “I really wanted to know who this mother was,” said Chéry, “because it could have been my son on the other end of that.”,  In time, she went on to form a relationship with Bogues as well, even visiting him in prison. “Before he came out [of prison], I wanted to meet him… I did not want him to come out and end up dead himself or in prison for killing someone else.”,  “Part of me was a little bit afraid of what reaction I would get,” said Bogues, recalling the anticipation of his first conversation with Chéry. “Her graciousness to me… getting that opportunity to apologize for my actions and just the feeling of love that she extended to me… it felt like I finally got to do something I wanted to do a long time.”,  “We are all impacted when violence happens. It's not just the individual,” said Chéry of her decision to meet with Bogues. “We pay our dues to society and that's what we call justice. That's man's justice for me. I feel that by extending my hand and my heart for forgiveness, that is God’s justice…. It is a part of my inner healing.”,  Last year, Chéry and Bogues stood side by side at the 20th annual Mother’s Day Peace Walk in Boston to share their stories. “For us, this is transforming the way society responds to homicide,"" said Chéry. ""How do we engage the families of those that are pulling the trigger? How do we make sure that they are connected?” she asked, adding that she is encouraged by the changes the city has made in how it treats homicide cases, including the new trauma response team and Governor Baker addressing the issue of city violence in his State of the Commonwealth.,  Bogues has now been out of prison for three years and, in addition to his involvement with the Louis D. Brown Peace Institute, he works with the Massachusetts Community Outreach Initiative, talking to kids about his experiences and where they lead him—including Chéry’s forgiveness and how it has affected his life. “I know that I have a debt that I owe to the Chéry family and to society,"" Bogues said, ""had she not reached out her hand to me, I don't think my thinking would have been different, but it wouldn't have been as urgent.”]"
1026,[LISTEN: Boston Transit Start-Up Bridj Folds],"[
	Bridj is ceasing operations. The Boston-based start-up was trying to fill gaps in the region's mass transit market.
	 
	Shirley Leung is a business columnist for the Boston Globe and a WGBH News contributor. She spoke with WGBH News' All Things Considered host Barbara Howard about why Bridj failed., ,  , Barbara Howard is the former anchor of WGBH’s All Things Considered. ]"
1027,[Demetri Martin's Directorial Debut Is 'A Comedy About Loss'],"[Can loss of a loved one be funny?, That's the question comedian Demetri Martin grapples with in his new film ""Dean,"" which he both wrote and directed. It's an examination of how a father and son deal with the death of the family matriarch. ""Dean"" won the Founders Award for Best Narrative Feature at the Tribeca Film Festival and opens June 2 in limited release. , Martin joined Boston Public Radio to discuss the film and his career in comedy. Some highlights are below., On his directorial debut, ""Dean"", ""While it is a comedy, I try to deal with some real emotional things that I had been through. It’s a comedy about loss. Kevin Kline plays my father, I was very lucky to get him. It’s about two guys getting over the loss of the same person — my character’s mom. I’d say she has passed away maybe a year before this movie takes place. So while it is about grief, it’s really about coming out of grief or at least trying to come out of it."", On how ""Dean"" was inspired by his own life, ""When I was 20, my dad passed away. He was 46. He was really young. It’s been awhile, it’s been about 23 years. I thought there’d be an interesting story to tell in father and son going through the same thing, in a sense, in approaching grief from different angles. But if they both met someone along the way — if I could tell parallel but different stories while the two guys were having trouble communicating — I thought that would be an interesting story."", , On including his own cartoons in the film, ""I put so much work into the drawings! I’m not a technically great artist, but what I love about drawing is kind of what I love about one-liners. With just a few words or just a few lines, you can convey ideas that sometimes can be pretty rich. I love that about it."", On dropping out of law school to become a comedian, ""I wanted to go to law school since about seventh grade. I remember 'L.A. Law' was a popular show when I was a kid, and my parents loved that show. I think that imprinted on me: 'oh, I could do this.' I'm sure I sought approval — I know I did, because I still do. I'm a comedian. That's all I do. Every 30 seconds I'm looking for it., I went to college with that in mind, went straight to law school after college. Then, suddenly — a month, two months into the first year — I had the crisis where I realized, 'oh no, this isn't for me.' The first year of law school is stimulating, but there's that core curriculum and you're with your section, with your group. They have assigned seats when I was there: you sit down, and they do a seating chart, and that's where you sit every day. It's very regimented. I had my crisis. When I left, everybody disapproved. It was terrible. But I was in New York. There were comedy club everywhere. It was almost easy to step into a world that was right next to me..., There was a place called the Boston Comedy Club in the Village, across the street from the NYU Law School ... It was there, gnawing at me, and I thought, 'I want to try this. I got to try this.' I had never done it. In fact, I dropped out before my first set on stage."" , , On how his father's career as a Greek Orthodox priest taught him to love performing, ""I grew up in the Greek Orthodox church — I'd say I'm agnostic at best now, I'm not heavy into this stuff. The service was mostly in archaic Greek, and you're a kid, you don't know what they're saying. It's a dramatic show. My dad had a cape on, there's a thing with incense. There's theater to it. It's like a show. Then at the end, he closes with a 20-minute set. There was no script. He just spoke extemporaneously. I think I grew up seeing that as normal, and I liked being in front of people."", Click on the audio player above to hear more from Demetri Martin. This transcript has been edited and condensed for clarity., Amanda McGowan is a producer for Boston Public Radio. ]"
1028,[The French Connection: Will Populism Win Another Election?],"[The French presidential election is six days away, and many are confident that centrist candidate Emmanuel Macron will beat out far-right candidate Marine LePen., But news analyst Charlie Sennott has some words of warning for those banking on a Macron win., “It feels like a time in world history to not try to be too bold in your predictions,” he said on Boston Public Radio Monday. “Just hold on and buckle your seat belt.”, Macron is predicted to take 65 percent of the vote in this second round runoff election, but Sennott said that two factors could lead to a win for LePen: voter turnout and populist anger., He said many immigrants and children of immigrants live in underfunded suburbs of Paris, and they feel abandoned by both parties in the election., “There’s talk of them just pulling back-- second, third generation immigrants from Morocco and from Algeria who are just not going to vote,” Sennott said. “That could really tip the balance and make this much closer than people are [saying].”, , He also compared the climates of France and the United States. In both countries, anti-immigrant sentiment, partly motivated by local economic stagnation, has strengthened the far-right., “We ought to pay attention to this strange moment we live in, where populist nationalist sentiment speaks very powerfully to many people in the world,” Sennott said. “Fear of immigrants sells, and the policies of nationalism sell, particularly when the forces of globalism are changing our lives in such profound ways.”, Sennott said he’s reminded of the American presidential election, and a recent trip to Appalachia makes him even more reticent to make a prediction for France., “In Kentucky and West Virginia, driving through some parts of our country and looking at just how bad it really is, is eye opening,” he said “There are a lot of those faded industrial economies in the UK and France and in the United States, and fear sells.”, Charlie Sennott is a news analyst at WGBH, where he also heads up The GroundTruth Project. To hear his interview in its entirety, click on the audio player above., Molly Boigon is a former associate producer and reporter for Learning Curve, WGBH’s K-12 education desk. She has also worked for Boston Public Radio and WGBH’s higher education desk, On Campus. Her interests include jazz, yoga and public records requests. Before joining WGBH, she worked at SiriusXM, WZBC and WAAF. She has a degree in Applied Psychology and Human Development from Boston College’s Lynch School of Education.]"
1029,"[The Fall Of Saigon: A Day For Celebration, Mourning And Perhaps Reconciliation ]","[Vietnam is in the midst of a four-day holiday. Their jubilant festivities mark the reunification of North and South Vietnam. However, the scene is very different in Boston’s Vietnamese community. Here, the ""Fall of Saigon"" is a day of collective mourning., Dorchester Avenue is jammed with traffic and lined with bodegas. On the sidewalk, Khang Nguyen leads a team of Vietnamese-Americans as they prop up ladders to hang flags of South Vietnam: solid yellow with three red stripes., , They mark the day – April 30th – their country ceased to exist., “That day changed millions and millions of people’s lives – that includes me,” says Nguyen., For Nguyen, the day is seared in his memory. He was seven and living in rural Vietnam., “I heard it on the radio,” he recalls. “My mother was scared.”, What Nguyen learned on the radio 42 years ago – in 1975 – was that tanks of Vietnam’s Communist North had rolled into the capital of South Vietnam ending a decades-long war., In iconic footage, Americans and their allies escaped in helicopters from the roof of the U.S. Embassy. Many South Vietnamese took to the sea and began a long journey away from their homeland. Nguyen’s father was among them., Some of Nguyen’s relatives in Vietnam were sent to prisons called Re-education Camps, where torture was common. And Nguyen was forced to do manual labor at school., He says he has “a lot of bad memories” of being harassed and bullied., At age 13, he fled alone on a boat and – after several years in a prison in Thailand – arrived in Massachusetts. Here, he reunited with his father and became part of the growing Vietnamese community., , Now, Nguyen spearheads the effort to remember the day he lost his country and – along with many of his countrymen – started looking for a new one., “I see a gap between the old generation, my generation and my son’s generation,"" Nguyen says. ""The old generation – they suffered too much.” He wants to make sure the younger generation understands this history, so he insists on having college students born in the United States help hang the flags., Nguyen also helped organized a memorial service where over a hundred of people – young and old – remember together. They sing the national anthem of their fallen country, while hoisting their flag at Boston’s City Hall and laying flowers at the Dorchester Vietnam Veterans Memorial., Nguyen and his community call this event Black April. But not everyone in the Boston area remembers it by that name., “We called it: The Day to Celebrate The Victory Against America,” says Minh Trinh., Trinh is a graduate student at MIT. He grew up in Vietnam, and three of his grandparents were part of the North’s victorious military. As a kid, he marked the holiday by watching military parades and nationalist movies on TV. Red flags with gold stars flew everywhere. , “It’s a huge holiday,” Trinh says. “In some ways it almost feels like Thanksgiving or Christmas.”, Yet in the U.S., Vietnamese students studying abroad often celebrate quietly so as not upset the local community, says Trinh., But Trinh no longer celebrates the day. He says he’s come to understand the atrocities committed during the war and that his life’s privileges have come at the expense of others., “A lot of what I have had today is born on the blood and suffering of the people of the south,” he says., Trinh would like to see the day gain a new meaning: “I think it’s about time that the people back at home realize the need to reconciliate [sic].”, As those in Vietnam celebrate and the Vietnamese in Boston mourn the past, Minh Trinh says that reconciliation is the work of his generation and future generations of Vietnamese., Gabrielle Emanuel is a reporter for GBH News.]"
1030,[Inside the Mind of a Phone Scammer],"[Phong Tran sat in the lobby of the C-11 district police station in Dorchester, waiting for a police officer. He was there to make a complaint., Someone had called him claiming to be from National Grid. They told Tran he owed $500 in electric bills for the nail salon he owns with his wife. “And I had to pay the bill right away,” Tran said.  , Tran is just one of thousands of fraud victims in Massachusetts. Federal investigators received more than 20,000 fraud complaints last year in the Commonwealth alone. People don’t always report those types of crimes. But that’s more than $10 million lost to scheming and lying. , As Tran was telling his story, his phone started to ring. ""It’s them,"" he said. And he put the call on speakerphone., “Hello Mr. Chang?"" a woman's voice said on the other end, getting his name wrong. ""This is Christina Sandoval from National Grid."", “Yes, what do you want?"" he asked., ""Yes, sir, were you able to purchase the same-day payment method?” she replied., Tran had just been describing how the person on the phone had told him he needed to buy a $500 pre-paid debit card at CVS and gave him a phone number to call back with the card information. He still gripped the card in his hand. Tran was out $500., This time they were demanding another thousand. Now he knew they were scammers, though, and he played along., ,  ""I have given you an hour. It’s already been an hour,"" she said, sounding impatient. ""You are not able to purchase a same-day payment method?"", ""No, I can’t make it now,"" he replied., ""And you can’t go get it?"", ""I don’t have money to go get it."", ""OK, sir, just wait for a technician,"" she told him. ""He’ll disconnect your power, OK?"", ""All right,"" he said, not upset, because he knew it was a scam., ""Have a good day,"" she said, ending the call., Of course, the electricity stayed on. Utility companies don’t demand instant payment; and they definitely don’t demand customers buy pre-paid debit cards. In Tran’s case, he’s actually a customer at Eversource, not National Grid. , “That is just not how we do business,"" said Eversource spokesman Mike Durand. ""And we always recommend customers if you get that type of call, hang up immediately and call the local authorities.”, The problem is, there’s not really much the local authorities can do. , “They’re often very difficult to investigate,"" said Lieutenant Detective Mike McCarthy of the Boston Police. ""Because often the numbers that folks are calling from are not a valid phone number.”, In the last year, Boston Police received more than eleven hundred reports of this kind of fraud. And McCarthy said they come in all forms., “We have individuals posing as parties who were involved in a car accident, and that they’re withholding medical help for somebody’s loved ones unless they send money,” he said., Other scams include calls claiming to be from the IRS, or a tech support or credit card company. Attorney General Maura Healey’s office received more than 750 complaints in 2016 that they classified as phone or impostor scams. Thirty-six of them were utility scams like the one Tran fell for., “Now we have a technology that basically allows a scam artist -- a criminal -- to go and copy someone’s actual telephone number ... and then call from a different phone but make it appear like they’re calling form that number,” Healey said., Healey said to hang up if you get a questionable call like this, then report it to her office., “When the money’s already been sent, most times we’re not going to be able to get it back,"" she said. ""Because oftentimes it’s gone, and gone overseas.”, When they get phone scam complaints, Healey’s office turns them over to the Federal Trade Commission to investigate. Monica Vaca of the FTC says there’s actually not much they can do, either., “Even though there may not be a whole ton of prosecutions that result out of those complaints, when there are, we can get real money back for people,"" Vaca said. ""When there are, we can actually shut some of these enterprises down.”, Vaca said another way of fighting this is going after the money transfer companies. In January, the FTC reached a settlement with Western Union, which agreed to pay back $586 million to people who were scammed in these kinds of frauds., “All of those companies, they’re aware of how their payment mechanisms can be used to perpetrate fraud,"" she said. ""And so it’s really important that consumers complain to those companies.”, Green Dot, the company behind the payment card Tran used, says there are ways law enforcement can track down scammers through bank accounts. But at this point, Boston police only will say their investigation is ongoing., What about the phone number Tran was given to call once he had the debit card? WGBH News decided to give it a call. , “You have reached the central district business office of National Grid,"" the outgoing message announced. ""If you are calling to report a power outage, press one.”, At first, I couldn't help but wonder – wait, did I mix up the numbers? Was I actually calling National Grid?, When I got someone on the line, I asked for the name Phong Tran was given. But when she answered, as soon as I told her who I was and why I was calling, she hung up. I called back. I asked for the same name again, but this time a man answered., “Oh, are you the guy from yesterday, that I was drinking beer all night last night with his money, are you the same guy?” he asked., No, I said. I explained that I’m a reporter and tell him about Tran., “Yeah, yeah, he replied. ""I remember now, that guy sent me $500 that I was drinking beers all night with his money.”, He wasn't interested in answering real questions., “Where are you located?"" I asked., ""Give me some money, I will let you know,” he replied., “You realize you’re taking advantage of people,"" I said., ""I love it,” he said., I tried to put a personal face on the victim of his scam. “The person who’s money you took is Mr. Phong Tran, needed that money,"" I told him. ""He’s not a rich man, and he didn’t understand what he was doing when he gave it to you."", That was met with maniacal laughter. It was, as I see it, the voice of someone who’s unrepentant and unworried about getting caught. We spoke like this for about six minutes. Then he hung up., When I spoke with Phong Tran in the police station that day, he wasn’t making his complaint in the hopes of getting his money back. He was resigned to that loss., “I just want, in the future, they don’t scam somebody else, you know?” he said., Unfortunately, at least for now, the scammers are probably still at it. , Craig produces sound­-rich features and breaking news coverage for WGBH News. ]"
1031,[LISTEN: What's Next For The Long Island Bridge?],"[
	Long-awaited plans to rebuild Boston's Long Island Bridge appear to have stalled out. Long Island once provided housing to some of the city's homeless population, with shelters on the island. But the bridge that connected Long Island to the mainland has been shut down since 2014, and as such, those who were housed on the island have had to relocate. The city says that it's conducting a cost-benefit analysis of whether repairs to the bridge would be worthwhile. For the time-being, advocates for the homeless report that the majority of those who did rely on Long Island for shelter have found beds elsewhere.
	 
	Jack Sullivan, a writer for CommonWealth Magazine, has been looking at the city of Boston's handling of the Long Island Bridge. He examined records pertaining to the project, and spoke with WGBH All Things Considered host Barbara Howard about what he found.
	 
	You can read Jack Sullivan's article on the Long Island Bridge here.
	 
	 
	 
	 
	 , ,  , Barbara Howard is the former anchor of WGBH’s All Things Considered. ]"
1032,[LISTEN: Will Western Massachusetts Get A Justice On The State's Highest Court?],"[
	None of the seven justices on the Massachusetts Supreme Judicial Court — the state's highest court — are from the western part of the commonwealth. Governor Charlie Baker has so far appointed four of the court's seven justices, but none hail from west of Worcester County. Baker will have the opportunity to appoint his fifth judge to the court later this year, when current Justice Geraldine Hines reaches the mandatory retirement age of 70. Some are pushing Baker to make his next pick to the Supreme Judicial Court a western Massachusetts native -- the court has not had a western justice on the court since the retirement of former Chief Justice Roderick Ireland in 2014. Bar associations from all four of the state's western counties are making their case to Governor Baker, as is the Springfield Republican. It's published an editorial on the subject. The author, Ron Chimelis, spoke with WGBH All Things Considered host Barbara Howard and shared his thoughts on the matter.
	 
	 
	You can read the Springfield Republican editorial encouraging Governor Baker to nominate a justice from western Massachusetts here.
	 , ,  , Barbara Howard is the former anchor of WGBH’s All Things Considered. ]"
1033,[WATCH: Sexuality Speculation; ESPN Exodus; A Woman's Place; 100 Days],"[Sexuality Speculation - Media Struggles with Hernandez Rumors, ESPN Exodus - Another Major Layoff at Sports Network, A Woman's Place - Is Treatment of Women an Industry-Wide Problem?, 100 Days - Is the Media Obsessed with the Benchmark?, Rants &amp; Raves - The panelists offer their rants and raves over some of what happened in the media world this past week, Joining Adam on the show are Dan Kennedy (@dankennedy_nu) of Northeastern University, WGBH’s Callie Crossley (@CallieCrossley), freelance journalist Joanna Weiss (@JoannaWeiss), and Joshua Benton (@jbenton) of the Nieman Journalism Lab. , Coverage from the GBH Newsroom.]"
1034,[News Quiz: The 'Weekends With Yankee' Edition],"[This week's news quiz on Boston Public Radio is the ""Weekends With Yankee"" edition—but before all you Red Sox fans send your emails, we do not mean the New York Yankees. We’re talking about a new television series where Yankee Magazine meets WGBH TV and, in the process, highlights the best that New England has to offer., Facing off on the quiz were the hosts of ""Weekends With Yankee,"" Richard Wiese and Amy Traverso, who is also Senior Food Editor of Yankee Magazine. , Click on the audio player above to hear how they did., Amanda McGowan is a producer for Boston Public Radio. ]"
1035,[BPR 04/28: Full Show Post],"[Molly Boigon is a former associate producer and reporter for Learning Curve, WGBH’s K-12 education desk. She has also worked for Boston Public Radio and WGBH’s higher education desk, On Campus. Her interests include jazz, yoga and public records requests. Before joining WGBH, she worked at SiriusXM, WZBC and WAAF. She has a degree in Applied Psychology and Human Development from Boston College’s Lynch School of Education.]"
1036,"[FULL SHOW: 100 Days, Lawrence Mayoral Race, 'No Boston Olympics']","[President Trump hits his 100-day milestone this weekend. Over the last few months, he has tweeted less and with fewer capital letters. He has also shifted and scaled back on certain positions. Is it clueless flip-flopping? Or has the presidency changed him? Former chair of the Massachusetts Republican Party Jennifer Nassour and Dan Primack, business editor at Axios, joined Jim to discuss., If you’re a political junkie who’s been waiting for the Boston mayor’s race to take off, you’re probably a bit disappointed. So far, Boston City Councilor Tito Jackson’s quest to unseat Mayor Marty Walsh has been decidedly short on drama. So here’s a modest proposal: instead, direct your attention to the gritty, heavily Latino city of Lawrence, where the 2017 mayoral election is shaping up to be downright Shakespearean., Just two years ago, Boston was in the middle of one of the most epic showdowns in the city’s history—whether or not we should host the 2024 Olympic Games. In January 2015, the U.S. Olympic Committee announced Boston would be the U.S. entry. With that came seven months of selling, debate, protest and rowdy meetings around the city. A new group formed in opposition called No Boston Olympics. Then, suddenly, on July 27th, Mayor Marty Walsh announced the bid was over. The speed and timing of the announcement was a shock to nearly all involved, but the road to that day was a long and winding one. Now, it’s the subject of a new book called “No Boston Olympics: How and Why Smart Cities Are Passing on the Torch.”, Jim weighs in after controversial political commentator Ann Coulter was forced to cancel a planned speech on immigration at the University of California Berkeley for fear of violence., Coverage from the GBH Newsroom.]"
1037,[Nearing the 100-Day Mark],"[President Trump hits his 100-day milestone this weekend. Over the last few months, he has tweeted less and with fewer capital letters. He has also shifted and scaled back on certain positions. Is it clueless flip-flopping? Or has the presidency changed him? Former chair of the Massachusetts Republican Party Jennifer Nassour and Dan Primack, business editor at Axios, joined Jim to discuss., Coverage from the GBH Newsroom.]"
