,text
95,A warm week  actually warmer than any week in August  continues  The humid air will be with us through Tuesday night High pressure offshore continues to pump a very tropical air mass into the region  This air is actually giving us the warmest week we have experienced since July There is a slight risk for a shower this afternoon as temperatures reach their peak around 2 p m  Anytime you have highs in the upper 80s with so much humidity showers are possible Tonight a cold front will pass through the region  This will bring a chance of storms  Some of the storms could contain strong gusty winds and heavy rain The humidity will fall tomorrow during the day  and  while it will be warm  it won t be as muggy  A more comfortable air mass means it will be easier to sleep tomorrow night Warmer than average readings continue Thursday through Saturday as well  Later Saturday a cold front will bring another chance of showers along with a blend of clouds and sunshine  If you are looking for more typical September temperatures you ll have to wait until Sunday  By the end of the weekend highs will stay in the 70s — until then it s summer weather  Have a great day Tuesday  Mostly sunny and warm  A small risk of a thunderstorm in the afternoon  Highs in the mid to upper 80s Tuesday night  An evening thunderstorm — otherwise warm and muggy  Lows near 70 in Boston and upper 60s in the suburbs Wednesday  Mostly sunny  turning drier  Highs in the lower 80s Thursday  Sunny with a high of 80 to 85 Friday  Sunny and warm with a high of 80 to 85 Saturday  A blend of clouds and sunshine  A few afternoon showers with highs in the 80s You can follow David’s weather updates on Twitter at  growingwisdom 
96,From  warm and dry  to  cool and damp   our weather is making a sharp turn  Unfortunately  the cooler weather isn’t accompanied by any significant rain in spite of showers and the chance of drizzle being in the forecast  The moderate drought rolls on this week north of Cape Cod A cold front passed through the area yesterday ushering in cooler air along with a persistent northeasterly flow of air off the ocean  Any time of year when the winds are northeast it means marine air and the ocean influence dominates the forecast  With longer nights it will be more difficult for the sun to warm the ground and in turn break up any low clouds and fog which form overnight Drizzle will also make an appearance as the air becomes more saturated  We are many inches below normal in terms of rainfall and while sunshine is limited the next few days  so too is any significant rain Small areas of steady rain will try to make a run at the region  but it appears much of it will remain off the coast  As another front approaches the area later this week and at the start of the weekend showers are more likely and perhaps even some widespread measurable rain The sunniest day of the rest of the week is shaping up to be Friday with seasonable temperatures  Thursday afternoon could also see some breaks of sunshine and conditions continue to be somewhat stable  Enjoy the cooler air  Fall is here Tuesday  Lots of clouds and a few morning showers  Cool and raw with highs in the lower to middle 60s Tuesday night  Lots of clouds and cool  Some spotty drizzle  Lows of 51 to 56 Wednesday  Mostly cloudy with a few morning showers or areas of drizzle  Continued cool with highs of 62 to 66 Thursday  Morning drizzle  then clouds with some sunny breaks  Highs in the mid 60s Friday  Mostly sunny with a high of 65 to 68 Saturday  Showers likely with highs in the mid 60s You can follow David’s weather updates on Twitter at  growingwisdom 
97,I was thinking this morning what a great week of weather it is going to be for vacationers  It s not perfect  because we have to contend with clouds and some showers for Thursday  But  overall  this is a great week of weather Yesterday was another cool day for July with highs in the 70s  Boston  with the wind off the water  was in the 60s much of the evening making for a very comfortable sleeping night Now the humidity is higher and will creep up even more throughout the day  The amount of moisture in the air will peak on Wednesday afternoon and evening making for an uncomfortable few hours on that day I believe both today and Wednesday will be terrific beach days  High tides will be during the middle of the morning  but they are not particularly high for the time of year A cold front brings showers and storms later Wednesday night and Thursday  This front will usher in drier and somewhat cooler air for the end of the week and the weekend  I expect most areas to see a tenth to a quarter inch of rain  not a lot  but a bit to wet the ground and keep the lawns from burning out too much I looked ahead to the weather after this weekend  and I see a few more chances of showers in the next 10 days but no signs of any extended heat Tuesday  Any early fog gives way to sunshine and warm temperatures  More humidity with highs in the upper 80s but remaining in the 70s on the outer portions of Cape Cod and the Islands Tuesday night  Some late night fog  Otherwise partly cloudy and mild  Lows of 65 to 70 Wednesday  Mostly sunny and hot  Highs in the upper 80s to around 90 Wednesday night  Warm and muggy with showers and storms late at night  Lows in the upper 60s Thursday  Showers  mostly in the morning  Some late day clearing  Not as warm with highs of 75 to 80 Thursday night  Clearing and turning drier by morning  Lows in the lower 60s Friday  Mostly sunny with a high in the upper 70s to near 80 Saturday  Sunny with a high in the lower 80s Follow updates from David Epstein on Twitter  growingwisdom 
98,The warm pattern of last week is certainly over  Today  with a wind off the water  coastal areas will only reach the lower 70s  This time of year the sun is still quite strong  so if you are in the sunshine it will feel warmer than the air temperature shows  There is no chance of rain  although sunshine will mix with clouds at times Overnight a weather system will graze the area  This  combined with the east wind will bring some thicker clouds and the chance for some drizzle  especially along the coast  I am not expecting any significant rainfall and  actually  it likely won’t even be measurable for most of us  It’s very dry right now  and we need a good soaking Tomorrow starts a bit murky along the coastline but sunshine returns for a rather pleasant early to mid September day  Temperatures will be in the 60s by mid morning and the lower 70s during the afternoon A front moves into the region on Thursday and brings the chance of rain showers  There will be more humidity in the air and the possibility of thunder in the evening Friday sees a return to nice weather with highs in the mid 70s I am going to play the weekend mainly dry and with a blend of clouds and sunshine right now  There will be a storm system riding along the same front that goes through Thursday  It appears the storm will remain far enough offshore to not bring any rain to the area  However  just like in winter  if the storm tracks closer to the coast we will see a change in the forecast and need to add more rain Behind this weather system it turns cool and dry  and it’s going to feel more like early October later this weekend and the first part of next week  Have a great day Tuesday  Mostly sunny with highs in the lower 70s along the coast and the mid 70s inland  Thicker clouds on Cape Cod and the Islands Tuesday night  Lots of clouds with some coastal drizzle  Lows in the 50s Wednesday  Early clouds and some drizzle along the shore  Otherwise becoming partly sunny and seasonably cool  Highs of 70 to 75 Thursday  A blend of clouds and sunshine  Milder highs in the mid to upper 70s  A few afternoon showers are possible Friday  Partly sunny with highs in the mid 70s Saturday  Lots of clouds with some sun and a risk of a shower  Highs of 68 to 74 Follow updates from David Epstein on Twitter  growingwisdom 
99,Like yesterday  most of the today will be dry Morning commuters may run into a few icy spots on smaller roads  sidewalks and driveways  Check your traction underfoot this morning before you rush off Skies will be mainly cloudy with a few breakthroughs of sunshine peeking out behind the clouds throughout the day Any snow or rain showers today will be light  Some areas  mostly north of Boston  may see a light coating on the ground  but that s unlikely to be seen in the city Tomorrow is a similar day  where the risk of a light snow or rain shower persists  There will be a bit more sunshine  however  Tuesday s nor easter won t finally relax its grip until Sunday  when risk of precipitation is likely to drop off Once we do get back to the sunshine  temperatures will remain seasonable in the lower 40s  and the upcoming week looks mostly dry High pressure will build into the area later this weekend and keep New England storm free for the foreseeable future  Have a great weekend 
100,A dramatic change in the weather yesterday ushered in cool and damp marine air with scattered showers and even a few thunderstorms  The cool and raw weather conditions remain in place today with an unseasonably cold day more like early April rather than the end of May  Highs today will reach the 50s  but  with the clouds and scattered showers  it will feel quite raw  This cool weather continues overnight with temperatures falling back into the 40s  I expect some colder locations to see the upper 30s Thursday morning  but frost should not be an issue Tomorrow  although the day will start very cool  it will be milder with an abundance of sunshine  Highs Thursday reach the 60s and since the sun is so strong this time of year  as strong as it gets   it will seem warmer Another weather system approaches for Friday with more clouds and the renewed chance of rain showers  I think the bulk of the day is dry however  The threat of wet weather remains Friday night and Saturday  It won’t be a washout at all  but not picture perfect  A drying trend comes in for Sunday with seasonable temperatures in the upper 60s and lower 70s Although other parts of the country have seen some early heat and humidity  here in New England we are still waiting for a string of very warm days and right now I don’t see a pattern change for a while Wednesday  Cloudy and cool  A few showers but mostly dry with highs of 52 to 56 Overnight  Partly cloudy and cool with a low of 40 to 46 Thursday  Sunny with a high in the mid 60s Friday  A blend of clouds and sunshine  A shower or two in the afternoon  Highs of 65 to 70 Saturday  Sunshine followed by building clouds and a chance of a shower  Highs of 63 to 68 Sunday  Mostly sunny with a high near 70 Follow updates from David Epstein on Twitter  growingwisdom 
101,A blocked pattern of weather left much of southern New England cloudy  cool and wet this weekend  Today that pattern relaxes its grip somewhat with more in the way of sunshine   There will be some clouds  but it’s going to be a much better day than we have seen in several days  Temperatures will be seasonable  mostly in the mid and upper 50s A cool flow off the water will bring a rather chilly day to the region tomorrow  There won’t be any rain  but temperatures will be as much as 10 degrees cooler than today  and with the wind coming off the water it will feel raw and damp by the close of the day  Although some sunshine will be around early tomorrow  the trend is for increasing clouds as we get ready for a mid week rain event Wednesday into Thursday rain will overspread the region  The timing of the rain isn’t exactly known right now  but the morning and evening commutes on Wednesday and the morning commute on Thursday are the most likely ones to be wet  The rain will be heavy at times during this storm with 1 to 3 inches of rain bringing street and small streams some flooding   The rain will end Thursday and a return to sunshine and milder air is in the forecast for Friday   Next weekend is looking mostly dry at the present time Monday  A blend of clouds and sunshine  Highs of 55 to 59 Monday night  Cloudy and cool  A brisk wind  Lows of 38 to 43 Tuesday  Some morning sunshine then clouds increase  Highs of 45 to 50 Tuesday night  A cool and raw day with a shower or drizzle late at night  Lows near 40 Wednesday  A few showers possible and lots of clouds  Highs around 50 Thursday  Rain ending and not as cool  Highs near 60 Friday  Partly sunny and seasonable  Highs of 61 to 65 Follow updates from David Epstein on Twitter  growingwisdom 
102,A big change in the weather Wednesday as we will see much lower humidity  A cold front passed offshore earlier and now drier air is working into the region  Winds will be brisk Wednesday morning and early afternoon as the new air mass becomes established across the area Temperatures are still going to be running on the warm side reaching well into the 80s  These temperatures are running about 10 degrees above the average high for the date  but are still far away from any records for this time of year which are still in the 90s A more comfortable night ahead allows us to open the windows again and enjoy some refreshing air  Lows Thursday morning will be in the upper 50s  a marked change from the near 70 degree nights of the recent past Thursday  like Wednesday will feature a lot of sunshine and warm temperatures also in the mid 80s  It will be be a bit cooler over Cape Cod  but still a great beach day Friday is a hot and increasingly humid day  Highs will once again approach 90 and with the added moisture it will be a very summery day Sleeping without air conditioning will be difficult Friday night as temperatures remain quite high all night not falling much below 70 with a lot of mugginess to the air A cold front approaches Saturday and will finally bring an end to this summer like week  A blend of clouds and sunshine  high levels of humidity and very warm readings make Saturday the last of the truly summery days for a while  Expect some showers and storms in the afternoon  which will form ahead of the next air mass  By Sunday the humidity is lower and highs won t reach the 80s for the first time in a week Enjoy this summer stretch  it won t last forever  Today   Sunny and warm  It will be much drier with highs in the mid 80s  Tonight   Clear and more comfortable with lows in the 50s to near 60  Thursday   Sunny and warm  but still comfortable levels of humidity with highs in the mid 80s  Friday   Sunny hot and becoming more humid with highs 85 to 90  Saturday   A blend of clouds and sunshine  There will be a humid afternoon and evening showers and storms with highs in the mid 80s  Sunday   A blend of clouds and sunshine with much cooler and drier air  Expect highs to be in the lower to mid 70s Follow updates from David Epstein on Twitter  growingwisdom 
103,A cold start to our Monday sees some spots in the 30s  but most are in the 40s  The good news is there will be a lot of sunshine today and temperatures will recover nicely by 10 or 11 a m  I expect highs to be in the mid 60s this afternoon — a great one to take lunch outside As the high moves east a southerly flow of air will keep it milder and a bit cloudier tonight  Lows will be in the 50s  I am not expecting much in the way of showers tomorrow morning  but there will be a lot of clouds  As the morning turns to afternoon the risk of showers increases and there could even be a rumble of thunder Highs tomorrow will be above average for a change reaching the lower 70s  Since there won’t be much sunshine  it won’t feel that mild  At least we won’t have to worry about solar glare The chance of showers continues into early Wednesday  I am not expecting much in the way of rain  but just enough to wet roads and perhaps create a few puddles Thursday sees a return to sunshine and cooler temperatures  Highs will be in the lower 60s  The sunshine is short lived  however  as another system passes to our south Friday  I’ll forecast a lot of clouds and the risk of showers over Cape Cod  but this forecast is likely going to change a few times this week Provided this system exits the area our weekend will be dry and cool  If the system lingers or moves further north then we could see a wetter and cloudier weekend  It’s important to check the forecast throughout the week for the Columbus Day weekend Have a great day Monday  Sunny and seasonable with highs in the mid 60s Monday night  A few clouds  Otherwise patchy fog by morning  Not as cool with lows of 50 to 55 Tuesday  Lots of clouds and milder  A few showers or even a thunderstorm in the afternoon Wednesday  A morning shower — otherwise a blend of clouds and sunshine  Highs around 70 Thursday  Sunny with a high in the low 60s Friday  Mostly cloudy with highs in the lower 60s You can follow David’s weather updates on Twitter at  growingwisdom 
104,Another mild day for today as sunshine mixes with clouds  Temperatures will reach near 70 in many spots  but stay in the 50s thanks to the wind off the water over much of Cape Cod and the Islands  The closer to the canal you live  the milder it will be this afternoon Showers are back in the forecast overnight as a cold front slips through  The showers will be numerous  but I am not expecting a large amount of rain because the showers won’t last for very long  There could be the rumble of thunder with the passage of the cold front Wednesday still looks unsettled  especially the first part of the day with the chance for showers remaining in the forecast east of Route 495 during the morning  In the afternoon  some clearing will take place from west to east  but overall it’s not a great day of weather Thursday is bright but blustery as a storm well to our east in Canada drags in some colder air   Highs will only be in the 50s and with the strong winds it will feel cooler Friday is a great day with sunshine  less wind and temperatures near 60  The weekend looks good to start  but the atmosphere is about to undergo a  bit of a transition  These spring transitions can bring clouds  drizzle and cool readings to the area  I’ll be updating more on the Sunday forecast tomorrow Tuesday  Partly sunny with highs of 65 to 70  Cooler in the 50s over the mid and outer parts of Cape Cod Tuesday night  Showers and the rumble of thunder possible  Lows in the 40s Wednesday  Mostly cloudy with morning showers possible  Highs in the 50s Thursday  Sunny with a gusty wind Friday  Mostly sunny and pleasant  Highs around 60 Weekend  Some clouds and seasonable You can follow David’s weather updates on Twitter at  growingwisdom 
105,Sunshine will be most abundant this morning before cooler marine air moves in for the afternoon with scattered showers  Temperatures today will be highly dependent on your exact location  This afternoon a cold front will move south along the coast from Maine and bring a period of showers along with a drop in temperatures The cool air will first enter Massachusetts around Rockport  Ipswich and Salisbury then push south and west through the rest of area during the afternoon and early evening  The later the front passes  the warmer readings will be before the cool air arrives There will be showers with the front and the evening commute will likely be wet in many places  Tomorrow will be a cool and damp day with a raw wind off the ocean  Highs will likely remain in the 50s as ocean water is still quite cold On Thursday  high pressure briefly builds into the area for a nice day  but showers return for Friday and the start of the weekend and the final day of May  If the system bringing the showers moves quickly  we should see a return to sunshine on Sunday Tuesday  Partly sunny in the morning with more clouds and a chance of showers in the afternoon  Highs around 70 but cooler at the coast  All areas will see readings fall late in the afternoon Tuesday night  A period of showers in the evening and then cooler and damp  Lows of 48 to 52 Wednesday  Raw and much cooler  Some drizzle or morning showers  Highs in the 50s Thursday  Sunny and not as chilly  Highs of 65 to 70 Friday  A chance of showers with lots of clouds  Highs in the 60s Saturday  Cloudy with some sunny breaks  A shower possible  highs in the mid to upper 60s Follow updates from David Epstein on Twitter  growingwisdom 
106,A dry start to the morning will be accompanied by an increase in clouds throughout the day  It’s opening day at Fenway Park and even if you aren’t fortunate enough to attend the game  spring is in the air Temperatures today will feel more like football season weather rather than baseball season weather  Around 2 p m  this afternoon temperatures will be in the lower 40s  not very conducive for the  Boys of Summer   but certainly a more typical early April day There are showers in the forecast  but they should hold off until after dark tonight  Most of the rain activity will likely occur after midnight as a weather system crosses the region Any rain will end quite early Saturday  and I expect clearing to take place during the morning  leaving us with a nice afternoon  While it will be raw and chilly today  it will be mild Saturday  Highs over the weekend will reach the 50s to near 60 degrees Sunday is a breezy and dry day with an abundance of sunshine  Temperatures once again will be in the 50s with a few spots nearing 60 degrees for an hour or two in the afternoon Our next chance of rain arrives Monday night  This looks to bring a healthy dose of rain with a half to one inch of rainfall  Tuesday may start wet  but the trend will be for drier air to take over during the day Today  Some sunny breaks with clouds increasing  Raw and chilly with highs in teh lower and middle 40s  Warmest away from the coast Tonight  A period of showers or steady rain late at night  ending toward dawn  Lows 38 44 degrees Saturday  Early clouds then clearing and breezy  Milder in the afternoon  Highs 55 60 Saturday night  Mostly clear and chilly  Lows in the 30s Sunday  Lots of sunshine  Highs 53 58 Monday  Morning sunshine then increasing clouds  Highs 55 60 Tuesday  A chance of rain early  then clearing late in the day  Highs in the 50s Follow updates from David Epstein on Twitter  growingwisdom 
107,Wednesday s rainfall was much needed  as lawns  gardens and woods were starting to dry out  We saw a wet and rainy day with most areas receiving 1 3 inches of rain and some areas exceeding 4 inches Now we return to our wonderful stretch of summer weather which seemingly has been going on for quite a while  High pressure is going to build into the mid Atlantic region and protect our area from any significant rain for a while  There will be clouds in the sky the next couple of afternoons  but not so many that we see any showers The weekend is looking rather nice  I would pick Saturday as the better of the two weekend days  but only because there is a slight risk of a shower or thunderstorm on Sunday  That day isn’t a washout and certainly nothing like the weather we saw the past 24 hours Temperatures are going to be quite typical for the second half of August with highs in the mid to upper 70s  The best chance to reach or exceed 80 degrees is on Saturday  and temperatures will be a degree or two cooler Sunday  with more clouds The next chance for significant rain comes sometime between Tuesday night and Wednesday   More on that in the coming days as the timing and strength of that system is still very much in question Thursday  Sunny with a high in the mid 70s Thursday Night  Passing clouds and comfortable  Lows between 55 60 degrees Friday  Lots of sunshine  Highs in the mid 70s Saturday  Sunshine and a few clouds  Highs nearing 80 degrees Sunday  A blend of clouds and sunshine  A few scattered showers  Highs 76 81 Monday  Mostly sunny with highs in the upper 70s Follow updates from David Epstein on Twitter  growingwisdom 
108,A slow moving  coastal storm will bring a slug of rain and wind to the region today and tonight  The rain will amount to 1 to 3 inches with street flooding possible  The bulk of the storm will be over by Wednesday morning  but clouds and the risk of rain and snow showers will linger into Thursday This is a typical warm nor easter where enough mild air comes in off the ocean to avoid any major issues with snow or ice  That said  we do have some frozen precipitation inland this morning and there will be some light accumulation of snow and sleet  Areas well north and west of Route 495 could see 1 to 3 inches of snow  but it s all going to be washed away by the heavy rain this afternoon The heaviest rain will move in during the afternoon making it a difficult commute Temperatures will reach the lower 50s over Cape Cod  but only around 40 in the far northwest corner of Worcester County Winds and coastal beach erosion will be an issue along the coast  especially east facing beaches and areas on Cape Ann and Cape Cod  Winds might reach 50 miles per hour or higher later today and the first part of the night causing scattered power outages The storm will linger in the area for a couple of days  but in a weakened state  This means clouds and the chance of showers of rain or snow Better weather arrives Friday with a lot of clouds and seasonable temperatures  After this storm  we have a lull in the action and no wintry cold or snow for a while Tuesday  Any early snow and sleet changes to rain  The rain could be heavy at times  Urban street flooding possible in places  Gusty winds with highs in the 40s Tuesday night  Showers and perhaps a thunderstorm  Some downpours possible  Lows of 40 to 45 Wednesday  Lots of clouds with a risk of a shower or two  Highs in the mid 40s Thursday  A snow or rain shower  Highs in the 40s Friday  Mostly cloudy with a high near 40 Saturday  Partly sunny with a high in the lower 40s You can follow David’s weather updates on Twitter at  growingwisdom 
109,An area of rain missed most of the region last night  This opportunity is now gone  and we have more dry weather on the way for perhaps as much as another week If you are going to be outside Friday it’s more important than usual to be careful with any flames or cigarettes  The ground is exceedingly dry as most of the region sees its driest September in decades  The warm weather of the upcoming weekend while welcome will exacerbate the drought High pressure will move into a position that will allow a southwest flow of air to pull temperature in the 80 degree range or higher both Saturday and Sunday  These highs are the reason we can’t seem to get any significant rain  They just keep the rain areas from moving far enough north to bring precipitation to the region Our drought has now entered a new phase and is now being called  moderate  for parts of the region as it expands northwest  If this pattern continues into October without significant rain  we are going to see conditions worsen in spite of the growing season ending Plenty of sunshine will come through all weekend  and I highly recommend taking advantage of the nice weather  Even if we don’t see rain soon  warm 80 degree days are numbered  The nights are going to be comfortably cool for sleeping  but not so cool it won’t be possible to have a meal outside to take advantage of dining on the many restaurant patios in the region before they close up for the season Monday brings a slightly cooler day  but still unseasonably warm with more sunshine  It’s beginning to feel a lot like sunny California around here  Have a great weekend Friday  Sunny  highs in the lower 70s Friday night  Clear  with a low around 50 Saturday  Lots of sunshine and warm   Highs around 80 Sunday  Sunny and unseasaonbly warm  Highs in the lower 80s Monday  Mostly sunny  with a high in the mid 70s Tuesday  Lots of clouds highs in the mid 60s Follow updates from David Epstein on Twitter  growingwisdom 
110,Rain is the forecast through tomorrow evening  but the steadiest rain and heaviest rain will fall today through early tomorrow  Temperatures will continue to be unseasonably cool with highs in the lower and mid 40s today Some of the rain could be quite heavy  especially west of Boston this morning  The trend will be for a steadier rain today so the evening commute looks like a very wet one  and the Red Sox game is likely to be postponed Early Thursday morning the rain will still be heavy but then become more showery in nature during the day  At times it will be breezy and just cloudy and then a few moments later there might be a round of heavy downpours and showers  I expect the shower activity to be numerous tomorrow Temperatures on Thursday will be significantly warmer and it will be somewhat humid  In contrast to the ocean chill much of this week it will feel rather summer like Friday is still looking like a nice day with an abundance of sunshine and breezy conditions   Highs will reach the 60s  The weekend also looks mostly on the dry side with a mix of clouds and sunshine  A shower is possible Sunday  but not a steady rain and it will be typically mild with highs in the upper 50s to mid 60s during the weekend Wednesday  Periods of rain and very cool with highs in the low to mid 40s Wednesday night  More rain  could be heavy at times with patchy fog  Temperatures in the 40s rising to the lower 50s by morning Thursday  Heavy rain early  then clouds  breezy and much milder with scattered showers and thunderstorm  Some storms could be strong  Highs in the mid 60s to near 70 Friday  Lots of sunshine and breezy  Highs in the mid to upper 60s Saturday  Partly sunny with a high of 61 to 66 Sunday  A mix of clouds and sunshine  A quick shower possible  Highs of 59 to 64 Follow updates from David Epstein on Twitter  growingwisdom 
111,Massachusetts residents are once again preparing for a winter storm that is expected to drop heavy  wet snow across the state Thursday Meteorologist David Epstein says snow will start across the state between 7 a m  and 9 a m  Thursday and predicts the afternoon commute will be most impacted There could be another period of snow after midnight  and parts of the state could see an additional coating to 3 inches accumulate The National Weather Service is warning of possible downed trees and power outages during the storm  as well as the possibility of minor coastal flooding from Salisbury to Scituate 
112,Another wonderful day across the area with abundant sunshine and warm temperatures   Highs reach the 70s this afternoon  but along the coast an east wind keeps readings in the 60s  The air will be dry as humidity levels continue to be low  There is an area of showers over Pennsylvania this morning  but it will take its time moving east Showers are indeed in the forecast for Thursday and Friday  but most of the activity will not affect eastern New England  When the rain has finally ended sometime Friday areas around Boston might not have even seen a quarter of an inch of water  In other words  while showers are certainly going to be around  the next two days are not a washout The holiday weekend won’t be perfect  but it will be pretty good  I am expecting a mix of clouds and sunshine for Saturday with an outside chance of a shower  Sunday also has some clouds with sunshine  but the chance of rain is low  Monday is likely the best day of the holiday weekend with mostly sunny skies and warm air  Highs could reach near 80 over interior areas while certainly making into the 70s along the coast  Cape Cod will be a bit cooler as usual Wednesday  Mostly sunny with a high of 71 to 77  65 to 70 along the coast  Wednesday night  Becoming cloudy and cool  Lows in the lower 50s Thursday  Cloudy and much cooler  Highs of 57 to 62  A few showers possible Friday  Mostly cloudy with a chance of a shower or two  Highs of 60 to 65 Saturday  A blend of clouds and sunshine  A slight risk of a shower  Highs in the 60s Sunday  Partly sunny and mild  Highs of 67 to 74 Memorial Day  Mostly sunny with a high near 75 to 80  Cooler at the beaches Follow updates from David Epstein on Twitter  growingwisdom 
113,The first storm of 2014 dropped 2 feet of snow on parts of the state  Read the full story here This article was originally published on January 02  2014 
114,Believe it or not  summer is right around the corner  and businesses on Cape Cod are ramping up for the busy vacation season Increases in rental prices and advanced bookings have many expecting lots of tourist dollars this year Cape Cod Chamber of Commerce CEO Wendy Northcross joined WBUR s Morning Edition This segment aired on May 14  2014 
115,Heroin related arrests and overdoses are climbing across western Massachusetts  The trend includes small towns that haven t seen serious IV drug use in decades  But some people are trying desperately to kick the habit  New England Public Radio s Karen Brown has been following one addict as he tries to rebuild a life with some unexpected help 
116,After a warm and muggy night  showers and storms will be moving into the area  While there could be some showers Thursday morning  most of the action will take place in the afternoon  Some of the showers could be accompanied by heavy downpours and even the rumble of thunder Temperatures continue to run above normal  but they will be falling significantly later this weekend This is the same system that brought severe weather to the south earlier this week  but by the time the cold front crosses New England  it will be a much weaker  despite still being a very wet system Some areas could see 1 2 inches of rain between now and early Friday morning The rain comes to end by Friday morning with skies clearing soon after  Highs will remain mild for two more days  reaching near 70 both Friday and Saturday  However  there is going be a cold front crossing the area Saturday afternoon  leaving the area with a chance of a quick shower  Though  for most towns  the majority of Saturday will be dry The big change comes on Sunday when highs will hang around the mid 50s  Colder airs means a chance of frost or even freezing conditions well inland  We’ll have to wait to see just how cold it gets overnight Monday and again Tuesday  The growing season may be coming to end for some you who still have not seen a killing frost Thursday  Muggy and warm  Showers developing into a thunderstorm in the afternoon  Patchy fog with a high near 73  Southeast wind is around 9 mph  with gusts as high as 22 mph  There is a 90 percent chance of precipitation  A half and three quarters of an inch of rainfall is possible Thursday night  Showers and scattered thunderstorm  Some downpours  Lows in the 50s Friday  Early clouds then clearing  Highs in the lower 70s Saturday  Lots of sunshine  Highs around 70  Isolated chance of an evening shower Sunday  Mostly sunny and much cooler  Highs in the mid 50s Monday  Mostly sunny  with a high near 55 Follow updates from David Epstein on Twitter  growingwisdom 
117,A 14 year old boy has been injured after being struck by a commuter rail train near Westwood Authorities tell New England Cable News that Massachusetts Bay Transit Authority police say the teen was trespassing late Monday afternoon when he was struck near the Islington stop on the Franklin line  He was flown to a Boston area hospital with what appeared to be non life threatening injuries Service on the rail line was interrupted while officials investigated  It has since resumed 
118,A cool  but nice day is underway across New England as high pressure continues to keep any rain to the south of the region   There is some rain not too far away so there will be some clouds around  but it’s going to be a dry day   As winds come off the cooler Atlantic  highs will be only in the lower 70s along the coast  but reach the mid 70s inland Overnight clouds will dominate  blocking out the moon  which was full a few nights ago   Temperature will fall to the comfortable range in the upper 50s to lower 60s Thursday brings some sunshine mixed with clouds  The day will be dry  yet there will be a line of showers developing in the afternoon and evening   Overnight showers could be heavy in a few places  but like so much of the rain the past 6 weeks  not everyone will see it  You will notice more humidity in the air on Thursday and with highs near 80 it’s another one of those summer feeling afternoons The frontal system causing the showers will pass off the coast Thursday night  but not too far off the coast  Friday will be sunny and cooler  but there will be an area of clouds and showers developing along the front  The question for the weekend is whether or not the showers move up the coastline close enough to bring some rain to the area  Right now  it appears most of the showers will stay far enough off the coast  but this will need to be watched the next couple of days Sunday will bring a return to cool and dry conditions with a fall feel to the air as temperatures stay in the upper 60s to lower 70s during the afternoon Follow updates from David Epstein on Twitter  growingwisdom 
119,Winds kept up overnight  with Logan Airport recording gusts in the 30s much of the night  Winds continue to gust for the balance of the day  making it feel a bit chilly in spite of the sunshine High temperatures the next few days will hover around 60  This temperature regimen will continue through Tuesday  with the changes coming in sky condition and the chance of showers throughout the next five days Thursday is all about the winds  and while they will continue the first half of the night  they will diminish by Friday morning Friday starts sunny  winds are light  but clouds increase in the afternoon A pair of small low pressure areas affects the region Saturday  There is still some discrepancy in the strength and track of these storms  Each of these facts will play a role in how much shower activity we see late Friday night and Saturday The system leaves the area Sunday and that is clearly the better of the weekend days  The dry weather starts the workweek  but a return to an unsettled pattern is possible later Tuesday and beyond Thursday  Sunny  with a gusty wind  Highs near 60 Thursday night  Mostly clear and chilly  Winds continue blustery the first half of the night  Lows in the 30s Friday  Sunshine followed by increasingly cloudy skies  Highs near 60 Saturday  Mostly cloudy  a few sunny breaks with the risk of showers or thunder storms  Highs near 60 Sunday  Mostly sunny  highs 55 to 59 Monday  Mostly sunny and breezy  highs 55 to 60 Tuesday  A mix of clouds and sunshine  Highs 55 to 60  Evening shower possible Follow updates from David Epstein on Twitter  growingwisdom 
120,I ll start this morning with a quote from the folks at the National Weather Service in Boston about the weather this week   Not the most summer like pattern   I couldn t have said it any better  so why try It s not that the weather the next few days is going to be bad  it s just I m sure most of us don t expect such pleasant temperatures and low humidity in the middle of August  It s almost hard to fathom what time of year it is  It s sort of like having a very mild February High pressure will remain in control through Wednesday keeping any significant cloud and rain to our south  High temperatures will be in the 70s this week and overnight lows will fall into the 50s  Boston  Providence and Hartford will likely remain in the lower 60s at night due to the buildings  etc The second half of the week will bring a new round of possible showers but here  too  this doesn t look like a washout  The best chance of rain seems to be Thursday  but that chance might linger into Friday  The upcoming weekend looks dry and pleasant  I still don t see any big heat in sight  This might be a summer with no heat waves  Time will tell Monday  Mostly sunny and pleasant with highs in the mid 70s Monday night  Mostly clear and comfortable  Lows in the mid 50s to lower 60s  warmest in the cities and right along the water  Tuesday  Sunny and pleasant  Highs in the mid 70s Wednesday  Mostly sunny and seasonable  Highs in the upper 70s  cooler at the coast  Thursday  A blend of clouds and sunshine  A few showers possible  Somewhat more humid with highs in the 70s Friday  Partly sunny with a high in the mid 70s You can follow David’s weather updates on Twitter at  growingwisdom 
