route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,listed_route,fare,reduced_fare,ridership,revenues
177,436,1,436,"Liberty Tree Mall - Central Square, Lynn via Goodwin Circle",Local Bus,3,https://www.mbta.com/schedules/436,FFC72C,0,54360,Local Bus,line-434435436,,1.7,0.85,200839.6,341427.32
178,439,1,439,Nahant - Wonderland Station,Commuter Bus,3,https://www.mbta.com/schedules/439,FFC72C,0,54390,Local Bus,line-439441442,,1.7,0.85,24908.0,42343.6
179,441,1,441,Marblehead - Wonderland Station via Paradise Road,Local Bus,3,https://www.mbta.com/schedules/441,FFC72C,0,54410,Local Bus,line-439441442,,1.7,0.85,419291.6,712795.72
180,441442,1,441/442,Marblehead - Wonderland Station,Local Bus,3,,FFC72C,0,54411,Local Bus,line-439441442,1.0,1.7,0.85,0.0,0.0
181,442,1,442,Marblehead - Wonderland Station via Humphrey Street,Local Bus,3,https://www.mbta.com/schedules/442,FFC72C,0,54420,Local Bus,line-439441442,,1.7,0.85,792901.2,1347932.0399999998
182,450,1,450,Salem Depot - Wonderland or Haymarket Station,Local Bus,3,https://www.mbta.com/schedules/450,FFC72C,0,54500,Inner Express,line-424450456,,4.25,2.1,487146.4,2070372.2000000002
183,451,1,451,North Beverly Station - Salem Depot,Commuter Bus,3,https://www.mbta.com/schedules/451,FFC72C,0,54510,Local Bus,line-451465,,1.7,0.85,33748.0,57371.6
184,455,1,455,Salem Depot - Wonderland Station,Local Bus,3,https://www.mbta.com/schedules/455,FFC72C,0,54550,Local Bus,line-455,,1.7,0.85,1079395.2,1834971.8399999999
185,456,1,456,"Salem Depot - Central Square, Lynn",Local Bus,3,https://www.mbta.com/schedules/456,FFC72C,0,54560,Local Bus,line-424450456,,1.7,0.85,58552.0,99538.4
186,465,1,465,Danvers Square - Salem Depot,Local Bus,3,https://www.mbta.com/schedules/465,FFC72C,0,54650,Local Bus,line-451465,,1.7,0.85,83943.6,142704.12
187,501,1,501,Brighton Center - Federal Street & Franklin Street,Commuter Bus,3,https://www.mbta.com/schedules/501,FFC72C,0,55010,Inner Express,line-501503,,4.25,2.1,436852.0,1856621.0
188,502,1,502,Watertown Yard - Copley Station,Commuter Bus,3,https://www.mbta.com/schedules/502,FFC72C,0,55020,Inner Express,line-502504,,4.25,2.1,225732.0,959361.0
189,503,1,503,Brighton Center - Copley Square,Commuter Bus,3,https://www.mbta.com/schedules/503,FFC72C,0,55030,Inner Express,line-501503,,4.25,2.1,123136.0,523328.0
190,504,1,504,Watertown Yard - Federal Street & Franklin Street,Commuter Bus,3,https://www.mbta.com/schedules/504,FFC72C,0,55040,Inner Express,line-502504,,4.25,2.1,398538.4,1693788.2000000002
191,505,1,505,Waltham Center - Federal Street & Franklin Street,Commuter Bus,3,https://www.mbta.com/schedules/505,FFC72C,0,55050,Outer Express,line-505553554,,5.25,2.6,200694.0,1053643.5
192,553,1,553,Roberts - Newton Corner,Local Bus,3,https://www.mbta.com/schedules/553,FFC72C,0,55530,Local Bus,line-505553554,,1.7,0.85,226709.6,385406.32
193,554,1,554,Waverley Square - Newton Corner,Local Bus,3,https://www.mbta.com/schedules/554,FFC72C,0,55540,Local Bus,line-505553554,,1.7,0.85,165074.0,280625.8
194,556,1,556,Waltham Highlands - Newton Corner,Commuter Bus,3,https://www.mbta.com/schedules/556,FFC72C,0,55560,Local Bus,line-556558,,1.7,0.85,124566.0,211762.19999999998
195,558,1,558,Riverside Station - Newton Corner,Commuter Bus,3,https://www.mbta.com/schedules/558,FFC72C,0,55580,Local Bus,line-556558,,1.7,0.85,100984.0,171672.8
196,710,1,710,North Medford - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/710,FFC72C,0,57100,Local Bus,line-710,,1.7,0.85,0.0,0.0
197,712,1,712,Point Shirley - Orient Heights Station via Revere Street,Local Bus,3,https://www.mbta.com/schedules/712,FFC72C,0,57120,Local Bus,line-712713,,1.7,0.85,497900.0,846430.0
198,713,1,713,Point Shirley - Orient Heights Station via Winthrop Center,Local Bus,3,https://www.mbta.com/schedules/713,FFC72C,0,57130,Local Bus,line-712713,,1.7,0.85,402324.0,683950.7999999999
199,714,1,714,"Pemberton Point, Hull - Station Street, Hingham",Local Bus,3,https://www.mbta.com/schedules/714,FFC72C,0,57140,Local Bus,line-714,,1.7,0.85,0.0,0.0
200,716,1,716,Cobbs Corner - Mattapan Station,Local Bus,3,https://www.mbta.com/schedules/716,FFC72C,0,57160,Local Bus,line-716,,1.7,0.85,0.0,0.0
201,602,1,Green Line Shuttle,Lechmere Station - North Station,Rail Replacement Bus,3,,FFC72C,0,60200,Free,line-Green,1.0,0.0,0.0,0.0,0.0
