(b) EIN,(d) Amount of cash grant,(h) Purpose of grant or assistance
04-2690262,"88,500",Operating  Support/Annual Fund
54-2171862,"10,000",Operating  Support/Annual Fund
04-3534001,"25,000",Education
04-3534001,"125,000",Operating  Support/Annual Fund
04-2103567,"6,000",Operating  Support/Annual Fund
04-2103567,"5,000",Scholarship
46-3202177,"115,000",Economic  Development
46-3202177,"1,000",Education
46-3202177,"38,750",Operating  Support/Annual Fund
04-3470427,"50,000",Disaster  Relief
52-1231931,"40,000",Housing  and  Shelter
47-1858182,"200,000",Operating  Support/Annual Fund
11-6107128,"15,000",Environment/Wildlife/Agric ulture
11-6107128,"45,000",Operating  Support/Annual Fund
36-3866530,"10,000",ulture
04-2760271,"25,000",Environment/Wildlife/Agric ulture
04-2760271,"11,500",Operating  Support/Annual Fund
52-2148600,"350,000",Operating  Support/Annual Fund
94-3213100,"33,250",Operating  Support/Annual Fund
04-3391788,"25,000",Education
04-3391788,"56,250",Operating  Support/Annual Fund
04-2104156,"9,000",Operating  Support/Annual Fund
73-1635264,"1,000",Disaster  Relief
73-1635264,"7,250",Operating  Support/Annual Fund
63-1135091,"127,000",Operating  Support/Annual Fund
52-1469738,"62,000",Operating  Support/Annual Fund
73-1722348,"106,000",Operating  Support/Annual Fund
04-3550635,"15,000",Arts
04-3550635,"46,000",Operating  Support/Annual Fund
22-3432160,"61,000",Operating  Support/Annual Fund
04-3238501,"15,000",Operating  Support/Annual Fund
04-3407816,"6,750",Disaster  Relief
04-3407816,"73,100",Emergency  Support
04-3407816,"77,772",Operating  Support/Annual Fund
04-2664297,"28,034",Operating  Support/Annual Fund
81-2217691,"10,000",Operating  Support/Annual Fund
45-0530793,"35,000",Operating  Support/Annual Fund
82-2829083,"10,000",Community  Development
26-1598353,"46,000",Operating  Support/Annual Fund
90-0874591,"5,250",Operating  Support/Annual Fund
20-5540955,"25,000",Operating  Support/Annual Fund
82-1460970,"12,500",Operating  Support/Annual Fund
22-2815597,"25,000",Fund
20-4127495,"18,000",Operating  Support/Annual Fund
39-0917537,"50,000",Operating  Support/Annual Fund
04-2761636,"100,500",Operating  Support/Annual Fund
04-3413397,"104,334",Operating  Support/Annual Fund
04-2771011,"20,000",Human  Services
04-2771011,"2,500",Operating  Support/Annual Fund
04-2160528,"12,130",Operating  Support/Annual Fund
51-0292919,"6,000",Operating  Support/Annual Fund
04-2428713,"10,000",Capital  Campaign
04-2428713,"40,000",Operating  Support/Annual Fund
04-2725296,"31,000",Operating  Support/Annual Fund
36-3673599,"57,000",Operating  Support/Annual Fund
82-5384114,"15,000",Arts
82-5384114,"3,700",Community  Development
04-2104064,"25,000",Endowment
04-2104064,750,Operating  Support/Annual Fund
04-2104064,"25,000",Scholarship
04-2510564,"18,000",Health  Care
04-2510564,"1,750",Operating  Support/Annual Fund
04-6719813,"7,000",Operating  Support/Annual Fund
11-0303001,"4,006,250",Operating  Support/Annual Fund
02-0784790,"100,000",Family  Support
02-0784790,500,Operating  Support/Annual Fund
01-0660817,"5,500",Operating  Support/Annual Fund
04-2253860,"42,000",Operating  Support/Annual Fund
04-2104697,"90,900",Operating  Support/Annual Fund
81-0539964,"10,000",Operating  Support/Annual Fund
04-2103733,"73,382",Operating  Support/Annual Fund
86-0658103,"6,550",Operating  Support/Annual Fund
33-0052976,"10,000",Operating  Support/Annual Fund
16-1000729,"12,500",Operating  Support/Annual Fund
20-5946832,"26,000",Operating  Support/Annual Fund
45-2405071,"12,000",Capital  Campaign
32-0160439,"10,000",Operating  Support/Annual Fund
22-2561771,"50,500",Operating  Support/Annual Fund
27-3990987,"50,000",Operating  Support/Annual Fund
45-3232638,"15,000",Arts
13-4302280,"20,000",Operating  Support/Annual Fund
04-2747896,"15,000",Environment/Wildlife/Agric ulture
04-2602576,"1,018",Education
04-2602576,"5,000",Operating  Support/Annual Fund
04-2602576,"15,000",Youth  Development
04-3266789,"2,700",Endowment
04-3266789,"11,000",Operating  Support/Annual Fund
94-2282759,"12,000",Operating  Support/Annual Fund
76-0720368,"8,700",Fund
04-2785453,500,Capital  Campaign
04-2785453,"1,000",Education
04-2785453,"100,000",Medical  Research
04-2785453,"36,033",Operating  Support/Annual Fund
04-2457605,"21,832",Fund
04-3363133,"11,080",Operating  Support/Annual Fund
04-3363133,"5,000",Youth  Development
54-0505898,"50,000",Operating  Support/Annual Fund
11-3451703,"37,500",Arts
11-3451703,"80,225",Operating  Support/Annual Fund
04-3236535,"17,500",Capital  Campaign
04-2156082,"52,984",Health  Care
04-2156082,"82,413",Operating  Support/Annual Fund
04-2240448,"131,357",Education
04-2240448,"48,979",Operating  Support/Annual Fund
04-6045400,"17,500",Operating  Support/Annual Fund
45-3141142,"7,500",Arts
86-0762610,"20,000",Operating  Support/Annual Fund
46-2848535,"35,000",Operating  Support/Annual Fund
04-2104239,"16,500",Disaster  Relief
22-2866770,"6,000",Operating  Support/Annual Fund
22-2952288,"10,000",Operating  Support/Annual Fund
30-0211613,"50,000",Capital  Campaign
30-0211613,"72,500",Operating  Support/Annual Fund
04-2607197,"53,500",Operating  Support/Annual Fund
81-4844083,"62,500",Operating  Support/Annual Fund
27-2898086,"10,000",Operating  Support/Annual Fund
22-3084639,"48,222",Operating  Support/Annual Fund
26-1749602,"50,000",Operating  Support/Annual Fund
26-1749602,"65,922",Youth  Development
04-3556884,"7,500",Operating  Support/Annual Fund
82-2892914,"27,024",Environment/Wildlife/Agric ulture
82-2892914,500,Operating  Support/Annual Fund
23-7420660,"11,000",Operating  Support/Annual Fund
13-3156445,"18,000",Operating  Support/Annual Fund
13-3156445,"5,000",Scholarship
04-2971014,"6,586",Operating  Support/Annual Fund
23-7451432,"50,000",Endowment
23-7451432,"97,028",Operating  Support/Annual Fund
13-3843435,"20,000",Immigrant  and  Refugee Support
13-3996346,"21,000",Operating  Support/Annual Fund
04-2761210,"29,715",Operating  Support/Annual Fund
22-3090463,"7,500",Operating  Support/Annual Fund
20-8345272,"150,000",Operating  Support/Annual Fund
04-3140541,"50,000",Human  Services
04-3140541,"1,000",Operating  Support/Annual Fund
04-3583756,"90,000",Operating  Support/Annual Fund
04-2784811,"6,000",Operating  Support/Annual Fund
13-2612524,"75,000",Operating  Support/Annual Fund
66-0655436,"50,000",Disaster  Relief
27-4374555,"50,000",Operating  Support/Annual Fund
04-3083976,"21,750",Operating  Support/Annual Fund
74-3127146,"10,000",Capital  Campaign
04-2622756,"40,000",Disaster  Relief
04-3286969,"20,000",Operating  Support/Annual Fund
80-0587086,"10,000",Capital  Campaign
04-3494246,"10,000",Operating  Support/Annual Fund
04-3227007,"30,250",Operating  Support/Annual Fund
76-0345781,"10,000",Operating  Support/Annual Fund
53-0196584,"40,000",Operating  Support/Annual Fund
54-1379348,"15,000",Operating  Support/Annual Fund
05-0630018,"25,000",Operating  Support/Annual Fund
22-3131232,"50,000",Operating  Support/Annual Fund
46-3103695,"25,000",Operating  Support/Annual Fund
13-4150972,"10,000",Operating  Support/Annual Fund
04-2123666,"20,000",Scholarship
04-2748244,"75,000",Operating  Support/Annual Fund
04-2104250,"100,000",Capital  Campaign
04-2104250,"1,800",Operating  Support/Annual Fund
30-0728021,"47,300",Operating  Support/Annual Fund
27-1661997,"25,500",Operating  Support/Annual Fund
47-1265705,"25,000",Operating  Support/Annual Fund
04-2660498,"5,000",Human  Services
04-2660498,"13,500",Operating  Support/Annual Fund
56-1834887,"10,000",Operating  Support/Annual Fund
77-0155782,"21,000",Operating  Support/Annual Fund
04-2485199,"16,250",Operating  Support/Annual Fund
20-4542914,"17,726",Scholarship
75-3138664,"13,000",Operating  Support/Annual Fund
04-2502970,"10,000",Operating  Support/Annual Fund
52-1343924,"15,000",Operating  Support/Annual Fund
04-6130149,"8,000",Operating  Support/Annual Fund
84-0402699,"25,000",Capital  Campaign
20-8497991,"20,000",Community  Development
47-6032570,"25,363",Disaster  Relief
01-0669150,"7,390",Operating  Support/Annual Fund
04-2791159,"23,500",Operating  Support/Annual Fund
04-2717782,"520,350",Operating  Support/Annual Fund
04-3355553,"65,360",Housing  and  Shelter
04-2103907,"79,500",Operating  Support/Annual Fund
36-2971864,"10,500",Operating  Support/Annual Fund
06-1025890,"20,000",Economic  Development
53-0242992,"7,500",Operating  Support/Annual Fund
20-0407083,"20,000",Capital  Campaign
20-0407083,"50,000",Community  Development
20-0407083,"1,233,025",Operating  Support/Annual Fund
95-3313195,"6,350",Operating  Support/Annual Fund
81-2718273,"4,000",Civic  Engagement
81-2718273,"50,000",Community  Development
81-2718273,50,Operating  Support/Annual Fund
26-0043353,"15,000",Operating  Support/Annual Fund
04-2104265,"6,250",Operating  Support/Annual Fund
03-0367185,"10,000",Operating  Support/Annual Fund
11-3427213,"10,000",Operating  Support/Annual Fund
27-1493841,"22,500",Operating  Support/Annual Fund
04-3537152,"3,000",Operating  Support/Annual Fund
04-3537152,"5,000",Youth  Development
82-0799009,"20,000",Operating  Support/Annual Fund
80-0005516,"10,000",Capital  Campaign
80-0005516,"48,500",Operating  Support/Annual Fund
26-0338552,"12,500",Operating  Support/Annual Fund
91-1914868,"67,050",Operating  Support/Annual Fund
36-3283625,"25,363",Disaster  Relief
04-3407813,"10,000",Operating  Support/Annual Fund
02-0602245,"22,500",Operating  Support/Annual Fund
04-2437845,"25,000",Human  Services
04-2437845,"2,000",Operating  Support/Annual Fund
15-0532200,"78,000",Operating  Support/Annual Fund
15-0532200,"125,000",Scholarship
04-3283306,"40,000",Disaster  Relief
01-0836208,"30,000",Operating  Support/Annual Fund
04-2126598,"10,000",Capital  Campaign
04-2126598,"75,500",Operating  Support/Annual Fund
56-1628440,"26,000",Operating  Support/Annual Fund
81-2722370,"10,000",Operating  Support/Annual Fund
45-1634118,"81,000",Operating  Support/Annual Fund
59-2332120,"10,000",Fund
04-2515797,"12,500",Youth  Development
30-0694643,"8,000",Operating  Support/Annual Fund
04-2586725,"5,500",Operating  Support/Annual Fund
23-7364546,"72,500",Operating  Support/Annual Fund
04-2655367,"10,600",Operating  Support/Annual Fund
04-3071598,"100,000",Health  Care
04-3487205,"56,000",Operating  Support/Annual Fund
04-3298116,"10,500",Health  Care
45-0484533,"50,000",Operating  Support/Annual Fund
04-2229839,"3,000",Community  Health
04-2229839,"2,000",Family  Support
04-2229839,"100,000",Health  Care
04-2229839,"2,500",Operating  Support/Annual Fund
04-3431534,"25,000",Operating  Support/Annual Fund
04-3206820,"30,000",Housing  and  Shelter
04-3206820,"100,000",Operating  Support/Annual Fund
77-0460907,"10,000",Operating  Support/Annual Fund
13-5562162,"5,250",Operating  Support/Annual Fund
52-1322317,"30,000",Operating  Support/Annual Fund
04-2704457,"15,000",Capital  Campaign
04-2704457,"2,500",Operating  Support/Annual Fund
13-5633307,"23,750",Operating  Support/Annual Fund
62-0646373,"25,000",Operating  Support/Annual Fund
82-4154262,"130,000",Operating  Support/Annual Fund
04-6141765,"8,000",Operating  Support/Annual Fund
04-2111216,"10,155",Operating  Support/Annual Fund
94-3040607,"50,000",Endowment
94-3040607,"3,000",Operating  Support/Annual Fund
04-2617537,"5,278",Fund
54-0506314,"61,000",Operating  Support/Annual Fund
54-0506314,"2,000",Scholarship
56-2482126,"85,000",Capital  Campaign
56-2482126,"5,000",Operating  Support/Annual Fund
59-0823947,"10,000",Operating  Support/Annual Fund
23-7181691,"50,000",Education
04-2492730,"50,000",Disaster  Relief
04-2104764,"53,209",Operating  Support/Annual Fund
81-0613149,"31,000",Housing  and  Shelter
04-3311270,"179,000",Operating  Support/Annual Fund
45-1329518,"25,000",Operating  Support/Annual Fund
20-0244173,"10,000",Operating  Support/Annual Fund
22-2915188,"160,000",Capital  Campaign
22-2915188,"1,252,232",Operating  Support/Annual Fund
13-3647412,"50,000",Operating  Support/Annual Fund
23-7431255,"6,000",Operating  Support/Annual Fund
04-2925846,"50,000",Housing  and  Shelter
36-3263818,"40,000",Operating  Support/Annual Fund
23-7303018,"151,464",Operating  Support/Annual Fund
13-4200638,"50,000",Operating  Support/Annual Fund
03-0179433,"25,000",Operating  Support/Annual Fund
13-4132348,"25,000",Operating  Support/Annual Fund
52-1769464,"5,250",Operating  Support/Annual Fund
59-2111273,"10,000",Operating  Support/Annual Fund
53-0225390,250,Animal  Welfare
53-0225390,"5,000",Operating  Support/Annual Fund
82-0784667,"90,000",Operating  Support/Annual Fund
27-0410088,"10,000",Operating  Support/Annual Fund
22-2659560,"100,000",Capital  Campaign
22-2659560,"38,800",Operating  Support/Annual Fund
04-3118543,"133,245",Education
04-3118543,"27,600",Operating  Support/Annual Fund
04-3118543,"10,000",Scholarship
82-2141691,"50,000",Education
38-3796793,"10,500",Operating  Support/Annual Fund
45-5569914,"10,000",Operating  Support/Annual Fund
47-4400495,"30,000",Immigrant  and  Refugee Support
47-4400495,"16,000",Operating  Support/Annual Fund
04-3138284,"75,000",Operating  Support/Annual Fund
04-3478266,"10,000",Operating  Support/Annual Fund
26-2048480,"40,000",Operating  Support/Annual Fund
04-2867945,"50,000",Operating  Support/Annual Fund
65-0059649,"2,500",Capital  Campaign
65-0059649,"11,000",Operating  Support/Annual Fund
35-6018940,"7,500",Operating  Support/Annual Fund
82-2355901,"10,000",Operating  Support/Annual Fund
13-3772904,"25,000",Economic  Development
13-3772904,"60,000",Operating  Support/Annual Fund
27-1333425,"70,000",Operating  Support/Annual Fund
46-2155826,"25,000",Operating  Support/Annual Fund
20-5097409,"25,000",Environment/Wildlife/Agric ulture
23-7090081,"-35,600",Arts
23-7090081,"30,000",Disaster  Relief
23-7090081,"55,421",Operating  Support/Annual Fund
23-7090081,"7,500",Youth  Development
13-6209297,"510,000",Operating  Support/Annual Fund
51-0152810,"7,000",Operating  Support/Annual Fund
04-3081057,"21,000",Operating  Support/Annual Fund
47-1380703,"10,000",Operating  Support/Annual Fund
45-3674945,"101,780",Economic  Development
72-1585854,"20,000",Operating  Support/Annual Fund
03-0541424,"10,000",Operating  Support/Annual Fund
47-1613050,"103,500",Education
47-1613050,"112,500",Operating  Support/Annual Fund
04-2104327,"106,000",Arts
04-2104327,"747,750",Operating  Support/Annual Fund
94-2928341,"10,000",Operating  Support/Annual Fund
04-2104853,"18,000",Human  Services
30-0212534,"10,000",Operating  Support/Annual Fund
26-2717185,"15,000",Arts
04-2104325,"53,000",Operating  Support/Annual Fund
95-3949646,"6,000",Operating  Support/Annual Fund
20-4365831,"31,000",Operating  Support/Annual Fund
13-1845455,"11,000",Operating  Support/Annual Fund
82-2167556,"35,000",Operating  Support/Annual Fund
13-5660870,50,Disaster  Relief
13-5660870,"47,750",Operating  Support/Annual Fund
47-1982974,"10,000",Operating  Support/Annual Fund
04-2457732,"138,000",Operating  Support/Annual Fund
27-1462229,"100,000",Education
27-1462229,"356,562",Operating  Support/Annual Fund
45-3771260,"18,000",Operating  Support/Annual Fund
04-6040661,"10,000",Capital  Campaign
04-6040661,"1,000",Operating  Support/Annual Fund
04-3063382,"56,250",Operating  Support/Annual Fund
22-2329645,"7,000",Operating  Support/Annual Fund
04-2104334,"15,000",Capital  Campaign
04-2104334,"25,000",Endowment
04-2104334,"168,100",Operating  Support/Annual Fund
45-3857764,"10,000",Operating  Support/Annual Fund
32-0384285,"43,500",Operating  Support/Annual Fund
04-2103799,"16,554",Operating  Support/Annual Fund
20-2777557,"60,360",Operating  Support/Annual Fund
27-3666259,"10,000",Operating  Support/Annual Fund
74-2138785,"20,000",Operating  Support/Annual Fund
04-2589717,"35,000",Operating  Support/Annual Fund
04-6002993,"17,500",Operating  Support/Annual Fund
04-6002993,"1,500",Scholarship
04-2652919,"30,000",Economic  Development
04-3580231,"10,000",Operating  Support/Annual Fund
13-2866655,"12,900",Operating  Support/Annual Fund
04-2692275,"11,000",Operating  Support/Annual Fund
23-1907729,120,Medical  Research
23-1907729,"5,500",Operating  Support/Annual Fund
41-1801834,"50,000",Operating  Support/Annual Fund
04-2317972,"32,310",Operating  Support/Annual Fund
04-3278141,"21,000",Operating  Support/Annual Fund
04-2104356,"82,517",Operating  Support/Annual Fund
95-1319015,"20,000",Operating  Support/Annual Fund
04-2104357,"12,700",Operating  Support/Annual Fund
01-0482628,"325,000",Operating  Support/Annual Fund
04-2943314,"10,000",Operating  Support/Annual Fund
04-6113130,"113,253",Operating  Support/Annual Fund
04-3313910,"9,000",Youth  Development
52-0595110,"18,750",Education
52-0595110,"10,000",Medical  Research
52-0595110,"2,500",Operating  Support/Annual Fund
65-0916419,"15,000",Operating  Support/Annual Fund
01-0430677,"20,000",Capital  Campaign
46-3649516,"20,000",Operating  Support/Annual Fund
04-2203836,"10,250",Operating  Support/Annual Fund
11-3692512,"40,000",Operating  Support/Annual Fund
04-3262046,"5,000",Capital  Campaign
04-3262046,"585,000",Operating  Support/Annual Fund
16-0956147,"10,000",Operating  Support/Annual Fund
83-0932015,"300,000",Operating  Support/Annual Fund
81-4316506,"800,000",Operating  Support/Annual Fund
04-2526357,"7,500",Human  Services
04-2526357,"51,000",Operating  Support/Annual Fund
04-2526357,"27,500",Youth  Development
90-1019268,"50,000",Operating  Support/Annual Fund
48-1278664,"6,000",Operating  Support/Annual Fund
26-2763038,"50,250",Operating  Support/Annual Fund
82-5448142,"108,000",Operating  Support/Annual Fund
46-4881350,"61,000",Operating  Support/Annual Fund
04-2664298,"64,399",Operating  Support/Annual Fund
20-2534366,"10,000",Operating  Support/Annual Fund
16-1644867,"10,000",Operating  Support/Annual Fund
23-7121158,"40,000",Human  Services
94-2330864,"45,000",Operating  Support/Annual Fund
04-3470866,"8,000",Civic  Engagement
04-3396256,"228,066",Operating  Support/Annual Fund
04-2751357,"21,000",Operating  Support/Annual Fund
22-2586208,"10,000",Operating  Support/Annual Fund
04-2982308,"150,500",Operating  Support/Annual Fund
04-3490614,"5,000",Civic  Engagement
04-3490614,"20,000",Community  Development
04-3490614,"10,000",Immigrant  and  Refugee Support
04-3490614,"11,000",Operating  Support/Annual Fund
04-2755382,"6,000",Operating  Support/Annual Fund
52-1379661,"15,000",Fund
47-1445061,"10,500",Operating  Support/Annual Fund
13-1659345,"6,054",Operating  Support/Annual Fund
74-2182277,"7,605",Operating  Support/Annual Fund
04-2103589,"56,500",Operating  Support/Annual Fund
31-1698832,"75,000",Operating  Support/Annual Fund
46-3915852,"7,500",Youth  Development
87-0572187,500,Education
87-0572187,"5,000",Operating  Support/Annual Fund
61-1163184,"15,000",Operating  Support/Annual Fund
04-6072895,"10,261",Operating  Support/Annual Fund
27-3671122,"5,500",Operating  Support/Annual Fund
26-3202150,"6,300",Operating  Support/Annual Fund
53-6002532,"50,000",Operating  Support/Annual Fund
52-2168409,"150,250",Operating  Support/Annual Fund
01-0238552,"2,500",Capital  Campaign
01-0238552,764,Health  Care
01-0238552,"20,840",Operating  Support/Annual Fund
04-3140337,"20,000",Education
04-3140337,"23,023",Operating  Support/Annual Fund
27-1777117,"80,000",Operating  Support/Annual Fund
23-7330112,"6,000",Operating  Support/Annual Fund
04-2681294,"6,054",Operating  Support/Annual Fund
13-2867881,"60,000",Operating  Support/Annual Fund
13-4367685,"7,500",Operating  Support/Annual Fund
45-2534204,"20,000",Scholarship
13-3030229,"25,000",Community  Development
02-0451944,"10,000",Operating  Support/Annual Fund
26-3068254,"3,000",Human  Services
26-3068254,"10,250",Operating  Support/Annual Fund
04-2881348,"10,000",Operating  Support/Annual Fund
03-0179434,"25,000",Operating  Support/Annual Fund
43-1699278,"20,000",Operating  Support/Annual Fund
04-2378885,"15,000",Emergency  Support
45-1619271,"20,000",Youth  Development
04-2109859,"30,000",Human  Services
04-2109859,250,Operating  Support/Annual Fund
23-7164223,"3,500",Civic  Engagement
23-7164223,"2,000",Community  Development
23-7164223,750,Operating  Support/Annual Fund
46-1874309,"10,000",Operating  Support/Annual Fund
90-0855622,"10,000",Operating  Support/Annual Fund
23-7099105,"5,000",Capital  Campaign
23-7099105,"13,500",Operating  Support/Annual Fund
01-0391479,"200,000",Scholarship
01-0216837,"10,000",Operating  Support/Annual Fund
11-3344389,"25,000",Immigrant  and  Refugee Support
11-3344389,"10,500",Operating  Support/Annual Fund
22-2867371,"15,000",Operating  Support/Annual Fund
52-1795164,"20,000",Operating  Support/Annual Fund
04-2482188,"50,000",Operating  Support/Annual Fund
13-1846366,"6,054",Fund
80-0827704,"50,000",Education
80-0827704,"17,500",ESOL  Support
80-0827704,"2,500",Operating  Support/Annual Fund
47-4440066,"10,000",Arts
20-3021444,"11,054",Operating  Support/Annual Fund
04-3206583,"150,000",Operating  Support/Annual Fund
04-6051756,"6,054",Operating  Support/Annual Fund
04-2104167,"10,500",Operating  Support/Annual Fund
23-7188764,"15,000",Operating  Support/Annual Fund
04-2301598,"31,000",Operating  Support/Annual Fund
04-2160642,"30,000",Operating  Support/Annual Fund
04-6387676,"25,000",Operating  Support/Annual Fund
02-0511758,"5,300",Operating  Support/Annual Fund
04-2104701,"10,155",Operating  Support/Annual Fund
04-3369687,"100,000",Education
04-3369687,"50,000",Operating  Support/Annual Fund
04-2303708,"12,395",Operating  Support/Annual Fund
22-3042637,"10,000",Civic  Engagement
22-3042637,"5,000",Operating  Support/Annual Fund
04-3294008,"7,500",Community  Health
04-2759909,"100,000",Housing  and  Shelter
04-2759909,"2,500",Operating  Support/Annual Fund
04-2104702,"71,278",Operating  Support/Annual Fund
04-2967537,"17,500",Operating  Support/Annual Fund
04-3274599,"25,000",Education
04-3274599,"15,000",Operating  Support/Annual Fund
04-3049162,"25,000",Human  Services
04-3559305,"125,000",Education
04-3559305,"30,000",Operating  Support/Annual Fund
04-2742359,"55,184",Capital  Campaign
04-2742359,"5,200",Education
04-2742359,500,Operating  Support/Annual Fund
04-2863903,"10,000",Economic  Development
04-2863903,"1,000",Operating  Support/Annual Fund
22-2504778,"5,500",Operating  Support/Annual Fund
04-1564655,"130,000",Health  Care
04-1564655,"2,376,413",Operating  Support/Annual Fund
04-2104714,"11,278",Operating  Support/Annual Fund
22-3068653,"27,500",Operating  Support/Annual Fund
22-3115048,"2,620",Civic  Engagement
22-3115048,"25,000",Immigrant  and  Refugee Support
22-3115048,"30,130",Operating  Support/Annual Fund
04-2103594,"3,000",Arts
04-2103594,"283,160",Operating  Support/Annual Fund
04-6004303,"65,000",Community  Health
04-6004303,800,Fund
04-2507409,"50,000",Health  Care
04-3113688,"4,100",Arts
04-3113688,"16,000",Operating  Support/Annual Fund
26-0169529,"102,500",Operating  Support/Annual Fund
82-1313683,"10,000",Capital  Campaign
82-1313683,"80,000",Operating  Support/Annual Fund
27-0584283,"20,850",Fund
04-2326503,"100,000",Health  Care
04-2326503,"2,500",Operating  Support/Annual Fund
04-2103596,"46,302",Operating  Support/Annual Fund
04-2103597,"5,250",Animal  Welfare
04-2103597,"259,411",Operating  Support/Annual Fund
04-1590310,"5,150",Civic  Engagement
04-3574060,"7,500",Civic  Engagement
04-3574060,"10,000",Community  Development
04-3574060,"80,000",Operating  Support/Annual Fund
04-3443890,"100,000",Operating  Support/Annual Fund
27-0382989,"50,000",Capital  Campaign
27-0382989,"125,000",Economic  Development
27-0382989,"100,000",Operating  Support/Annual Fund
46-0904093,"50,000",Arts
46-0904093,"5,000",Operating  Support/Annual Fund
22-2489896,"70,000",Operating  Support/Annual Fund
37-1649578,"15,000",Arts
04-3476160,"173,100",Operating  Support/Annual Fund
04-2544151,"33,000",Operating  Support/Annual Fund
20-5911734,"15,000",Human  Services
20-5911734,"5,000",Operating  Support/Annual Fund
04-3256902,"14,000",Operating  Support/Annual Fund
20-3154063,"30,000",Operating  Support/Annual Fund
04-2104720,"103,500",Operating  Support/Annual Fund
93-0878944,"15,000",Disaster  Relief
93-0878944,"15,000",Operating  Support/Annual Fund
04-3502628,"10,000",Operating  Support/Annual Fund
04-3502628,"7,500",Youth  Development
90-0677193,"50,500",Operating  Support/Annual Fund
26-0820369,"7,500",Operating  Support/Annual Fund
91-1148123,500,Disaster  Relief
91-1148123,"47,500",Operating  Support/Annual Fund
26-2414132,"30,500",Operating  Support/Annual Fund
04-2775991,"100,000",Housing  and  Shelter
04-2775991,"6,100",Operating  Support/Annual Fund
04-3279555,"36,000",Operating  Support/Annual Fund
30-0221355,"100,000",Housing  and  Shelter
04-6179391,"25,000",Education
04-6179391,"1,000",Operating  Support/Annual Fund
04-6179391,"10,000",Youth  Development
13-1624086,"51,000",Operating  Support/Annual Fund
13-1624087,"28,671",Operating  Support/Annual Fund
04-3177488,"24,309",Human  Services
27-2249040,"33,206",Operating  Support/Annual Fund
04-2868893,"6,000",Operating  Support/Annual Fund
04-2868893,250,Scholarship
31-6402089,"10,000",Operating  Support/Annual Fund
13-4141945,"10,000",Operating  Support/Annual Fund
04-2103821,"25,000",Scholarship
20-3904871,"50,000",Operating  Support/Annual Fund
01-0778023,"10,000",Operating  Support/Annual Fund
13-6162947,"5,000",Disaster  Relief
13-6162947,"35,000",Operating  Support/Annual Fund
26-2842331,"18,000",Operating  Support/Annual Fund
04-3065810,"5,750",Operating  Support/Annual Fund
04-2103603,"60,000",Capital  Campaign
04-2103603,"144,222",Operating  Support/Annual Fund
51-0494632,"31,500",Operating  Support/Annual Fund
47-5593271,"7,500",Operating  Support/Annual Fund
53-0219725,"6,054",Operating  Support/Annual Fund
04-2784985,"10,500",Capital  Campaign
04-2784985,"226,500",Operating  Support/Annual Fund
04-2106765,"50,282",Operating  Support/Annual Fund
45-3741482,"2,000",Civic  Engagement
45-3741482,"7,500",Youth  Development
46-5758600,"67,000",Operating  Support/Annual Fund
26-4513862,"15,000",Operating  Support/Annual Fund
04-2103606,"27,250",Operating  Support/Annual Fund
04-2938967,"16,000",Operating  Support/Annual Fund
04-2103578,"8,790",Operating  Support/Annual Fund
13-1624096,"12,000",Operating  Support/Annual Fund
26-0683178,"7,600",Scholarship
04-2753429,"25,000",ESOL  Support
20-1356307,"20,500",Operating  Support/Annual Fund
04-2429556,"24,600",Arts
04-2429556,500,Civic  Engagement
04-2429556,500,Operating  Support/Annual Fund
04-2103607,"5,000",Arts
04-2103607,"500,000",Conservation
04-2103607,"345,000",Endowment
04-2103607,"361,741",Operating  Support/Annual Fund
04-2103916,"230,000",Capital  Campaign
04-2103916,"368,517",Operating  Support/Annual Fund
47-1254076,"7,500",Operating  Support/Annual Fund
52-1007373,"25,000",Operating  Support/Annual Fund
04-2373794,"20,000",Operating  Support/Annual Fund
04-2103823,"20,000",Capital  Campaign
04-2103823,"10,500",Operating  Support/Annual Fund
74-3234491,"12,500",Operating  Support/Annual Fund
74-3234491,"2,250",Scholarship
51-0180597,"20,000",Operating  Support/Annual Fund
04-3392961,"15,450",Operating  Support/Annual Fund
52-1100361,"6,500",Operating  Support/Annual Fund
84-1029228,"15,000",Operating  Support/Annual Fund
04-2720335,"10,556",Operating  Support/Annual Fund
52-1792608,"75,000",Operating  Support/Annual Fund
13-1084135,500,Operating  Support/Annual Fund
13-1084135,"5,000",Youth  Development
04-3370584,"18,000",Operating  Support/Annual Fund
13-1624102,"3,000",Animal  Welfare
13-1624102,"10,075",Operating  Support/Annual Fund
52-1782065,"11,250",Operating  Support/Annual Fund
46-1192687,"100,000",Operating  Support/Annual Fund
04-2488502,"15,000",Emergency  Support
04-3536571,"25,000",Operating  Support/Annual Fund
52-1832634,"10,000",Operating  Support/Annual Fund
95-4539765,"6,000",Operating  Support/Annual Fund
13-5661935,"45,800",Operating  Support/Annual Fund
52-1238307,"20,000",Human  Services
83-0204184,"10,000",Scholarship
53-0225165,"6,000",Operating  Support/Annual Fund
23-7825575,"6,109",Operating  Support/Annual Fund
53-0210807,"40,000",Operating  Support/Annual Fund
45-2885376,"500,000",Operating  Support/Annual Fund
04-3501206,"50,000",Operating  Support/Annual Fund
03-0385377,"20,000",Operating  Support/Annual Fund
03-0385377,"5,000",Scholarship
26-3898758,"12,000",Operating  Support/Annual Fund
